,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,1321,1438,1243,1109,945.18,831.99,791.47,662.23,474.3
1,Revenue Growth (YoY),6.30%,29.66%,31.51%,33.29%,19.42%,25.63%,66.87%,-,-
2,Cost of Revenue,361.22,385.56,347.12,305.53,267.6,214.63,214.22,169.83,128.76
3,Gross Profit,960.13,1052,895.91,803.47,677.58,617.36,577.25,492.4,345.54
4,"Selling, General & Admin",646.49,747.6,584.67,533.65,520.97,476.84,361.92,363.81,275.6
5,Research & Development,225.88,176.72,202.07,209.7,159.95,137.94,114.07,100.31,100.72
6,Other Operating Expenses,-,-25.27,-2.36,-29.76,-17.15,-61.47,-7.03,-2.82,-6.38
7,Operating Expenses,876.33,909.36,786.83,713.59,663.78,553.38,469.14,459.88,371.69
8,Operating Income,83.8,142.97,109.09,89.88,13.8,63.99,108.12,32.53,-26.14
9,Interest Expense,-3.57,-8.73,-7.58,-6.71,-6.27,-4.03,-4.58,-5.31,-5.54
10,Interest & Investment Income,42.72,42.87,41.23,40.7,31.36,6.57,3.55,16.49,11.98
11,Earnings From Equity Investments,-1.92,-,0.03,-,-,-,-,-,-
12,Currency Exchange Gain (Loss),-1.23,-2.08,-1.65,-6.1,30.6,-42.42,-55.29,-0.78,-
13,EBT Excluding Unusual Items,119.81,175.02,141.12,117.77,69.49,24.11,51.8,42.92,-19.7
14,Impairment of Goodwill,-,-60.55,-,-,-,-,-,-,-
15,Gain (Loss) on Sale of Investments,22.5,14.75,32.49,21.3,20.03,9.02,15.72,-0,-0.77
16,Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-1.56,-
17,Other Unusual Items,11.15,-,33.39,-,-,-,-3697,-61.78,-69.7
18,Pretax Income,153.46,129.22,206.99,139.07,89.52,33.13,-3630,-20.42,-90.18
19,Income Tax Expense,10.62,0.77,0.19,3.14,-3.85,-1.72,9.11,1.8,-3.33
20,Earnings From Continuing Operations,142.83,128.45,206.81,135.94,93.37,34.85,-3639,-22.22,-86.85
21,Minority Interest in Earnings,-2.88,6.76,-1.56,4.8,5.56,4.02,-3.01,-1.18,-0.32
22,Net Income,139.96,135.21,205.25,140.74,98.93,38.87,-3642,-23.39,-87.16
23,Net Income to Common,139.96,135.21,205.25,140.74,98.93,38.87,-3642,-23.39,-87.16
24,Net Income Growth,-31.81%,-3.93%,107.48%,262.06%,-,-,-,-,-
25,Shares Outstanding (Basic),470,470,481,485,478,476,311,137,137
26,Shares Outstanding (Diluted),482,495,504,513,515,476,311,137,137
27,Shares Change (YoY),-4.26%,-3.63%,-2.18%,7.97%,65.50%,248.19%,127.75%,-,-
28,EPS (Basic),0.30,0.29,0.43,0.29,0.21,0.08,-11.71,-0.17,-0.64
29,EPS (Diluted),0.29,0.27,0.41,0.28,0.19,0.08,-11.71,-0.17,-0.64
30,EPS Growth,-29.27%,-4.05%,115.79%,242.70%,-,-,-,-,-
31,Free Cash Flow,-161.68,424.71,-111.15,396.34,-117.52,159.37,85.28,172.11,22.26
32,Free Cash Flow Per Share,-0.34,0.86,-0.22,0.77,-0.23,0.34,0.27,1.26,0.16
33,Operating Margin,6.34%,9.94%,8.78%,8.10%,1.46%,7.69%,13.66%,4.91%,-5.51%
34,Profit Margin,10.59%,9.40%,16.51%,12.69%,10.47%,4.67%,-460.14%,-3.53%,-18.38%
35,Free Cash Flow Margin,-12.24%,29.54%,-8.94%,35.74%,-12.43%,19.16%,10.78%,25.99%,4.69%
36,EBITDA,99.7,155.33,122.6,102.18,28.49,73.68,117.73,41.88,-17.51
37,D&A For EBITDA,15.9,12.36,13.52,12.31,14.69,9.7,9.61,9.36,8.63
38,EBIT,83.8,142.97,109.09,89.88,13.8,63.99,108.12,32.53,-26.14
