,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,627.19,913.99,444.32,888.51,1169,3346,2781,41.95,-
1,Short-Term Investments,1623,430.57,26.11,24.44,431.84,25.83,646.3,17.22,-
2,Trading Asset Securities,729.04,724.23,682.47,848.74,582.81,300.33,469.93,806.1,-
3,Cash & Short-Term Investments,2979,2069,1153,1762,2183,3673,3898,865.27,-
4,Cash Growth,158.42%,17.43%,-47.20%,-52.03%,-43.98%,324.45%,-,-,-
5,Accounts Receivable,575.42,519.25,515.04,361.66,312.92,250.56,261.26,179.91,-
6,Other Receivables,161.21,128.8,91.78,54.76,-,-,-,-,-
7,Receivables,813.25,716.22,610.36,418.38,312.92,250.56,261.45,186.26,-
8,Inventory,393.15,211.56,286.46,247.94,223.7,135.73,-,-,-
9,Prepaid Expenses,7.14,2.13,7.98,7.64,18.64,7.42,54.75,6,-
10,Restricted Cash,-,5.72,5.9,16.99,16.37,82.88,117.57,-,-
11,Other Current Assets,101.21,79.41,60.43,78.81,109.09,81.35,4.25,17.95,-
12,Total Current Assets,4294,3084,2124,2531,2864,4231,4336,1075,-
13,"Property, Plant & Equipment",119.96,101.06,118.55,114.73,114.82,132.31,155.4,166.31,-
14,Long-Term Investments,939.17,2142,2773,2375,1619,256.13,3.54,3.54,-
15,Goodwill,119.47,119.47,180.01,180.01,180.01,180.01,34.05,34.05,-
16,Other Intangible Assets,45.17,47.43,51.02,54.21,58.26,62.93,29.74,30.09,-
17,Long-Term Deferred Tax Assets,4.01,3.46,3.74,4.56,8.63,5.39,3.57,12.58,-
18,Other Long-Term Assets,7.75,8.31,7.8,7.74,5.84,5.72,5.72,5.72,-
19,Total Assets,5530,5506,5258,5267,4851,4873,4568,1328,-
20,Accounts Payable,278.19,301.86,192.3,165.34,105.73,94.62,68.08,53.14,-
21,Accrued Expenses,324.44,352.71,285.23,266.02,188.5,211.64,150.12,137.47,-
22,Short-Term Debt,39.36,91.36,73,45,25,51,-,-,-
23,Current Portion of Leases,27.3,39.07,55.21,50.65,34.8,35.3,50.48,44.9,-
24,Current Income Taxes Payable,1.05,-,-,-,-,-,-,-,-
25,Current Unearned Revenue,76.02,81.58,54.45,60.73,46.59,48.35,34.7,39.87,-
26,Other Current Liabilities,198.29,167.22,167.95,323.65,172.54,194.58,6.28,4.57,-
27,Total Current Liabilities,944.64,1034,828.14,911.38,573.16,635.49,309.66,279.93,-
28,Long-Term Debt,-,-,-,-,-,-,-,2213,-
29,Long-Term Leases,16.9,14.09,24.12,35.87,52.34,71.86,73.86,86.44,-
30,Long-Term Deferred Tax Liabilities,9.27,8.97,8.98,9.61,10.59,11.21,5.84,5.85,-
31,Total Liabilities,970.81,1057,861.24,956.87,636.1,718.56,389.36,2585,-
32,Common Stock,0.06,0.06,0.06,0.07,0.07,0.06,0.06,0.02,-
33,Additional Paid-In Capital,-,-,-,-,8994,-,9108,-,-
34,Retained Earnings,507.25,367.29,232.08,-4821,-4962,-5061,-5100,-1458,-
35,Treasury Stock,-114.07,-185.58,-136.76,-148.84,-74.77,-60.74,-45.18,-,-
36,Comprehensive Income & Other,4153,4257,4285,9266,238.39,9251,194.18,183.06,-
37,Total Common Equity,4546,4439,4380,4295,4195,4129,4158,-1275,-
38,Minority Interest,12.6,9.72,16.48,14.92,19.73,25.54,20.75,17.75,-
39,Shareholders' Equity,4559,4449,4397,4310,4215,4155,4178,-1257,-
40,Total Liabilities & Equity,5530,5506,5258,5267,4851,4873,4568,1328,-
41,Total Debt,83.55,144.51,152.34,131.52,112.15,158.16,124.34,2344,-
42,Net Cash (Debt),2896,1924,1001,1630,2071,3514,3773,-1479,-
43,Net Cash Growth,189.41%,18.04%,-51.69%,-53.62%,-45.11%,-,-,-,-
44,Net Cash Per Share,6.01,3.89,1.99,3.17,4.02,7.39,12.13,-10.83,-
45,Filing Date Shares Outstanding,463.05,471.01,472.66,484.91,483.55,500.35,477.73,495.29,136.58
46,Total Common Shares Outstanding,463.05,471.01,472.66,484.91,483.55,500.35,477.73,136.58,136.58
47,Working Capital,3349,2050,1296,1620,2291,3595,4026,795.55,-
48,Book Value Per Share,9.82,9.42,9.27,8.86,8.68,8.25,8.70,-9.33,-
49,Tangible Book Value,4382,4272,4149,4061,3957,3886,4094,-1339,-
50,Tangible Book Value Per Share,9.46,9.07,8.78,8.38,8.18,7.77,8.57,-9.80,-
51,Machinery,-,115.95,-,93.26,-,73.07,-,58.54,-
52,Leasehold Improvements,-,35.82,-,34.69,-,30.93,-,25.28,-
