,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,4503,4192,6390,4500,5145,4913,4968,10228,-,-
1,Market Cap Growth,-6.84%,-6.84%,24.21%,-8.42%,3.55%,-51.96%,-,-,-,-
2,Enterprise Value,1406,2083,5327,2674,2742,385,455,12005,-,-
3,Last Close Price,9.71,8.90,13.52,9.28,10.64,9.82,10.40,20.65,-,-
4,PE Ratio,16.18,14.18,17.04,12.04,18.99,30.44,-1.12,-,-,-
5,Forward PE,12.73,10.42,14.86,13.65,25.52,26.78,22.02,83.23,-,-
6,PS Ratio,1.54,1.41,2.16,1.77,2.22,2.36,2.49,5.85,-,-
7,PB Ratio,0.92,0.86,1.30,0.95,1.06,1.00,0.97,2.04,-,-
8,P/TBV Ratio,0.89,0.89,1.36,1.00,1.12,1.06,1.04,2.08,-,-
9,P/FCF Ratio,15.93,-,18.50,-,16.32,-,16.54,33.04,-,-
10,P/OCF Ratio,12.52,-,17.10,-,15.05,-,15.27,31.26,-,-
11,PEG Ratio,0.72,0.72,0.72,0.72,0.72,0.72,0.72,1.63,-,-
12,EV/Sales Ratio,0.47,0.70,1.80,1.05,1.18,0.19,0.23,6.87,-,-
13,EV/EBITDA Ratio,3.95,7.60,17.40,11.01,18.56,3.22,1.94,62.54,-,-
14,EV/EBIT Ratio,5.07,8.55,19.18,12.44,23.39,4.23,2.16,70.97,-,-
15,EV/FCF Ratio,4.97,-,15.42,-,8.70,-,1.52,38.78,-,-
16,Debt / Equity Ratio,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.03,-1.86,-
17,Debt / FCF Ratio,0.32,-,0.46,-,0.47,-,0.65,0.48,12.06,-
18,Return on Capital Employed (ROCE),5.67%,4.95%,5.64%,4.49%,2.38%,1.82%,4.06%,3.30%,0.61%,-
19,Earnings Yield,6.57%,7.05%,5.87%,8.31%,5.27%,3.29%,-89.02%,-43.10%,-,-
20,FCF Yield,6.28%,6.74%,5.41%,6.85%,6.13%,1.00%,6.04%,3.03%,-,-
21,Buyback Yield / Dilution,3.95%,4.26%,3.63%,2.18%,-7.97%,-65.50%,-248.19%,-127.75%,-,-
22,Total Shareholder Return,3.95%,4.26%,3.63%,2.18%,-7.97%,-65.50%,-248.19%,-127.75%,-,-
