,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,691.94,614.13,624.08,551.49,661.2,558.69,539.3,550.92,568.68,482.65,423.96,420.02,430.19,397.41,321.32
1,Other Revenue,-35.2,35.2,-,58.32,-30.05,30.05,-,10.57,-4.14,4.14,-,8.77,-3.68,3.68,-
2,Revenue,656.74,649.33,624.08,609.81,631.15,588.74,539.3,561.49,564.54,486.79,423.96,428.79,426.5,401.1,321.32
3,Revenue Growth (YoY),4.06%,10.29%,15.72%,8.61%,11.80%,20.94%,27.20%,30.95%,32.36%,21.37%,31.94%,-,-,-,-
4,Cost of Revenue,444.03,448.19,424.13,431.28,427.46,385.37,350.04,373.32,368.9,316.91,283.9,290.5,288.32,255.56,255.68
5,Gross Profit,212.71,201.14,199.96,178.54,203.69,203.37,189.26,188.17,195.64,169.88,140.06,138.29,138.18,145.54,65.64
6,"Selling, General & Admin",101.82,113.93,107.47,110.63,92.38,109.94,100.31,109.13,95.65,94.04,70.13,70.94,54.74,71.07,-
7,Research & Development,14.51,12.79,12.05,11.85,13.02,10.08,11.8,10.66,11.02,11.28,10.36,13.59,8.4,17.83,-
8,Other Operating Expenses,-16,6.03,3.46,5.14,-2.88,-14.57,1.96,23.71,1.7,-9.75,0.3,10.83,4.06,-4.49,-
