,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,5152,5648,4752,6160,6764,7904,8504,10252,11332,9548,-,-,-,-,-,-
1,Market Cap Growth,-28.54%,-28.54%,-44.12%,-39.91%,-40.31%,-17.22%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4895,5446,4430,5798,6402,7527,8101,9861,10941,9510,-,-,-,-,-,-
3,Last Close Price,12.88,13.98,11.76,14.83,16.29,19.03,20.48,24.40,26.97,22.73,-,-,-,-,-,-
4,PE Ratio,22.21,24.19,19.51,21.58,22.47,26.10,29.48,41.04,52.62,49.49,-,-,-,-,-,-
5,Forward PE,21.78,22.31,16.69,18.36,20.78,25.36,30.46,39.74,47.85,40.86,-,-,-,-,-,-
6,PS Ratio,2.04,2.22,1.89,2.51,2.86,3.41,3.77,4.76,5.56,5.01,-,-,-,-,-,-
7,PB Ratio,3.92,3.80,3.23,3.93,4.51,6.13,7.01,8.38,9.90,8.10,-,-,-,-,-,-
8,P/TBV Ratio,4.71,4.71,3.98,4.76,5.49,6.88,7.93,9.48,11.10,9.24,-,-,-,-,-,-
9,P/FCF Ratio,43.10,47.25,248.64,-244.15,-,-,-,-,62.40,-,-,-,-,-,-,-
10,P/OCF Ratio,18.01,18.01,20.29,33.50,40.63,36.28,40.80,35.21,44.92,38.49,-,-,-,-,-,-
11,EV/Sales Ratio,1.93,2.14,1.76,2.36,2.70,3.24,3.59,4.58,5.37,4.99,-,-,-,-,-,-
12,EV/EBITDA Ratio,14.98,15.54,13.14,15.98,17.65,21.15,23.94,31.33,37.39,33.49,-,-,-,-,-,-
13,EV/EBIT Ratio,17.54,17.73,15.09,17.98,19.88,23.90,26.84,35.22,41.75,36.91,-,-,-,-,-,-
14,EV/FCF Ratio,40.95,45.56,231.78,-229.82,-,-,-,-,60.25,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.16,0.16,0.14,0.07,0.04,0.03,0.03,0.04,0.04,0.04,0.15,0.23,0.23,-,-,-
16,Debt / EBITDA Ratio,0.74,0.49,0.65,0.33,0.23,0.10,0.09,0.12,0.21,0.13,0.36,0.60,0.84,-,-,-
17,Debt / FCF Ratio,2.02,2.02,11.06,-4.51,-,-,-,-,0.26,-,0.56,-6.09,6.21,-,-,-
18,Asset Turnover,1.28,1.31,1.29,1.35,1.53,1.49,1.39,1.46,1.60,-,-,-,-,-,-,
19,Inventory Turnover,7.51,7.76,7.46,6.55,6.86,7.64,7.12,6.34,7.43,7.94,-,-,-,-,-,-
20,Quick Ratio,1.77,1.77,2.02,2.73,2.54,1.95,2.17,2.23,1.93,2.42,1.08,-,0.92,-,-,-
21,Current Ratio,2.31,2.31,2.72,3.76,3.66,2.87,3.03,3.23,2.72,3.22,1.72,-,1.57,-,-,-
22,Return on Equity (ROE),19.66%,14.80%,17.51%,19.03%,24.26%,29.75%,26.50%,22.09%,26.52%,31.68%,25.82%,-,-,-,-,
23,Return on Assets (ROA),13.70%,8.44%,10.02%,6.91%,14.98%,15.11%,12.41%,6.96%,15.23%,-,-,-,-,-,-,
24,Return on Capital (ROIC),16.54%,9.93%,11.97%,8.64%,19.18%,19.04%,15.70%,8.87%,20.22%,21.36%,17.79%,-,-,-,-,
25,Return on Capital Employed (ROCE),17.83%,19.63%,18.90%,19.55%,20.35%,23.42%,23.77%,21.99%,22.07%,20.51%,28.15%,-,30.76%,-,-,-
26,Earnings Yield,4.53%,4.13%,5.13%,4.63%,4.45%,3.83%,3.39%,2.44%,1.90%,2.02%,-,-,-,-,-,-
27,FCF Yield,2.32%,2.12%,0.40%,-0.41%,-0.87%,0.38%,0.47%,1.72%,1.60%,1.79%,-,-,-,-,-,-
28,Dividend Yield,2.33%,-,4.46%,-,2.30%,-,-,-,0.93%,-,-,-,-,-,-,-
29,Payout Ratio,74.59%,35.60%,307.73%,-,7.10%,-,107.67%,0.40%,0.65%,1.51%,2.57%,4.03%,9.87%,31.36%,9.65%,-
30,Buyback Yield / Dilution,-1.11%,-2.78%,2.25%,-0.88%,-3.15%,3.36%,-11.73%,-15.18%,-8.40%,-15.90%,-2.06%,-,-,-,-,-
31,Total Shareholder Return,1.22%,-2.78%,6.71%,-0.88%,-0.85%,3.36%,-11.73%,-15.18%,-7.47%,-15.90%,-2.06%,-,-,-,-,-
