,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,455.7,550.21,560.65,491.38,402.94,432.62,464.7,403.94,477.22,190.66,-,100.04,-,-,-
1,Trading Asset Securities,211.67,23.93,27.82,14.79,23.38,-,-,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,667.37,574.13,588.47,506.17,426.32,432.62,464.7,403.94,477.22,190.66,100.04,100.04,-,-,-
3,Cash Growth,56.54%,32.71%,26.63%,25.31%,-10.67%,126.90%,364.49%,303.76%,-,-,-,-,-,-,-
4,Accounts Receivable,302.59,293.79,275.49,295.02,297.91,255.83,213.25,256.49,238.26,225.41,-,213,-,-,-
5,Other Receivables,31.5,4.67,15.29,3.75,3.96,4.72,6.41,4.59,6.12,4.58,-,1.79,-,-,-
6,Receivables,334.09,298.46,290.79,298.76,301.87,260.56,219.65,261.09,244.38,230,-,214.78,-,-,-
7,Inventory,228.77,228.72,251.61,266.76,236.4,211.16,221.57,219.96,181.9,189.85,-,183.73,-,-,-
8,Prepaid Expenses,-,5.74,-,0.36,-,-,-,2.54,-,-,-,0.65,-,-,-
9,Other Current Assets,76.95,65.71,79.13,89.87,106.74,64.39,83.69,47.23,53.91,61.77,-,36.66,-,-,-
10,Total Current Assets,1307,1173,1210,1162,1071,968.73,989.61,934.76,957.4,672.29,-,535.86,-,-,-
11,"Property, Plant & Equipment",654.65,642.92,614.67,579.25,506.35,479.18,445.95,459.15,470.13,467.29,-,447.06,-,-,-
12,Goodwill,30.61,30.61,30.61,30.61,30.61,30.61,30.61,30.61,30.61,30.61,-,30.61,-,-,-
13,Other Intangible Assets,86.51,87.44,88.36,89.22,90.1,91.06,92,76.07,76.78,77.64,-,79.37,-,-,-
14,Long-Term Deferred Tax Assets,23.82,21.95,25.64,19.4,17.49,16.89,18.08,17.16,15.09,15.71,-,15.82,-,-,-
15,Long-Term Deferred Charges,7.84,7.39,2.44,9.6,2.52,2.96,3.46,3.78,3.91,4.05,-,4.24,-,-,-
16,Other Long-Term Assets,21.24,20.89,-,10.2,-,-,-,9.96,-,-,-,3.03,-,-,-
17,Total Assets,2132,1984,1972,1900,1718,1589,1580,1531,1554,1268,-,1116,-,-,-
18,Accounts Payable,170.93,132.6,130.17,149.36,186.78,130.96,137.44,148.31,179.55,216.84,-,122.8,-,-,-
19,Accrued Expenses,27.55,78.77,15.18,87.91,34.1,91.35,18.76,79.73,21.15,47.17,-,68.42,-,-,-
20,Short-Term Debt,180,150,50,-,30,-,-,-,-,49.9,-,87.12,-,-,-
21,Current Portion of Long-Term Debt,-,-,-,-,2.74,22,30.43,32.04,2.82,2.82,-,-,-,-,-
22,Current Portion of Leases,8.51,8.51,8.06,8.06,-,2.74,-,2.74,-,-,-,2.82,-,-,-
23,Current Income Taxes Payable,74.33,26.73,65.98,43.24,76.52,42.94,59.31,44.67,50.83,27.58,-,32.78,-,-,-
24,Current Unearned Revenue,26.47,26.55,-,19.85,15.39,11.99,27.65,26.19,18.67,34.24,-,12.41,-,-,-
25,Other Current Liabilities,78.75,8.04,52.59,8.7,27.56,17.92,33.23,10.39,24.55,12.62,-,14.31,-,-,-
