,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,425.08,463.14,438.04,442.6,434.24,502.11,488.83,432.02,318.4
1,Revenue Growth (YoY),-2.96%,4.64%,0.88%,-11.85%,-11.17%,16.22%,53.53%,-,-
2,Cost of Revenue,344.66,374.99,353.79,361.54,342.4,367.5,345,311.21,222.91
3,Gross Profit,80.42,88.15,84.25,81.06,91.84,134.61,143.84,120.82,95.49
4,"Selling, General & Admin",35.61,42.48,35.66,57.42,40.72,66.74,50.98,63.23,37.23
5,Other Operating Expenses,195.89,-34.82,30.76,-11.53,5.08,-6.28,-1.26,-4.22,-0.28
6,Operating Expenses,231.5,69.83,66.42,95.42,45.8,62.15,49.72,60.12,36.95
7,Operating Income,-151.08,18.32,17.83,-14.36,46.04,72.46,94.12,60.69,58.55
8,Interest Expense,-0.06,-0,-0.14,-0.17,-0.12,-0.51,-0.06,-0.17,-0.09
9,Interest & Investment Income,0.77,0.49,0.83,0.56,1.74,1.27,0.51,0.21,0.34
10,Currency Exchange Gain (Loss),-,0.04,-,0.19,-,-2.7,-,-0,-
11,Other Non Operating Income (Expenses),-,-20.6,-,-7.08,-,3.34,-,1.13,-
12,EBT Excluding Unusual Items,-150.37,-1.76,18.52,-20.86,47.67,73.86,94.56,61.85,58.8
13,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,1.2,-
14,Gain (Loss) on Sale of Assets,-,-0.02,-,-0.05,-,-0.01,-,0.05,-
15,Pretax Income,-150.37,-1.78,18.52,-20.91,47.67,73.85,94.56,63.1,58.8
16,Income Tax Expense,-36.74,0.15,5.93,-3.98,12.33,23.27,25.63,18.94,17.89
17,Earnings From Continuing Operations,-113.63,-1.93,12.59,-16.94,35.34,50.58,68.93,44.16,40.91
18,Minority Interest in Earnings,-,-,-,-,-2.87,-4.67,-2.44,-0.02,-2.54
19,Net Income,-113.63,-1.93,12.59,-16.94,32.47,45.92,66.48,44.15,38.36
20,Net Income to Common,-113.63,-1.93,12.59,-16.94,32.47,45.92,66.48,44.15,38.36
21,Net Income Growth,-,-,-61.24%,-,-51.17%,4.01%,73.30%,-,-
22,Shares Outstanding (Basic),508,508,508,508,508,497,375,-,-
23,Shares Outstanding (Diluted),508,508,508,508,508,497,375,-,-
24,Shares Change (YoY),-,-,-,2.18%,35.49%,-,-,-,-
25,EPS (Basic),-0.22,-0.00,0.02,-0.03,0.06,0.09,0.18,-,-
26,EPS (Diluted),-0.22,-0.00,0.02,-0.03,0.06,0.09,0.18,-,-
27,EPS Growth,-,-,-61.24%,-,-63.96%,-,-,-,-
28,Free Cash Flow,-69.41,87.44,-53.93,117.11,-135.16,24.71,-23.66,240.07,9.04
29,Free Cash Flow Per Share,-0.14,0.17,-0.11,0.23,-0.27,0.05,-0.06,-,-
30,Operating Margin,-35.54%,3.96%,4.07%,-3.24%,10.60%,14.43%,19.25%,14.05%,18.39%
31,Profit Margin,-26.73%,-0.42%,2.87%,-3.83%,7.48%,9.14%,13.60%,10.22%,12.05%
32,Free Cash Flow Margin,-16.33%,18.88%,-12.31%,26.46%,-31.12%,4.92%,-4.84%,55.57%,2.84%
33,EBITDA,-148.97,-20.02,20.02,-13.47,47.69,73.76,95.35,61.45,59.02
34,D&A For EBITDA,2.11,-,2.19,0.89,1.65,1.3,1.23,0.76,0.48
35,EBIT,-151.08,18.32,17.83,-14.36,46.04,72.46,94.12,60.69,58.55
36,Advertising Expenses,0.24,-,2.45,-,0.72,-,1.13,-,0.66
