,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,674.31,751.8,667.34,724.11,622.49,761.89,218.59,249.22,-
1,Short-Term Investments,7,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,681.31,751.8,667.34,724.11,622.49,761.89,218.59,249.22,-
3,Cash Growth,2.09%,3.82%,7.20%,-4.96%,184.77%,205.71%,-,-,-
4,Accounts Receivable,282.98,339.06,329.81,317.38,347.91,279.5,194.11,101.63,-
5,Other Receivables,75.62,141.98,156.05,114.56,173.52,76.44,32.35,37.91,-
6,Receivables,358.6,481.04,485.86,431.95,521.44,355.93,226.46,139.54,-
7,Inventory,1.64,1.74,0.86,1.73,1.94,1.72,-,-,-
8,Prepaid Expenses,-,-,-,-,-,-,0.66,0.37,-
9,Restricted Cash,2.26,0,0.92,0.49,0,5.35,5.35,5.35,-
10,Other Current Assets,11.78,8.8,14.09,5.57,6.42,8.31,14.39,8.79,-
11,Total Current Assets,1056,1243,1169,1164,1152,1133,465.45,403.28,-
12,"Property, Plant & Equipment",8.03,12.46,14.94,13.81,14.97,17.64,16.78,15.74,-
13,Other Intangible Assets,5.84,5.83,4.98,4.38,3.64,1.58,1.25,0.39,-
14,Long-Term Deferred Tax Assets,84.95,36.36,24.37,16,4.09,2.12,3.94,3.18,-
15,Total Assets,1154,1298,1213,1198,1175,1155,487.42,422.59,-
16,Accounts Payable,183.11,182.77,146.66,146.32,92.26,70.06,62.16,50.93,-
17,Accrued Expenses,70.1,75.49,66.52,81.35,76.47,105.57,71.95,107.13,-
18,Current Portion of Leases,1.12,2.36,2.96,2.45,2.9,3.1,3.59,2.73,-
19,Current Income Taxes Payable,72.05,64.39,54.72,48.11,38.41,41.84,20.59,6.14,-
20,Current Unearned Revenue,106.67,127.8,94.22,95.69,93.62,95.75,78.11,82.55,-
21,Other Current Liabilities,121.96,130.51,130.84,119.31,137.08,137.68,121.47,112.02,-
22,Total Current Liabilities,555.01,583.33,495.92,493.23,440.75,454.01,357.87,361.49,-
23,Long-Term Leases,0.64,2.32,3.11,3.05,3.57,5.2,5.25,5.74,-
24,Total Liabilities,555.65,585.64,499.03,496.28,444.31,459.2,363.12,367.23,-
25,Common Stock,4.23,4.23,4.23,4.23,4.23,4.23,-,-,-
26,Additional Paid-In Capital,663.03,663.03,663.03,663.03,663.03,663.03,146.8,146.8,-
27,Retained Earnings,111.31,224.93,226.86,214.28,233.55,201.09,155.17,88.69,-
28,Comprehensive Income & Other,-179.8,-179.8,-179.8,-179.8,-179.8,-179.8,-179.8,-179.8,-
29,Total Common Equity,598.77,712.4,714.32,701.74,721.01,688.55,122.17,55.69,-
30,Minority Interest,-,-,-,-,9.66,6.79,2.13,-0.32,-
31,Shareholders' Equity,598.77,712.4,714.32,701.74,730.68,695.34,124.29,55.37,-
32,Total Liabilities & Equity,1154,1298,1213,1198,1175,1155,487.42,422.59,-
33,Total Debt,1.76,4.68,6.08,5.5,6.46,8.3,8.84,8.47,-
34,Net Cash (Debt),679.55,747.12,661.26,718.61,616.03,753.58,209.76,240.76,-
35,Net Cash Growth,2.76%,3.97%,7.34%,-4.64%,193.69%,213.01%,-,-,-
36,Net Cash Per Share,1.34,1.47,1.30,1.41,1.21,1.52,0.56,-,-
37,Filing Date Shares Outstanding,508.1,508.1,508.1,508.1,508.1,508.1,500,-,-
38,Total Common Shares Outstanding,508.1,508.1,508.1,508.1,508.1,508.1,375,-,-
39,Working Capital,500.58,660.06,673.15,670.61,711.54,679.2,107.58,41.79,-
40,Book Value Per Share,1.18,1.40,1.41,1.38,1.42,1.36,0.33,-,-
41,Tangible Book Value,592.93,706.57,709.34,697.36,717.38,686.97,120.92,55.29,-
42,Tangible Book Value Per Share,1.17,1.39,1.40,1.37,1.41,1.35,0.32,-,-
43,Machinery,8.93,8.7,8.28,7.91,7.5,7.57,6.45,6.26,-
44,Leasehold Improvements,18.92,18.64,17.25,14.87,12.85,12.37,10.28,8.82,-
