,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Feb '25 Feb 27, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,305,432,221,1956,2134,2332,2515,-,-,-
1,Market Cap Growth,-77.92%,-77.92%,-89.64%,-16.12%,-15.15%,-,-,-,-,-
2,Enterprise Value,-425,-391,-493,1144,1424,1416,2265,-,-,-
3,Last Close Price,0.60,0.85,0.43,3.85,4.20,4.59,4.95,-,-,-
4,PE Ratio,-,-,-,-415.99,-,25.40,18.23,-,-,-
5,PS Ratio,0.32,0.45,0.22,2.06,2.15,2.13,2.07,-,-,-
6,PB Ratio,0.47,0.67,0.28,2.53,2.69,2.72,2.95,-,-,-
7,P/TBV Ratio,0.68,0.68,0.28,2.55,2.71,2.78,2.98,-,-,-
8,P/FCF Ratio,22.29,-,5.99,-,-104.62,-,1958.89,-,-,-
9,P/OCF Ratio,19.61,-,5.27,-,-124.62,-,335.19,-,-,-
10,EV/Sales Ratio,-,-,-,1.20,1.44,1.29,1.86,-,-,-
11,EV/EBITDA Ratio,-,-,-,161.49,-,9.95,10.91,-,-,-
12,EV/EBIT Ratio,-,-,-,304.44,-,10.20,11.08,-,-,-
13,EV/FCF Ratio,-21.95,-,-,-,-69.80,-,1764.40,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.07,0.15,-
15,Debt / FCF Ratio,0.10,-,0.14,-,-0.31,-,7.94,-,0.03,-
16,Return on Capital Employed (ROCE),-,-,5.06%,0.48%,-,16.14%,23.78%,119.50%,195.13%,-
17,Earnings Yield,-40.73%,-28.75%,5.31%,-0.24%,0.82%,3.94%,5.49%,-,-,-
18,FCF Yield,6.36%,4.49%,16.71%,3.49%,-0.96%,-5.55%,0.05%,-,-,-
19,Buyback Yield / Dilution,-,-,-,-2.18%,-35.49%,-,-,-,-,
20,Total Shareholder Return,-,-,-,-2.18%,-35.49%,-,-,-,-,
