,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,253.91,191.63,120.97,144.13,371.06,433.27,440.41,475.12,659.33,694.27,504.09,504.09
1,Other Revenue,-,-2.9,2.9,-,10.73,-3.22,3.22,-,33.03,-19.93,9.96,9.96
2,Revenue,253.91,188.73,123.87,144.13,381.79,430.05,443.63,475.12,692.36,674.34,514.05,514.05
3,Revenue Growth (YoY),-33.49%,-56.11%,-72.08%,-69.67%,-44.86%,-36.23%,-13.70%,-7.57%,-,-,-,-
4,Cost of Revenue,-396.54,157.4,130.65,108.5,313.08,302.78,331.2,345.71,522.31,508.9,413.81,413.81
5,Gross Profit,650.46,31.33,-6.78,35.63,68.71,127.27,112.43,129.41,170.05,165.44,100.24,100.24
6,"Selling, General & Admin",-112.8,36.54,36.3,39.97,38.21,35.67,29.67,28.58,21.45,29.54,29.56,29.56
7,Research & Development,-156.96,62.46,55.03,39.47,40.39,49.66,39.21,33.56,33.99,32.24,26.85,26.85
8,Other Operating Expenses,1494,-6.08,0.44,-11.95,5.9,0.27,-5.76,-4.31,9.31,-3.69,-4.05,-4.05
9,Operating Expenses,1226,91.78,92.25,66.22,88.95,84.74,63.42,57.87,65.96,53.06,51.32,51.32
10,Operating Income,-575.39,-60.45,-99.03,-30.59,-20.24,42.53,49.02,71.54,104.09,112.38,48.91,48.91
11,Interest Expense,-14.23,-3.71,-3.41,-2.41,-0.53,-0.08,-0.05,-0.06,-0.29,-0.84,-1.84,-1.84
12,Interest & Investment Income,9.54,3.25,5.41,5.57,7.18,3.73,2.63,3.51,3.07,1.24,0.97,0.97
13,Currency Exchange Gain (Loss),-,-0.8,0.8,-,0.82,-2.18,2.18,-,-0.7,-0,0,0
14,Other Non Operating Income (Expenses),-0.65,-1.19,0.05,-,-2.14,1.24,-0.56,-0.12,-2.65,2.46,-0.09,-0.09
15,EBT Excluding Unusual Items,-580.73,-62.91,-96.18,-27.43,-14.91,45.24,53.21,74.88,103.52,115.24,47.96,47.96
16,Gain (Loss) on Sale of Investments,8.42,4.98,-9.14,-4.26,0.16,3.4,-0.17,-0.36,-0.5,0.97,0.61,0.61
17,Gain (Loss) on Sale of Assets,0.12,0.02,0.01,-0.16,-0,0,0,-0.22,-0.2,0.08,-0.02,-0.02
18,Asset Writedown,370.86,-370.86,29.18,-29.18,3.3,-3.3,1.3,-1.3,1.17,-1.17,-0,-0
19,Other Unusual Items,-,-1.8,1.65,0.15,31.29,-,-,-,17.83,-0.54,0.27,0.27
20,Pretax Income,-201.33,-430.57,-74.48,-60.88,19.85,45.34,54.34,72.99,121.82,114.58,48.83,48.83
21,Income Tax Expense,-86.35,-50.62,0.38,-2.39,5.46,1.13,0.23,8.78,13.94,14.57,6.22,6.22
22,Earnings From Continuing Operations,-114.98,-379.95,-74.86,-58.49,14.39,44.21,54.11,64.21,107.87,100.01,42.61,42.61
23,Minority Interest in Earnings,0.02,-0.06,-0.01,0.04,0,-0.06,-0,0.04,0.05,0,-,-
24,Net Income,-114.96,-380,-74.86,-58.45,14.39,44.15,54.11,64.25,107.92,100.01,42.61,42.61
25,Net Income to Common,-114.96,-380,-74.86,-58.45,14.39,44.15,54.11,64.25,107.92,100.01,42.61,42.61
26,Net Income Growth,-,-,-,-,-86.67%,-55.85%,26.99%,50.79%,-,-,-,-
27,Shares Outstanding (Basic),397,386,418,390,398,391,360,357,358,379,355,355
28,Shares Outstanding (Diluted),397,386,418,390,398,391,360,357,358,379,355,355
29,Shares Change (YoY),-0.17%,-1.25%,16.07%,9.17%,11.01%,2.97%,1.49%,0.52%,-,-,-,-
30,EPS (Basic),-0.29,-0.98,-0.18,-0.15,0.04,0.11,0.15,0.18,0.30,0.26,0.12,0.12
31,EPS (Diluted),-0.29,-0.98,-0.18,-0.15,0.04,0.11,0.15,0.18,0.30,0.26,0.12,0.12
32,EPS Growth,-,-,-,-,-87.99%,-57.13%,25.12%,50.00%,-,-,-,-
33,Free Cash Flow,-,-218.36,-217.48,-253.58,10.54,-91.08,-108.08,-54.87,252.47,174.19,59.67,59.67
34,Free Cash Flow Per Share,-,-0.57,-0.52,-0.65,0.03,-0.23,-0.30,-0.15,0.71,0.46,0.17,0.17
35,Dividend Per Share,-,-,-,-,0.045,-,-,-,-,-,-,-
36,Gross Margin,256.17%,16.60%,-5.47%,24.72%,18.00%,29.59%,25.34%,27.24%,24.56%,24.53%,19.50%,19.50%
37,Operating Margin,-226.61%,-32.03%,-79.95%,-21.23%,-5.30%,9.89%,11.05%,15.06%,15.03%,16.67%,9.52%,9.52%
38,Profit Margin,-45.28%,-201.35%,-60.44%,-40.55%,3.77%,10.27%,12.20%,13.52%,15.59%,14.83%,8.29%,8.29%
39,Free Cash Flow Margin,-,-115.70%,-175.57%,-175.94%,2.76%,-21.18%,-24.36%,-11.55%,36.47%,25.83%,11.61%,11.61%
40,EBITDA,-553.74,-38.8,-79.81,-8.94,1.41,64.26,70.26,93.27,125.82,134.82,71.34,71.34
41,EBITDA Margin,-218.08%,-20.56%,-64.43%,-6.20%,0.37%,14.94%,15.84%,19.63%,18.17%,19.99%,13.88%,13.88%
42,D&A For EBITDA,21.65,21.65,19.22,21.65,21.65,21.73,21.25,21.73,21.73,22.43,22.43,22.43
43,EBIT,-575.39,-60.45,-99.03,-30.59,-20.24,42.53,49.02,71.54,104.09,112.38,48.91,48.91
44,EBIT Margin,-226.61%,-32.03%,-79.94%,-21.22%,-5.30%,9.89%,11.05%,15.06%,15.03%,16.67%,9.52%,9.52%
45,Effective Tax Rate,-,-,-,-,27.52%,2.48%,0.42%,12.03%,11.44%,12.72%,12.73%,12.73%
46,Revenue as Reported,-,188.73,123.87,144.13,381.79,430.05,443.63,475.12,692.36,674.34,514.05,514.05
