,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,6190,6783,7876,6764,6252,8476,9616,11580,-,-,-,-,-
1,Market Cap Growth,-19.98%,-19.98%,-18.09%,-41.59%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,5846,6438,7130,5760,5141,7365,8382,10899,-,-,-,-,-
3,Last Close Price,15.56,17.05,19.80,16.94,15.59,21.13,23.98,28.87,-,-,-,-,-
4,PE Ratio,-,-,-,-,-,47.91,35.56,35.49,-,-,-,-,-
5,PS Ratio,8.71,9.54,9.39,6.26,4.47,4.90,4.71,5.07,-,-,-,-,-
6,PB Ratio,3.43,3.75,4.36,3.12,2.76,3.66,4.20,5.20,-,-,-,-,-
7,P/TBV Ratio,3.87,3.87,4.50,3.16,2.79,3.69,4.24,5.25,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-,-34.81,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-,-23.67,-,-47.70,-,-,-,-,-,-,-
10,EV/Sales Ratio,8.23,9.06,8.50,5.33,3.67,4.26,4.11,4.77,-,-,-,-,-
11,EV/EBITDA Ratio,-,-,-,-,-,32.13,23.70,25.69,-,-,-,-,-
12,EV/EBIT Ratio,-,-,-,-,-,-,31.37,32.34,-,-,-,-,-
13,EV/FCF Ratio,-,-,-,-,-,-30.25,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.30,0.30,0.30,0.21,0.17,0.14,0.00,0.00,0.00,0.00,-,-,0.15
15,Debt / EBITDA Ratio,-,-,-,-,-,15.63,0.03,0.02,0.02,0.01,-,-,0.54
16,Debt / FCF Ratio,-,-,-,-,-,-1.32,-,-,-,0.01,-,-,2.59
17,Asset Turnover,-,0.22,0.13,0.15,0.47,0.54,-,-,-,-,-,-,
18,Inventory Turnover,-,-,2.76,2.41,2.30,6.26,5.50,-,-,-,-,-,-
19,Quick Ratio,-,-,1.07,1.15,1.14,2.21,2.55,2.31,-,1.29,-,-,-
20,Current Ratio,-,-,1.32,1.40,1.35,2.48,2.93,2.63,-,1.60,-,-,-
21,Return on Equity (ROE),-25.45%,-76.44%,-13.51%,-10.21%,2.50%,7.83%,12.02%,18.68%,-,-,-,-,
22,Return on Assets (ROA),-,-4.32%,-6.40%,-2.06%,-1.55%,3.37%,-,-,-,-,-,-,
23,Return on Capital (ROIC),-61.25%,-6.08%,-9.40%,-2.89%,-2.05%,4.70%,6.78%,12.95%,-,-,-,-,
24,Return on Capital Employed (ROCE),-,-,-,-,-,-,11.32%,14.67%,-,21.89%,-,-,-
25,Earnings Yield,-10.15%,-9.26%,-6.33%,-1.11%,0.87%,2.09%,2.81%,2.82%,-,-,-,-,-
26,FCF Yield,-,-8.62%,-8.16%,-7.07%,-2.87%,-0.02%,2.28%,-,-,-,-,-,
27,Dividend Yield,0.28%,-,-,-,-,0.21%,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,-,-,-,0.17%,0.12%,-,-,0.26%,0.94%,8.30%,8.30%
29,Buyback Yield / Dilution,-5.65%,0.17%,1.25%,-16.07%,-9.17%,-11.01%,-2.97%,-1.49%,-0.52%,-,-,-,-
30,Total Shareholder Return,-5.37%,0.17%,1.25%,-16.07%,-9.17%,-10.80%,-2.97%,-1.49%,-0.52%,-,-,-,-
