,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,-,276.8,821.31,1143,1068,389.01,881.02,-,96.13,-,-,-
1,Trading Asset Securities,-,611.97,384.86,242.46,387.11,732.75,360.98,-,594.03,-,-,-
2,Cash & Short-Term Investments,888.77,888.77,1206,1386,1455,1122,1242,690.16,690.16,-,-,274.96
3,Cash Growth,-38.94%,-20.77%,-2.88%,100.79%,110.89%,-,-,151.00%,-,-,-,-
4,Accounts Receivable,-,445.7,380.94,428.85,597.49,850.98,804.73,-,552.54,-,-,-
5,Other Receivables,-,3.69,1.41,1.97,1.46,1.85,4.55,-,1.7,-,-,-
6,Receivables,-,449.39,382.35,430.82,598.95,852.83,809.28,-,554.24,-,-,-
7,Inventory,-,218.32,237.85,196.25,181.18,218.68,221.37,-,233.86,-,-,-
8,Other Current Assets,-,98.35,105.05,136.82,69.63,74.02,68.33,-,68.61,-,-,-
9,Total Current Assets,-,1655,1931,2150,2305,2267,2341,-,1547,-,-,-
10,"Property, Plant & Equipment",-,1399,1647,1349,871.08,816.1,797.21,-,817.04,-,-,-
11,Long-Term Investments,-,20.95,18.94,29.95,0.31,0.31,0.3,-,0.32,-,-,-
12,Other Intangible Assets,-,52.45,22.1,22.6,17.17,17.94,18.76,-,17.78,-,-,-
13,Long-Term Accounts Receivable,-,-,0.45,-,6.27,-,-,-,-,-,-,-
14,Long-Term Deferred Tax Assets,-,73.14,22.51,22.81,20.4,15.4,15.37,-,16.34,-,-,-
15,Long-Term Deferred Charges,-,48.75,50.85,14.12,5.05,3.06,3.73,-,1.3,-,-,-
16,Other Long-Term Assets,-,35.8,20.95,435.28,191.94,12.82,9.81,-,2.58,-,-,-
17,Total Assets,-,3285,3714,4024,3417,3133,3186,-,2402,-,-,-
