,Fiscal Quarter,Current,Q4 2024,Q4 2023,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,+9 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Dec '14 Dec 31, 2014","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Dec '13 Dec 31, 2013","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Dec '12 Dec 31, 2012","Sep '12 Sep 30, 2012","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012","Dec '11 Dec 31, 2011","Sep '11 Sep 30, 2011","Jun '11 Jun 30, 2011","Mar '11 Mar 31, 2011",+9 Quarters
0,Market Capitalization,1292289,1060069,1141497,596901,659733,672299,586429,481710,563391,523597,416783,397934,420972,316253,295309,343480,351857,310418,338468,345948,486198,Upgrade
1,Market Cap Growth,120.06%,57.68%,94.65%,23.91%,17.10%,28.40%,40.70%,21.05%,33.83%,65.56%,41.13%,15.85%,19.64%,1.88%,-12.75%,-0.71%,-27.63%,-46.62%,-48.02%,-52.67%,-35.00%,Upgrade
2,Enterprise Value,1148099,1200176,1281603,730245,811311,823877,704969,548826,588177,543714,469932,497070,520108,448027,523004,573759,564760,473378,408781,426335,500611,Upgrade
3,Last Close Price,42850.00,35150.00,35575.09,7965.38,8803.84,8495.17,7410.12,6086.88,7119.01,6219.21,4950.49,4726.60,5000.24,3756.40,3127.29,3637.41,3726.13,3331.12,3632.13,3665.10,5150.95,Upgrade
4,PE Ratio,10.85,7.91,10.64,5.87,6.70,6.87,5.87,4.97,6.82,6.15,6.18,6.07,5.64,4.62,3.50,4.15,3.88,3.39,3.78,3.83,5.32,Upgrade
5,PS Ratio,0.79,0.80,1.06,0.69,0.77,0.80,0.71,0.61,0.76,0.73,0.58,0.49,0.47,0.32,0.27,0.33,0.35,0.34,0.40,0.43,0.60,Upgrade
6,PB Ratio,2.07,1.64,1.91,1.06,1.15,1.22,1.11,0.96,1.17,1.05,0.88,0.88,1.03,0.77,0.69,0.75,0.80,0.67,0.84,0.90,1.37,Upgrade
7,P/TBV Ratio,1.76,1.76,2.06,1.17,1.24,1.31,1.19,1.03,1.27,1.13,0.95,0.96,1.08,0.81,0.72,0.84,0.90,0.75,0.96,1.03,1.57,Upgrade
8,P/FCF Ratio,-,-,-,13.60,-,-17.67,-,-,-,-,2.80,3.22,-,2.93,-16.65,-2.39,-2.61,-,-,-14.64,-,Upgrade
9,P/OCF Ratio,199.49,-,-,3.67,3.61,4.05,6.81,3.62,-,3.81,2.21,2.53,2.66,1.78,2.01,2.43,3.02,3.67,7.17,4.15,-,Upgrade
10,EV/Sales Ratio,0.70,0.91,1.19,0.84,0.95,0.98,0.85,0.70,0.79,0.76,0.65,0.62,0.58,0.45,0.48,0.55,0.56,0.52,0.48,0.53,0.62,Upgrade
11,EV/EBITDA Ratio,5.92,7.67,-,3.57,4.16,4.31,3.97,3.27,3.47,3.43,3.08,3.11,3.07,2.47,2.74,3.01,2.85,2.48,2.21,2.41,3.00,Upgrade
12,EV/EBIT Ratio,7.05,8.09,9.31,5.34,6.07,6.38,5.96,4.96,5.50,5.47,5.20,5.37,5.30,4.19,4.44,4.58,3.97,3.31,2.82,3.05,3.82,Upgrade
13,EV/FCF Ratio,-173.95,-,-,16.64,-,-21.66,-,-,-,-,3.16,4.03,-,4.15,-29.49,-3.99,-4.18,-,-,-18.04,-,Upgrade
14,Debt / Equity Ratio,0.05,0.05,0.03,0.29,0.31,0.32,0.34,0.31,0.33,0.35,0.39,0.44,0.57,0.57,0.57,0.55,0.53,0.51,0.43,0.17,0.19,Upgrade
15,Debt / EBITDA Ratio,0.19,0.14,-,0.83,0.93,0.75,0.91,0.99,0.91,0.96,1.17,1.20,1.81,1.50,1.30,1.22,1.31,1.23,0.93,0.28,0.45,Upgrade
16,Debt / FCF Ratio,-,-,-,3.75,-,-4.63,-,-,-,-,1.24,1.62,-,2.17,-13.69,-1.74,-1.73,-,-,-2.73,-,Upgrade
17,Asset Turnover,-,-,0.94,0.87,0.96,1.02,1.06,0.92,1.01,0.94,-,-,1.00,1.24,1.17,1.12,1.37,1.19,1.57,1.09,Upgrade,
18,Inventory Turnover,106.11,-,-,119.38,104.92,115.13,127.59,115.20,90.60,83.68,97.08,-,-,24.56,23.60,21.76,25.11,34.74,33.02,28.50,18.11,Upgrade
19,Quick Ratio,1.52,1.52,1.55,1.11,1.34,1.16,1.35,1.42,1.67,1.87,2.31,2.16,-,1.23,1.76,1.34,1.21,1.25,0.87,1.20,1.01,Upgrade
20,Current Ratio,1.59,1.59,1.64,1.18,1.38,1.26,1.46,1.64,1.83,1.98,2.52,2.22,-,1.44,2.18,1.75,1.54,1.57,1.41,1.83,1.61,Upgrade
21,Return on Equity (ROE),-,-,19.63%,16.87%,25.49%,21.83%,22.48%,16.66%,23.97%,21.53%,9.52%,22.80%,11.66%,24.39%,19.16%,17.50%,28.43%,25.29%,33.63%,23.56%,Upgrade,
22,Return on Assets (ROA),-,-,8.53%,8.26%,11.19%,9.54%,8.91%,7.96%,9.40%,8.28%,-,-,6.49%,8.04%,8.63%,7.43%,9.09%,12.14%,20.12%,11.37%,Upgrade,
23,Return on Capital (ROIC),-,-,10.97%,10.15%,14.16%,12.28%,11.25%,9.69%,11.21%,9.89%,9.93%,6.91%,8.01%,10.18%,11.31%,9.62%,12.49%,17.31%,27.69%,15.89%,Upgrade,
24,Return on Capital Employed (ROCE),20.99%,21.41%,21.11%,19.69%,19.01%,19.51%,17.03%,17.43%,17.90%,16.09%,13.99%,14.85%,-,18.30%,17.85%,18.11%,21.78%,21.31%,25.21%,31.56%,31.74%,Upgrade
25,Earnings Yield,9.22%,12.64%,10.01%,18.20%,16.49%,16.09%,17.61%,20.80%,14.65%,16.27%,16.18%,16.48%,17.72%,21.64%,28.57%,24.12%,25.75%,29.51%,26.43%,26.08%,18.79%,Upgrade
26,FCF Yield,-0.51%,-,-,7.35%,-3.20%,-5.66%,-19.59%,-6.81%,10.46%,16.34%,35.74%,31.02%,23.55%,34.10%,-6.01%,-41.91%,-38.38%,-57.27%,-34.92%,-6.83%,-2.62%,Upgrade
