,Fiscal Quarter,Q4 2024,Q4 2023,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,+9 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Dec '14 Dec 31, 2014","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Dec '13 Dec 31, 2013","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Dec '12 Dec 31, 2012","Sep '12 Sep 30, 2012","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012","Dec '11 Dec 31, 2011","Sep '11 Sep 30, 2011","Jun '11 Jun 30, 2011","Mar '11 Mar 31, 2011",+9 Quarters
0,Revenue,464076,440992,223774,197255,218474,224695,217389,183954,200310,183998,177839,155240,201976,270537,266092,249894,301400,217476,234807,162966,Upgrade
1,Revenue Growth (YoY),112.42%,96.26%,2.94%,7.23%,9.07%,22.12%,22.24%,18.50%,-0.83%,-31.99%,-33.17%,-37.88%,-32.99%,24.40%,13.32%,53.34%,29.51%,28.30%,-3.06%,14.98%,Upgrade
2,Cost of Revenue,383972,378212,178788,156610,162596,179932,175918,148040,159860,148960,141497,130060,172487,230184,224810,214983,252543,173542,177915,128313,Upgrade
3,Gross Profit,80104,62780,44986,40645,55878,44763,41471,35914,40450,35038,36342,25181,29489,40353,41282,34911,48858,43934,56891,34653,Upgrade
4,"Selling, General & Admin",28713,28344,12557,10593,15160,11081,12173,10463,10551,9079,10631,7430,8455,12257,9949,8398,16927,8429,8652,7330,Upgrade
5,Other Operating Expenses,-,-,8.73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
6,Operating Expenses,28713,28344,12566,10593,15160,11081,12173,10463,10551,9079,10631,7430,8455,12257,9949,8398,16927,8429,8652,7330,Upgrade
7,Operating Income,51392,34437,32420,30052,40718,33682,29299,25451,29899,25959,25710,17750,21034,28096,31333,26513,31931,35505,48240,27323,Upgrade
8,Interest Expense,-118.14,-195.29,-,-,-2826,-2364,-2653,-2477,-2714,-3019,-3369,-3766,-4358,-3473,-5191,-4513,-2827,-2851,-1102,-1109,Upgrade
9,Interest & Investment Income,2729,4508,-,-,9554,944.28,-,4099,2282,2410,3846,14903,268.98,8037,1449,2667,13844,333.33,277.78,2442,Upgrade
10,Earnings From Equity Investments,10088,1615,3498,1777,3771,3109,-179.54,-972.61,2672,3232,-2569,-,1717,1146,1128,945.46,863.38,544.48,-439.35,-451.95,Upgrade
11,Currency Exchange Gain (Loss),-,-,-,-,-7884,-,6588,69.65,-1873,-,-86.47,-34.3,50.51,-,48.69,-29.59,-1269,-,-3386,-,Upgrade
12,Other Non Operating Income (Expenses),-86.79,556.06,-918.01,-1988,-261.28,-14.46,77.71,38.29,152.52,2572,-765.5,-604.34,524.47,496.02,19.73,55.19,219.08,-525.79,576.59,22.38,Upgrade
13,EBT Excluding Unusual Items,64004,40920,35000,29841,43073,35357,33132,26208,30418,31154,22767,28248,19236,34302,28787,25638,42762,33006,44167,28226,Upgrade
14,Gain (Loss) on Sale of Investments,-,-,-,-,-291.59,-,1045,-,-512.16,-,-,-,1631,-,41.45,-,-4410,-,-,-,Upgrade
15,Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,8186,-,-5976,-,-3437,-,18.24,-,2.73,-,-46.95,-,Upgrade
