,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+1 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+1 Quarters
0,Revenue,982.27,969.17,1224,1296,1134,938.32,836.99,556.78,593.11,614.32,Upgrade
1,Revenue Growth (YoY),-19.74%,-25.24%,7.95%,38.16%,35.45%,68.53%,41.12%,-9.37%,-10.40%,-8.00%,Upgrade
2,Operations & Maintenance,10.4,26.09,13.02,31.31,15.53,34.28,13.92,15.69,18.58,32.5,Upgrade
3,"Selling, General & Admin",-,2.54,-,2.09,-,2.22,-,1.64,-,2.41,Upgrade
4,Depreciation & Amortization,175.55,172.16,171.58,165.39,170.58,144.98,121.37,108.3,84.73,79.66,Upgrade
5,Provision for Bad Debts,-,8.59,-,2.79,-,20.29,-,-0.1,-,-,Upgrade
6,Other Operating Expenses,492.46,551.88,694.63,834.69,618.03,533.7,424.96,300.71,332.88,398.17,Upgrade
7,Total Operating Expenses,678.41,761.26,879.23,1036,804.13,735.46,560.25,426.24,436.19,512.75,Upgrade
8,Operating Income,303.87,207.91,344.58,260.07,329.59,202.86,276.74,130.55,156.92,101.57,Upgrade
9,Interest Expense,-91.62,-101.82,-110.94,-106.83,-120.27,-102.57,-85.65,-74.68,-70.32,-62.39,Upgrade
10,Interest Income,-,5.78,-,3.56,-,2.58,-,2.85,-,4.31,Upgrade
11,Net Interest Expense,-91.62,-96.04,-110.94,-103.27,-120.27,-99.99,-85.65,-71.83,-70.32,-58.08,Upgrade
12,Income (Loss) on Equity Investments,4.59,-1.13,4.15,-55.44,-7.81,-47.1,9.55,16.38,12.96,15.31,Upgrade
13,Currency Exchange Gain (Loss),-,1.73,-,-1.65,-,0.4,-,2.7,-,-0.65,Upgrade
14,Other Non-Operating Income (Expenses),16.02,8.64,7.23,-0.85,25.13,9.51,18.95,4.62,6.3,10.42,Upgrade
15,EBT Excluding Unusual Items,232.86,121.11,245.02,98.86,226.63,65.68,219.59,82.41,105.86,68.58,Upgrade
16,Impairment of Goodwill,-,-8.68,-,-,-,-4.34,-,-9,-,-,Upgrade
17,Gain (Loss) on Sale of Assets,-,2.45,-,13.12,-,13.26,-,12.02,18.14,4.1,Upgrade
18,Asset Writedown,-,-7.66,-,-66.81,-,-,-,-4.38,-,-27.99,Upgrade
19,Insurance Settlements,-,0.29,-,1.2,-,0.99,-,0.12,-,0.41,Upgrade
20,Other Unusual Items,-,-,-,-,-,-,-,-,-,0.15,Upgrade
21,Pretax Income,232.86,107.51,245.02,46.36,226.63,75.59,219.59,81.17,123.99,45.24,Upgrade
22,Income Tax Expense,42.1,34.82,38.08,25.31,33.26,12.11,21.96,18.74,18.79,22.61,Upgrade
23,Earnings From Continuing Ops.,190.76,72.69,206.94,21.05,193.37,63.48,197.63,62.43,105.2,22.63,Upgrade
24,Minority Interest in Earnings,-7.3,-2.83,-9.12,-3.82,-15.46,-4.65,-12.19,-4.6,-0.95,15.21,Upgrade
25,Net Income,183.45,69.86,197.83,17.24,177.91,58.84,185.44,57.83,104.25,37.83,Upgrade
26,Net Income to Common,183.45,69.86,197.83,17.24,177.91,58.84,185.44,57.83,104.25,37.83,Upgrade
27,Net Income Growth,-7.27%,305.32%,11.19%,-70.71%,-4.06%,1.74%,77.87%,52.86%,42.09%,94.80%,Upgrade
28,Shares Outstanding (Basic),4291,4291,4291,4291,4291,4291,4291,4291,4291,4291,Upgrade
29,Shares Outstanding (Diluted),4291,4291,4291,4291,4291,4291,4291,4291,4291,4291,Upgrade
30,EPS (Basic),0.04,0.02,0.05,0.00,0.04,0.01,0.04,0.01,0.02,0.01,Upgrade
31,EPS (Diluted),0.04,0.02,0.05,0.00,0.04,0.01,0.04,0.01,0.02,0.01,Upgrade
32,EPS Growth,-7.26%,307.00%,11.18%,-70.80%,-4.02%,1.65%,77.81%,53.16%,42.09%,94.43%,Upgrade
33,Free Cash Flow,-124.92,-115.94,156.12,203.33,76.28,-324.39,-588.73,-540.9,-590.34,-692.11,Upgrade
34,Free Cash Flow Per Share,-0.03,-0.03,0.04,0.05,0.02,-0.08,-0.14,-0.13,-0.14,-0.16,Upgrade
35,Profit Margin,18.68%,7.21%,16.16%,1.33%,15.69%,6.27%,22.16%,10.39%,17.58%,6.16%,Upgrade
36,Free Cash Flow Margin,-12.72%,-11.96%,12.76%,15.68%,6.73%,-34.57%,-70.34%,-97.15%,-99.53%,-112.66%,Upgrade
37,EBITDA,479.41,380.08,516.16,425.46,500.16,347.84,398.11,238.84,241.66,181.23,Upgrade
38,D&A For EBITDA,175.55,172.16,171.58,165.39,170.58,144.98,121.37,108.3,84.73,79.66,Upgrade
39,EBIT,303.87,207.91,344.58,260.07,329.59,202.86,276.74,130.55,156.92,101.57,Upgrade
