,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,427,516,623,570,596,651,679,674,586,549,771,Upgrade
1,Market Cap Growth,-9.53%,-9.53%,4.57%,-12.39%,-12.21%,-3.45%,15.90%,22.83%,-24.00%,-40.29%,7.61%,Upgrade
2,Enterprise Value,144,210,339,274,328,370,402,384,342,312,551,Upgrade
3,Last Close Price,1.76,2.06,2.41,2.13,2.10,2.24,2.24,2.17,1.81,1.66,2.25,Upgrade
4,PE Ratio,13.04,15.50,18.69,13.15,12.68,11.97,12.61,10.93,9.74,11.69,13.79,Upgrade
5,PS Ratio,1.68,2.01,2.42,2.13,2.22,2.42,2.56,2.55,2.29,2.12,2.79,Upgrade
6,PB Ratio,0.85,1.02,1.23,1.12,1.14,1.26,1.30,1.33,1.14,1.14,1.60,Upgrade
7,P/TBV Ratio,1.43,1.43,1.74,1.58,1.61,1.81,1.87,1.96,1.68,1.73,2.46,Upgrade
8,P/FCF Ratio,11.89,14.36,12.46,9.99,9.99,11.66,12.19,9.66,7.55,9.16,16.51,Upgrade
9,P/OCF Ratio,14.08,14.08,12.36,9.85,9.83,11.48,12.05,9.60,7.48,8.99,16.00,Upgrade
10,EV/Sales Ratio,0.56,0.82,1.32,1.02,1.22,1.38,1.52,1.45,1.34,1.20,2.00,Upgrade
11,EV/EBITDA Ratio,3.86,5.82,8.36,6.59,7.08,6.53,7.27,7.81,7.11,6.85,10.56,Upgrade
12,EV/EBIT Ratio,5.36,7.80,13.54,8.63,8.26,6.89,7.70,8.38,7.59,7.34,11.21,Upgrade
13,EV/FCF Ratio,4.02,5.85,6.78,4.80,5.50,6.64,7.22,5.50,4.41,5.21,11.80,Upgrade
14,Debt / Equity Ratio,0.04,0.04,0.02,0.03,0.02,0.03,0.03,0.01,0.01,0.01,0.02,Upgrade
15,Debt / FCF Ratio,0.60,0.60,0.18,0.23,0.20,0.29,0.33,0.06,0.09,0.10,0.21,Upgrade
16,Return on Capital Employed (ROCE),5.09%,5.09%,4.84%,6.02%,7.37%,10.02%,9.53%,8.76%,8.45%,8.59%,9.87%,Upgrade
17,Earnings Yield,7.79%,6.45%,5.35%,7.60%,7.89%,8.35%,7.93%,9.15%,10.26%,8.56%,7.25%,Upgrade
18,FCF Yield,8.41%,6.97%,8.02%,10.01%,10.01%,8.58%,8.20%,10.36%,13.24%,10.91%,6.06%,Upgrade
19,Dividend Yield,6.25%,5.33%,4.57%,6.11%,6.66%,7.83%,7.59%,8.28%,9.39%,7.85%,7.56%,Upgrade
20,Buyback Yield / Dilution,0.72%,1.35%,0.09%,0.02%,-0.03%,0.25%,0.19%,-0.15%,0.07%,-0.07%,-0.73%,Upgrade
21,Total Shareholder Return,6.97%,6.69%,4.65%,6.13%,6.63%,8.08%,7.78%,8.13%,9.46%,7.77%,6.83%,Upgrade
