,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 12, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,75,55,94,104,146,263,374,395,403,247,250
1,Market Cap Growth,-46.75%,-46.75%,-35.71%,-60.40%,-61.11%,-33.55%,-7.10%,60.00%,61.46%,-22.13%,-40.00%
2,Enterprise Value,98,78,94,102,180,317,424,394,390,157,108
3,Last Close Price,0.29,0.21,0.36,0.40,0.56,1.01,1.44,1.52,1.55,0.95,0.96
4,PE Ratio,-,-,-,-1.67,-,-,-,14.09,14.28,14.03,6.98
5,PS Ratio,0.52,0.38,0.54,0.45,0.63,1.50,2.40,1.80,1.53,0.77,0.67
6,PB Ratio,0.18,0.13,0.21,0.20,0.28,0.46,0.63,0.57,0.56,0.36,0.36
7,P/TBV Ratio,0.13,0.13,0.21,0.20,0.28,0.46,0.63,0.57,0.56,0.36,0.36
8,P/FCF Ratio,0.90,-,-4.02,-,2.69,12.15,-7.71,-,-,-,-
9,P/OCF Ratio,-,-,-,2.41,2.64,11.27,-8.06,-,-,-,-
10,EV/Sales Ratio,0.68,0.54,0.54,0.44,0.77,1.81,2.72,1.79,1.49,0.49,0.29
11,EV/EBITDA Ratio,-,-,-,-3.19,-,-3.49,-,-,30.72,4.32,1.95
12,EV/EBIT Ratio,-,-,-,-2.34,-,-2.72,-,-,34.74,4.53,2.01
13,EV/FCF Ratio,1.17,-,-4.05,-,3.31,14.66,-8.73,-,-,-,-
14,Debt / Equity Ratio,0.07,0.07,0.08,0.07,0.11,0.09,0.11,0.08,0.04,0.04,0.07
15,Debt / FCF Ratio,0.36,-,-1.61,-,1.03,2.27,-1.41,-,-,-,-
16,Return on Capital Employed (ROCE),-,-,-,-8.51%,-,-20.19%,-,-,1.56%,5.03%,7.64%
17,Earnings Yield,-109.96%,-149.71%,-68.61%,-59.76%,-48.64%,-35.64%,-23.32%,7.10%,7.01%,7.13%,14.33%
18,FCF Yield,111.28%,151.51%,-24.88%,-69.38%,37.23%,8.23%,-12.97%,-16.20%,-21.91%,-53.35%,-20.84%
