,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,72.85,71.25,102.96,129.84,102.92,71.89,84.06,135.62,127.01,193.12
1,Revenue Growth (YoY),-29.24%,-45.12%,0.04%,80.61%,22.44%,-46.99%,-33.82%,-29.77%,-28.51%,-14.63%
2,Cost of Revenue,75.61,69.05,87.69,112.37,90.52,63.76,72.69,109.97,110.04,147.04
3,Gross Profit,-2.76,2.2,15.26,17.47,12.39,8.12,11.37,25.65,16.96,46.08
4,"Selling, General & Admin",11.19,11.08,12.36,12.65,13.5,13.57,11.63,16.26,13.09,15.13
5,Operating Expenses,8.95,11.42,0.6,75.57,10.08,126.99,12.5,18.58,12.8,15.57
6,Operating Income,-11.71,-9.21,14.66,-58.1,2.32,-118.86,-1.13,7.07,4.17,30.51
7,Interest Expense,-0.81,-0.91,-0.98,-1.04,-1.34,-1.51,-0.62,-0.42,-0.75,-0.33
8,Interest & Investment Income,0.02,0.03,0.04,0.02,0.01,0.01,0.01,0.01,0.12,0.35
9,Currency Exchange Gain (Loss),-1.86,-4.19,-8.66,3.49,-10.71,5.22,4.3,23.76,-1.99,-3.63
10,Other Non Operating Income (Expenses),0.2,-51.21,0.95,-9.7,3.62,1.13,0.87,0.54,2.11,-0.72
11,EBT Excluding Unusual Items,-14.17,-65.49,6.01,-65.32,-6.11,-114.02,3.44,30.96,3.66,26.18
12,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-4.75,-,-7.24
13,Gain (Loss) on Sale of Assets,-,-,-,-0.08,2.23,6.46,-,-,-,-
14,Asset Writedown,-,-5.77,-,-,-,-,-,-,-,-
15,Other Unusual Items,-,-,-,1.12,-,0.24,-,3.15,-,-
16,Pretax Income,-14.17,-71.26,6.01,-64.28,-3.87,-107.32,3.44,29.35,3.66,18.94
17,Income Tax Expense,-0.49,-2.03,1.01,2.88,-0.21,-17.4,0.84,3.89,0.89,4.1
18,Earnings From Continuing Operations,-13.68,-69.23,5.01,-67.16,-3.66,-89.92,2.59,25.46,2.77,14.84
19,Net Income,-13.68,-69.23,5.01,-67.16,-3.66,-89.92,2.59,25.46,2.77,14.84
20,Net Income to Common,-13.68,-69.23,5.01,-67.16,-3.66,-89.92,2.59,25.46,2.77,14.84
21,Net Income Growth,-,-,-,-,-,-,-6.32%,71.61%,-86.77%,-35.69%
22,Shares Outstanding (Basic),260,260,260,260,260,260,260,260,260,260
23,Shares Outstanding (Diluted),260,260,260,260,260,260,260,260,260,260
24,EPS (Basic),-0.05,-0.27,0.02,-0.26,-0.01,-0.35,0.01,0.10,0.01,0.06
25,EPS (Diluted),-0.05,-0.27,0.02,-0.26,-0.01,-0.35,0.01,0.10,0.01,0.06
26,EPS Growth,-,-,-,-,-,-,-6.33%,71.61%,-86.77%,-35.69%
27,Free Cash Flow,-2.11,86.02,-109.31,37.15,17.05,4.57,-53.13,-10.89,-77.39,-54.39
28,Free Cash Flow Per Share,-0.01,0.33,-0.42,0.14,0.07,0.02,-0.20,-0.04,-0.30,-0.21
29,Operating Margin,-16.08%,-12.93%,14.24%,-44.75%,2.25%,-165.34%,-1.34%,5.21%,3.28%,15.80%
30,Profit Margin,-18.78%,-97.16%,4.86%,-51.72%,-3.56%,-125.08%,3.09%,18.77%,2.18%,7.68%
31,Free Cash Flow Margin,-2.90%,120.72%,-106.17%,28.61%,16.57%,6.36%,-63.21%,-8.03%,-60.93%,-28.17%
32,EBITDA,-11.28,-0.56,15.23,-47.08,2.83,-93.77,-0.47,1.48,11.23,25.1
33,D&A For EBITDA,0.43,8.65,0.57,11.02,0.51,25.09,0.65,-5.59,7.06,-5.42
34,EBIT,-11.71,-9.21,14.66,-58.1,2.32,-118.86,-1.13,7.07,4.17,30.51
