,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Revenue,1787,2168,1909,2142,2447,2661,2735,4326,3321,3101,Upgrade
1,Revenue Growth (YoY),-6.38%,1.24%,-22.02%,-19.51%,-10.52%,-38.49%,-17.64%,39.48%,17.07%,28.45%,Upgrade
2,Cost of Revenue,1138,1430,1259,1452,1750,1792,1968,3200,2512,2313,Upgrade
3,Gross Profit,649.01,737.69,649.08,689.94,697.67,868.7,766.83,1126,808.65,788.75,Upgrade
4,"Selling, General & Admin",198.47,206.01,202.67,207.84,240.61,202.05,192,361.91,317.41,316.75,Upgrade
5,Other Operating Expenses,-,-,-,-8.02,8.02,10.57,26.47,-,-,-,Upgrade
6,Operating Expenses,230.8,287.01,231.73,263.26,248.63,212.62,218.47,361.91,317.41,316.75,Upgrade
7,Operating Income,418.22,450.68,417.35,426.68,449.04,656.08,548.36,763.77,491.24,471.99,Upgrade
8,Interest Expense,-214.46,-216.05,-226.81,-289.95,-242.76,-243.91,-247.8,-299.3,-246.6,-215.01,Upgrade
9,Interest & Investment Income,26.34,9.35,9.03,9.62,121.78,146.55,186.83,16.02,22.79,8.04,Upgrade
10,Earnings From Equity Investments,1.24,0.94,2.68,6.25,-0.06,4.38,-0.39,15,17.81,22.54,Upgrade
11,Currency Exchange Gain (Loss),-,-0.31,8.17,-,-,-,-,9.87,-,0.36,Upgrade
12,Other Non Operating Income (Expenses),11.58,120.97,-71.75,-19.88,-91.21,-22.78,-23.95,5.19,56.5,-3.09,Upgrade
13,EBT Excluding Unusual Items,242.91,365.58,138.67,132.72,236.79,540.33,463.05,510.56,341.74,284.83,Upgrade
14,Impairment of Goodwill,-,-,-,-30.62,-,-6.77,-,-,-,-,Upgrade
15,Gain (Loss) on Sale of Investments,-6.79,3.95,-6.84,-0.89,-,-,5.4,-,-,-,Upgrade
16,Gain (Loss) on Sale of Assets,-,-0.03,0.03,3.27,-,-0.01,0.01,0.37,0.45,-0.12,Upgrade
17,Asset Writedown,-,-208.27,-,-203.24,-,-119.24,-,-83.22,-,-,Upgrade
18,Other Unusual Items,-,2.84,-,17.56,-,18.38,-,7.38,-,4.55,Upgrade
19,Pretax Income,236.13,164.07,131.85,-81.2,236.79,432.69,468.47,435.1,342.19,289.26,Upgrade
20,Income Tax Expense,41.31,41.18,-3.64,-0.6,44.28,126.15,156.88,162.22,119.15,96.19,Upgrade
21,Earnings From Continuing Operations,194.82,122.89,135.5,-80.6,192.51,306.54,311.59,272.88,223.04,193.07,Upgrade
22,Earnings From Discontinued Operations,-,-,-,2791,150.88,-49.36,4.37,-,-,-,Upgrade
23,Net Income to Company,194.82,122.89,135.5,2710,343.39,257.19,315.95,272.88,223.04,193.07,Upgrade
24,Minority Interest in Earnings,-24.16,12.1,14.89,-1316,-45.72,23.33,-32.3,1.67,-31.47,-61.52,Upgrade
25,Net Income,170.66,134.99,150.39,1394,297.68,280.52,283.65,274.55,191.57,131.56,Upgrade
26,Preferred Dividends & Other Adjustments,-,-,-,35.62,27.16,27.18,26.24,1.08,-,-,Upgrade
27,Net Income to Common,170.66,134.99,150.39,1358,270.51,253.34,257.41,273.47,191.57,131.56,Upgrade
28,Net Income Growth,13.48%,-90.31%,-49.48%,396.86%,4.94%,2.17%,48.07%,108.70%,11.90%,36.05%,Upgrade
29,Shares Outstanding (Basic),14295,14295,14295,14295,14295,14295,14295,14295,14295,14295,Upgrade
30,Shares Outstanding (Diluted),14295,14295,14295,14295,14295,14295,14295,14295,14295,14295,Upgrade
31,EPS (Basic),0.01,0.01,0.01,0.10,0.02,0.02,0.02,0.02,0.01,0.01,Upgrade
32,EPS (Diluted),0.01,0.01,0.01,0.10,0.02,0.02,0.02,0.02,0.01,0.01,Upgrade
33,EPS Growth,13.48%,-90.06%,-44.41%,436.11%,5.09%,-7.21%,34.39%,107.63%,11.88%,36.00%,Upgrade
34,Free Cash Flow,-122.27,-21.86,-402.76,-382.32,-138.31,-335.54,-541.12,-156.71,-318.35,-528.69,Upgrade
35,Free Cash Flow Per Share,-0.01,-0.00,-0.03,-0.03,-0.01,-0.02,-0.04,-0.01,-0.02,-0.04,Upgrade
36,Operating Margin,23.41%,20.79%,21.87%,19.92%,18.35%,24.66%,20.05%,17.66%,14.79%,15.22%,Upgrade
37,Profit Margin,9.55%,6.23%,7.88%,63.42%,11.05%,9.52%,9.41%,6.32%,5.77%,4.24%,Upgrade
38,Free Cash Flow Margin,-6.84%,-1.01%,-21.10%,-17.85%,-5.65%,-12.61%,-19.78%,-3.62%,-9.59%,-17.05%,Upgrade
39,EBITDA,555,600.41,549.49,520.74,630.5,861.93,772.8,970.39,675.69,626.41,Upgrade
40,D&A For EBITDA,136.79,149.73,132.14,94.06,181.46,205.85,224.44,206.62,184.45,154.42,Upgrade
41,EBIT,418.22,450.68,417.35,426.68,449.04,656.08,548.36,763.77,491.24,471.99,Upgrade
