,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,159.99,181.24,178.41,161.25,167.99,202.34,204.73,259.87,284.19,346.63,363.57,411.31,453.82,520.56,32.67,21.12,-,28.86,-
1,Short-Term Investments,-,2.19,-,27.74,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,897.78,897.29,906.38,902.18,910.51,881.13,866.61,816.08,770.04,719.28,698.17,653.88,594.21,521.21,488.77,470.7,-,390.97,-
3,Cash & Short-Term Investments,1058,1081,1085,1091,1078,1083,1071,1076,1054,1066,1062,1065,1048,1042,521.43,491.81,-,419.83,454.72
4,Cash Growth,-1.92%,-0.25%,1.26%,1.41%,2.30%,1.65%,0.90%,1.01%,0.59%,2.32%,103.62%,116.58%,-,148.14%,14.67%,-,-,-,-
5,Accounts Receivable,89.88,86.46,76.26,59.27,46.11,44.75,37.29,38.88,30.61,35.02,16.78,27.85,16.75,20.99,17.09,18.55,-,21.87,-
6,Other Receivables,11.08,12.26,2.27,9.47,10.6,6.94,0.7,1.04,4.65,3.64,2.12,4.05,1.39,19.46,0.71,13.8,-,12.78,-
7,Receivables,100.95,98.72,78.53,68.74,56.71,51.69,37.99,39.92,35.26,38.65,18.9,31.9,18.15,40.44,17.81,32.35,-,34.64,-
8,Inventory,40.09,34.57,27.67,32.7,35.37,28.96,34.18,18.31,24.85,23.76,24.83,19.03,24.16,24.06,20.22,21.91,-,13.37,-
9,Prepaid Expenses,-,-,-,0.01,-,0.59,-,0.1,-,0.84,-,0.66,-,2.01,-,1.97,-,2.36,-
10,Other Current Assets,14.19,3.38,9.38,8.12,7.3,11.59,12.83,8.06,7.89,8.42,21.03,4.11,29.98,9.67,29.75,6.44,-,2.75,-
11,Total Current Assets,1213,1217,1200,1201,1178,1176,1156,1142,1122,1138,1127,1121,1120,1118,589.21,554.48,-,472.95,-
12,"Property, Plant & Equipment",177.99,180.73,183.93,186.57,202.88,199.94,191.41,188.82,217.6,215.41,199.34,195.53,223.7,216.86,208.51,205.63,-,203.29,-
13,Goodwill,28.13,28.13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Other Intangible Assets,22.26,22.51,21.74,22.06,22.39,22.71,23.03,23.36,23.68,24.01,24.42,24.63,24.89,25.22,25.52,25.84,-,26.36,-
15,Long-Term Deferred Tax Assets,21.73,21.73,21.73,21.73,18.59,18.59,18.59,18.59,14.18,14.18,14.18,14.18,10.34,10.33,10.1,10.34,-,7.53,-
16,Long-Term Deferred Charges,33.51,32.77,33.97,34.66,19.27,20.08,20.83,21.64,3.71,4.48,4.37,4.32,5.15,5.55,5.94,6.34,-,1.71,-
17,Other Long-Term Assets,57.96,59.22,58.79,60.49,60.56,61.17,63.71,64.45,62.14,66.09,63.08,66.54,2.3,2.3,2.3,2.3,-,0.05,-
18,Total Assets,1555,1562,1521,1526,1502,1499,1474,1459,1444,1462,1432,1426,1387,1378,841.58,804.93,-,711.89,-
19,Accounts Payable,8.28,11.1,5.84,10.39,12.33,15.18,15.8,7.38,18.62,7.53,5.83,3.3,6.65,11.88,3.24,1.07,-,4.05,-
