,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,50.47,50.48,47.36,34.83,69.49,66.3,47.81,64.31,74.37,55.71,45.89,79.4,63.52,54.54,36.69,81.52,60.61,27.11,14.53
1,Other Revenue,-2.4,2.4,-,8.05,-3.9,3.9,-,5.02,-2.74,2.74,-,1.91,-0,0,-,-,-,-,-
2,Revenue,48.07,52.88,47.36,42.88,65.59,70.2,47.81,69.34,71.63,58.45,45.89,81.31,63.52,54.55,36.69,81.52,60.61,27.11,14.53
3,Revenue Growth (YoY),-26.71%,-24.67%,-0.94%,-38.16%,-8.43%,20.10%,4.18%,-14.73%,12.77%,7.15%,25.10%,-0.25%,4.80%,101.22%,152.55%,-,-,-,-
4,Cost of Revenue,14.56,14.03,9.29,8.26,10.23,11.66,9.09,11.18,11.55,9.91,8.16,13.85,9.01,7.53,5.23,12.14,9.75,5.61,2.46
5,Gross Profit,33.51,38.85,38.07,34.62,55.36,58.54,38.72,58.16,60.08,48.54,37.74,67.45,54.51,47.02,31.45,69.37,50.86,21.5,12.07
6,"Selling, General & Admin",29.28,34.32,27.65,41.05,29.32,32.75,18.92,27.27,14.89,16.97,10.82,19.78,12.05,11.72,9.8,13.26,9.02,7.81,9.64
7,Research & Development,7.63,9.18,7.55,15.11,12.7,11.71,5.98,14.05,13.41,11.62,18.39,13.05,8.91,6.87,4.41,5.94,3.1,3.82,3.15
8,Other Operating Expenses,0.76,0.98,0.86,-0.12,0.38,0.67,0.06,4.16,0.7,-2.56,0.28,8.92,-1.76,-4.36,0.3,1.55,0.35,0.24,0.28
9,Operating Expenses,38.34,45.91,36.06,56.55,42.68,45.44,24.95,45.28,29.25,26.59,29.49,42.1,19.16,14.48,14.41,20.48,12.63,10.84,14.1
10,Operating Income,-4.83,-7.06,2,-21.94,12.68,13.1,13.77,12.88,30.83,21.95,8.25,25.35,35.34,32.55,17.04,48.89,38.23,10.67,-2.04
11,Interest Expense,-0.68,-1.01,-0.48,-1.56,-0.45,-1.12,-,-0.58,-0.47,-0.82,-,-2.47,-0.21,-0.03,-0.7,-1.44,-0.35,-0.38,-0.22
