,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2266,2250,1726,2028,2968,3053,3239,3312,3123,3120,4125,5360,7368,9051,12105,-,-,-,-,-
1,Market Cap Growth,-26.30%,-26.30%,-46.72%,-38.77%,-4.95%,-2.14%,-21.49%,-38.21%,-57.62%,-65.53%,-65.92%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1274,1238,712,1020,1960,2045,2244,2349,2159,2154,3165,4408,6416,8130,11681,-,-,-,-,-
3,Last Close Price,16.72,16.60,12.67,15.13,22.15,22.78,24.06,24.61,23.20,23.18,30.34,39.42,54.19,66.56,89.03,-,-,-,-,-
4,PE Ratio,-,-,61.54,47.54,54.73,36.29,33.11,32.93,32.80,30.94,38.80,46.27,61.00,70.85,95.92,-,-,-,-,-
5,Forward PE,-,30.84,30.84,30.84,30.84,30.84,30.84,30.84,30.84,30.84,30.84,30.84,40.78,56.68,84.26,-,-,-,-,-
6,PS Ratio,11.33,11.77,8.27,8.97,13.11,12.07,12.51,13.40,12.73,12.13,16.56,21.85,31.21,38.31,51.87,-,-,-,-,-
7,PB Ratio,1.59,1.57,1.19,1.43,2.11,2.20,2.36,2.47,2.36,2.40,3.17,4.18,5.80,7.33,10.10,-,-,-,-,-
8,P/TBV Ratio,1.64,1.64,1.25,1.48,2.18,2.27,2.44,2.55,2.44,2.50,3.29,4.35,6.04,7.65,10.57,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,99.68,77.74,54.85,-,55.14,65.42,80.13,-,107.50,93.26,131.37,-,-,-,-,-
10,P/OCF Ratio,-,-,-,-,57.43,33.68,29.86,31.34,30.60,35.21,38.77,47.98,56.78,60.97,86.53,-,-,-,-,-
11,EV/Sales Ratio,6.19,6.47,3.41,4.51,8.65,8.09,8.67,9.50,8.80,8.37,12.70,17.97,27.18,34.41,50.05,-,-,-,-,-
12,EV/EBITDA Ratio,-,-,-,44.97,-,30.30,26.47,25.55,25.24,22.16,31.09,39.30,52.98,56.16,79.21,-,-,-,-,-
13,EV/EBIT Ratio,-,-,-,174.54,-,39.01,31.80,29.57,29.22,24.93,34.82,43.43,58.17,60.75,85.44,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,-,65.82,52.07,38.01,-,38.13,45.16,61.48,-,93.60,83.77,126.76,-,-,-,-,-
15,Debt / Equity Ratio,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.06,0.06,0.06,0.06,0.08,0.10,0.11,-,0.13,0.12
16,Debt / EBITDA Ratio,-,-,-,2.02,-,0.77,0.70,0.80,0.76,0.49,0.70,1.77,0.66,0.45,0.65,0.86,0.33,-,1.38,28.06
17,Debt / FCF Ratio,-,-,-,-,1.79,1.27,0.92,-,1.09,1.39,1.44,-,1.18,0.71,1.01,1.02,2.44,-,-,-
18,Asset Turnover,0.12,0.14,0.12,0.11,0.17,0.19,0.13,0.19,0.20,0.16,0.13,0.23,0.18,0.20,0.18,-,-,-,-,
19,Inventory Turnover,1.22,1.56,1.80,1.23,0.97,1.27,1.48,1.38,2.07,1.90,1.63,1.49,2.57,1.49,1.36,0.99,-,-,-,-
20,Quick Ratio,23.97,23.97,24.55,35.62,22.84,38.62,28.10,21.46,23.03,18.68,16.53,20.05,19.88,18.84,14.01,8.88,7.34,-,7.43,-
21,Current Ratio,25.10,25.10,25.34,36.76,23.64,40.07,29.12,22.37,23.57,19.24,17.03,20.90,20.31,19.80,14.48,9.71,7.77,-,7.73,-
22,Return on Equity (ROE),-1.60%,-0.12%,1.53%,0.33%,5.24%,5.00%,5.03%,8.61%,9.73%,6.39%,3.51%,11.26%,12.11%,12.28%,10.49%,-,-,6.90%,-,
23,Return on Assets (ROA),-0.77%,-1.14%,0.33%,-3.62%,2.11%,2.20%,2.35%,2.22%,5.31%,3.79%,1.44%,4.51%,6.39%,7.33%,5.17%,-,-,-,-,
24,Return on Capital (ROIC),-0.81%,-1.19%,0.34%,-3.79%,2.21%,2.32%,2.47%,2.34%,5.62%,4.01%,1.52%,4.77%,6.81%,8.02%,5.84%,-,-,4.18%,-,
25,Return on Capital Employed (ROCE),-,-,-,0.39%,-,3.56%,4.84%,5.59%,5.24%,6.24%,6.52%,7.37%,8.04%,10.06%,10.51%,14.70%,13.05%,-,1.33%,-
26,Earnings Yield,-0.80%,0.23%,1.62%,2.10%,1.83%,2.76%,3.02%,3.04%,3.05%,3.23%,2.58%,2.16%,1.64%,1.41%,1.04%,-,-,-,-,-
27,FCF Yield,-0.64%,-0.64%,0.55%,1.27%,1.00%,1.29%,1.82%,1.79%,1.81%,1.53%,1.25%,1.07%,0.93%,1.07%,0.76%,-,-,-,-,-
28,Dividend Yield,0.36%,-,-,-,0.27%,-,-,-,0.46%,-,-,-,0.50%,-,-,-,-,-,-,-
29,Payout Ratio,211.96%,-,46.12%,9.82%,307.09%,79.38%,4.29%,4.83%,3.70%,114.75%,8.72%,2.18%,-,5.75%,-,1.79%,0.77%,-,12.22%,713.72%
30,Buyback Yield / Dilution,6.12%,22.37%,4.13%,-4.93%,2.96%,2.17%,0.81%,-0.57%,-3.21%,-0.97%,-19.62%,-30.82%,-35.89%,-33.29%,-9.65%,-,-,-,-,-
31,Total Shareholder Return,6.48%,22.37%,4.13%,-4.93%,3.23%,2.17%,0.81%,-0.57%,-2.75%,-0.97%,-19.62%,-30.82%,-35.39%,-33.29%,-9.65%,-,-,-,-,-
