,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q2 2020,Q1 2020,Q4 2019,Q4 2018,+7 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018",+7 Quarters
0,Cash & Equivalents,693528,693528,571174,-,139540,2218180,20273,-,2024913,3357362,-,80419,-,86997,52413,-,-,-,152041,3940,Upgrade
1,Trading Asset Securities,12517052,12517052,5760709,-,5791237,3919674,4703103,-,4684947,4380657,-,1600450,-,1332353,820213,-,-,-,976968,1105073,Upgrade
2,Accounts Receivable,-,-,-,-,-,-,-,-,-,-,-,-,-,235647,342169,-,-,-,-,15432,Upgrade
3,Other Receivables,5923103,5923103,4203964,-,3109220,2605088,1793498,-,1486070,738173,-,3017227,-,1226686,1304133,-,-,-,415153,367269,Upgrade
4,"Property, Plant & Equipment",9642,9642,10739,-,12530,2432,2719,-,3297,2001,-,2452,-,2903,2099,-,-,-,1461,2449,Upgrade
5,Other Intangible Assets,15001,15001,14166,-,11546,832.4,392.87,-,-,-,-,-,-,-,0,-,-,-,752.27,2216,Upgrade
6,Investments in Debt & Equity Securities,423500,423500,11500,-,1500,1500,2001500,-,1500,1500,-,1500,-,1500,1500,-,-,-,1500,1500,Upgrade
7,Other Current Assets,2472,2472,13603,-,1920,9891,11785,-,18556,20660,-,13454,-,19916,16670,-,-,-,184647,1047,Upgrade
8,Other Long-Term Assets,22026,22026,21758,-,19320,19108,19098,-,18883,27204,-,14083,-,14537,14707,-,-,-,33718,31360,Upgrade
