,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,3414,3667,2917,3299,4014,5123,4413,3586,6126,8017,8409,6044,5549,3777,3629,2906,2772,2121,1625,1447
1,Other Revenue,-,-84.7,84.7,-,174.51,-121.92,121.92,-,155.5,-115.03,115.03,-,62.55,-33.05,33.05,-,24.49,-,-2.66,2.66
2,Revenue,3414,3582,3001,3299,4188,5001,4535,3586,6281,7902,8524,6044,5612,3744,3662,2906,2797,2121,1623,1450
3,Revenue Growth (YoY),-18.48%,-28.37%,-33.82%,-8.02%,-33.32%,-36.71%,-46.79%,-40.67%,11.94%,111.04%,132.76%,107.98%,100.65%,76.55%,125.69%,100.49%,-,-,-,-
4,Cost of Revenue,3856,3166,2714,3048,4033,4480,4274,3322,5941,7107,7861,5523,5164,3342,3360,2625,2577,1881,1435,1321
5,Gross Profit,-441.18,416.6,287.25,250.6,155.77,520.97,261.22,263.84,339.86,795.32,663.02,521.56,447.29,401.9,302.62,280.62,219.55,240.29,188.12,128.63
6,"Selling, General & Admin",-168.21,63.26,57.72,47.23,51.26,62.22,58.17,50.31,26.33,70.55,36.29,44.23,34.16,51.36,24.39,26.65,9.56,43.67,28.5,21.26
7,Research & Development,-312.02,104.54,120.26,87.22,140.62,102.04,110.53,111.42,164.02,173.69,223.47,196.13,188.97,118.36,86.74,76.93,99.59,61.2,64.38,36.02
8,Other Operating Expenses,0.82,-16.33,14.57,0.94,47.92,-2.11,-2.27,-13.07,102.97,0.48,-6.81,-59.51,31.02,-0.43,-2.22,-4.22,26.19,-6.36,-8.42,2.23
