,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,21872,19204,15459,13145,13536,16679,18148,20828,21841,23347,27948,28043,23039,26000,28365,-,-,-,-,-,-
1,Market Cap Growth,15.14%,15.14%,-14.82%,-36.89%,-38.02%,-28.56%,-35.07%,-25.73%,-5.20%,-10.20%,-1.47%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,21004,18336,14665,12257,13548,16691,18355,20860,21337,22843,29334,29220,24116,26506,30575,-,-,-,-,-,-
3,Last Close Price,51.98,45.64,36.74,31.24,31.52,38.84,42.26,48.50,50.50,53.98,64.62,77.47,63.24,71.36,77.85,-,-,-,-,-,-
4,PE Ratio,44.05,38.61,32.04,25.68,25.87,31.62,28.32,25.23,21.38,20.84,26.08,31.96,34.00,44.94,57.48,-,-,-,-,-,-
5,Forward PE,28.93,25.40,21.36,15.08,13.33,17.48,12.77,13.18,12.33,13.89,17.89,28.67,23.54,-,-,-,-,-,-,-,-
6,PS Ratio,1.65,1.44,1.10,0.85,0.80,0.96,0.94,0.93,0.83,0.81,1.00,1.17,1.21,1.63,2.16,-,-,-,-,-,-
7,PB Ratio,2.53,2.16,1.74,1.50,1.52,1.89,2.08,2.43,2.58,2.80,3.45,6.54,5.69,6.60,7.81,-,-,-,-,-,-
8,P/TBV Ratio,2.33,2.33,1.87,1.62,1.63,2.03,2.23,2.61,2.72,2.95,3.63,7.19,6.23,7.15,8.51,-,-,-,-,-,-
9,P/FCF Ratio,-,-,12.53,9.63,12.08,11.62,71.42,-,-14.03,-,-,-,-,-,74.53,-,-,-,-,-,-
10,P/OCF Ratio,-,-,6.57,5.40,5.62,6.46,14.75,-34.38,-23.58,-,-,175.48,67.72,-,38.21,-,-,-,-,-,-
11,EV/Sales Ratio,1.58,1.38,1.04,0.79,0.80,0.96,0.95,0.94,0.81,0.79,1.04,1.22,1.27,1.66,2.33,-,-,-,-,-,-
12,EV/EBITDA Ratio,24.09,20.92,18.57,14.45,16.21,18.73,18.07,17.49,14.92,15.10,18.61,22.99,22.41,28.35,35.29,-,-,-,-,-,-
13,EV/EBIT Ratio,40.92,35.72,34.40,24.57,27.53,-,26.20,23.38,18.58,18.34,22.15,28.36,28.42,37.36,46.87,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,11.89,8.98,12.09,11.63,72.24,-,-13.70,-,-,-,-,-,80.33,-,-,-,-,-,-
