,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,1576,1745,2276,1200,1335,1598,1580,1017,2351,712.23,1101,428.52,1435,165.89,302.88,277.92,-,-,-
1,Trading Asset Securities,-,501.12,460.61,500.88,504.16,451.01,201.45,300.09,450.23,-,-,100.54,200.54,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,2077,2077,2206,2777,1704,1786,1799,1881,1467,2351,712.23,1202,629.06,1435,165.89,302.88,277.92,-,-,51.44
3,Cash Growth,21.90%,16.29%,22.58%,47.65%,16.16%,-24.05%,152.64%,56.50%,133.16%,63.86%,329.33%,296.73%,126.35%,-,-,488.78%,-,-,-,-
4,Accounts Receivable,-,3791,3002,3512,3973,4394,4011,4265,6145,5748,4986,3887,3131,2218,2007,1845,1442,-,-,-
5,Other Receivables,-,7.34,6.6,11.47,5.77,21.77,21.26,10.5,6.12,15.42,13.11,19.6,17.75,26.92,38.91,-,44.05,-,-,-
6,Receivables,-,3798,3009,3524,3979,4415,4032,4276,6152,5763,4999,3907,3149,2245,2046,1845,1486,-,-,-
7,Inventory,-,2491,2531,2078,1964,2134,1960,2771,3352,3714,3561,3598,2873,1902,1686,1860,1214,-,-,-
8,Other Current Assets,-,262.16,303.53,216.7,186.55,199.38,84.13,69.91,82.34,214.42,208.08,343,302.18,195.06,198.43,206.44,221.48,-,-,-
9,Total Current Assets,-,8628,8049,8595,7833,8535,7876,8998,11052,12043,9480,9049,6953,5777,4096,4214,3200,-,-,-
