,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Market Capitalization,9659,7508,5062,6348,6837,5870,5972,6575,5495,4685,5604,5936,8706,7305,8171,8963,8941,7658,5711,5968,5487,Upgrade
1,Market Cap Growth,27.91%,27.91%,-15.24%,-3.46%,24.43%,25.29%,6.57%,10.77%,-36.89%,-35.86%,-31.41%,-33.77%,-2.63%,-4.61%,43.07%,50.18%,62.96%,23.02%,0.75%,-13.35%,19.58%,Upgrade
2,Enterprise Value,9931,7725,5279,6647,7136,6087,6176,6646,5565,4842,5938,6247,9430,8007,9057,9314,9293,9114,7213,7569,7087,Upgrade
3,Last Close Price,8.51,6.60,4.45,5.58,6.01,5.16,5.25,5.78,4.83,4.92,5.24,5.55,8.14,6.83,7.64,8.38,8.36,7.16,5.34,5.58,5.13,Upgrade
4,PE Ratio,135.95,162.24,117.61,187.63,-,106.92,113.19,126.30,95.58,140.47,165.68,207.41,-,366.74,24.81,26.58,-,48.63,-48.04,-,-,Upgrade
5,Forward PE,-,45.63,45.63,45.63,45.63,45.63,45.63,45.63,45.63,45.63,45.63,45.63,45.63,45.63,45.63,45.63,45.63,31.47,21.36,22.32,16.82,Upgrade
6,PS Ratio,1.58,1.87,1.30,1.66,-,1.21,1.26,1.31,1.06,0.88,0.97,0.99,1.37,1.17,1.00,0.90,0.86,0.65,0.50,0.53,0.46,Upgrade
7,PB Ratio,5.56,4.32,2.94,3.70,-,-,3.50,3.55,2.97,2.51,3.68,4.02,5.97,4.70,5.32,6.03,6.18,5.27,4.70,4.94,2.88,Upgrade
8,P/TBV Ratio,8.20,8.20,5.00,5.95,-,-,4.71,4.34,3.64,3.08,4.83,5.39,8.11,7.60,8.71,8.40,8.72,6.66,53.11,69.25,8.51,Upgrade
