,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Cash & Equivalents,456.97,502.15,371.84,-,-,581.8,504.18,610.44,756.9,587.87,468.86,550.47,451.53,401.13,451.69,456.14,1298,855.08,1122,961.15,Upgrade
1,Trading Asset Securities,-,-,-,-,-,-,-,-,-,-,-,-,7.1,8.57,-,-,240.02,30.02,30.12,30.02,Upgrade
2,Cash & Short-Term Investments,456.97,502.15,371.84,-,-,581.8,504.18,610.44,756.9,587.87,468.86,550.47,458.64,409.7,451.69,456.14,1538,885.1,1152,991.17,Upgrade
3,Cash Growth,-,-13.69%,-26.25%,-,-,-1.03%,7.53%,10.90%,65.03%,43.49%,3.80%,20.68%,-70.18%,-53.71%,-60.80%,-53.98%,41.80%,-20.87%,48.70%,16.09%,Upgrade
4,Accounts Receivable,1091,991.36,978.81,-,-,1042,938.3,1044,963.06,1171,1064,1064,1304,1176,1246,975.29,1101,1301,1320,1994,Upgrade
5,Other Receivables,14.75,12.92,21.29,-,-,26.67,33.44,50.69,69.76,79.8,85.53,65.21,98.45,151.99,74.89,136.75,165.54,210.32,236.74,96.31,Upgrade
6,Receivables,1106,1004,1000,-,-,1068,971.74,1094,1033,1251,1149,1129,1403,1328,1321,1112,1267,1511,1557,2090,Upgrade
7,Inventory,678.02,648.33,748.13,-,-,856.41,903.31,887.41,992.83,979.3,876.7,826.23,771.16,848.39,930.1,856.06,518.24,1118,1080,809.7,Upgrade
8,Prepaid Expenses,-,1.84,-,-,-,5.87,-,1.41,-,0.32,-,-,-,-,-,-,-,5.49,-,0.18,Upgrade
9,Other Current Assets,58.91,51.57,73.96,-,-,67.18,51.43,77.39,93.96,85.87,80.35,83.47,100.37,125.19,320.29,319.84,287.92,481.7,468.54,356.49,Upgrade
10,Total Current Assets,2300,2208,2194,-,-,2580,2431,2671,2877,2904,2575,2589,2733,2711,3023,2744,3611,4001,4257,4248,Upgrade
11,"Property, Plant & Equipment",162.65,150.81,156.25,-,-,153.74,163.27,168.19,165.65,170.96,182.63,183.64,179.65,186.26,153.66,170.67,53.85,84.78,85.69,88.95,Upgrade
12,Long-Term Investments,150.54,150.51,150.54,-,-,181.21,181.21,181.21,190.51,190.51,190.47,190.24,19.26,19.26,31.9,28.15,28.72,43.72,43.81,51.01,Upgrade
13,Goodwill,385.59,308.85,308.85,-,-,308.85,308.85,308.85,308.93,308.93,308.93,308.93,437.67,437.67,311.07,311.07,225.95,911.12,925.14,925.14,Upgrade
14,Other Intangible Assets,440.59,401.07,338.11,-,-,135.46,88.67,86.19,100.01,100.66,100.71,103.35,104.2,107.97,108.28,108.28,58.63,148.26,145.64,158.96,Upgrade
15,Long-Term Deferred Tax Assets,56.41,52.42,52.91,-,-,38.9,32.69,41.25,33.04,32.96,32.28,35.11,30.47,33.74,35.73,37.28,35.25,8.75,8.44,11.66,Upgrade
16,Long-Term Deferred Charges,32.81,41.54,37.67,-,-,5.92,6.31,6.87,8.33,8.3,8.67,9.4,10.12,10.3,10.88,16.52,18.58,25.07,24.95,22.48,Upgrade
