,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Operating Revenue,1476,1284,1257,-,1342,1223,1045,1216,1241,1499,1206,1374,1732,1658,1555,1288,3626,3529,1964,2623,Upgrade
1,Other Revenue,-8.45,8.45,-,-,-1.4,1.4,-,6.29,-2.16,2.16,-,17.99,-33.78,33.78,-,11.44,-8.46,8.46,-,8.16,Upgrade
2,Revenue,1467,1292,1257,-,1340,1225,1045,1222,1239,1501,1206,1392,1699,1692,1555,1299,3618,3537,1964,2631,Upgrade
3,Revenue Growth (YoY),9.46%,5.53%,20.32%,-,8.17%,-18.44%,-13.35%,-12.21%,-27.05%,-11.26%,-22.46%,7.15%,-53.05%,-52.16%,-20.82%,-50.63%,6.45%,5.17%,-23.18%,-21.45%,Upgrade
4,Cost of Revenue,1341,1191,1170,-,1239,1139,958.94,1123,1102,1363,1080,1289,1520,1519,1401,1299,3398,3368,1866,2539,Upgrade
5,Gross Profit,126.3,101.37,87.41,-,100.93,85.72,86.04,99.45,136.96,137.96,126.46,103.57,178.17,172.52,154.15,0.3,219.64,168.96,98.51,92.03,Upgrade
6,"Selling, General & Admin",65.15,55.09,50.89,-,60.6,54.61,48.91,71.16,78,76.14,57.05,123.5,81.52,74.92,86.53,114.68,137.28,73.34,66.71,116.2,Upgrade
7,Research & Development,19.81,11.15,5.15,-,4.63,4.2,4.05,5.7,4.14,3.44,4.56,6,5.93,3.97,6.94,8.19,10.56,5.78,6.57,16.52,Upgrade
8,Other Operating Expenses,1.58,1.72,1.14,-,0.84,-2.99,2.32,2.5,2.49,1.72,2.69,7.76,2.17,1.94,1,11.6,2.74,-2.61,-1.83,10.53,Upgrade
9,Operating Expenses,90.92,67.3,58.75,-,64.23,56.16,56.41,85.08,77.99,82.46,64.7,139.34,90.68,86.69,88.1,128.47,213.69,83.38,72.3,168.56,Upgrade
10,Operating Income,35.38,34.06,28.66,-,36.7,29.56,29.62,14.37,58.97,55.5,61.76,-35.77,87.5,85.83,66.04,-128.17,5.95,85.58,26.21,-76.53,Upgrade
11,Interest Expense,-13.54,-13.38,-11.4,-,-12.76,-9.9,-14.3,-17.97,-20.38,-22.18,-17.11,-23.15,-20.24,-29.61,-17.98,-42.86,-56.19,-63.14,-41.38,-103.63,Upgrade
12,Interest & Investment Income,1.83,1.7,7.74,-,2.65,1.98,1.54,3.87,1.03,3.85,0.96,0.16,1.71,25.85,5.87,72.16,525.37,3.32,0.67,-,Upgrade
13,Currency Exchange Gain (Loss),11.94,-11.94,-,-,9.93,-9.93,-,-43.47,22.03,-22.03,-,6.39,-1.88,1.88,-,-23.03,11.04,-11.04,-,-17.3,Upgrade
14,Other Non Operating Income (Expenses),-15.83,4.78,-7.34,-,-19.94,-3.12,6.36,46.67,-49.42,-6.48,1.04,112,-42.95,-67.82,-6.66,-6.92,-13.47,5.66,-11.94,31.09,Upgrade
15,EBT Excluding Unusual Items,19.78,15.22,17.66,-,16.58,8.59,23.22,3.48,12.23,8.66,46.66,59.64,24.14,16.13,47.26,-128.82,472.7,20.38,-26.45,-166.38,Upgrade
16,Impairment of Goodwill,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-35.65,-,-,-,-7.45,Upgrade
17,Gain (Loss) on Sale of Investments,0.02,-0.01,-0.08,-,-0.05,-0.02,-0.02,-0.63,-,-,-,-,-,-,-,-,12.04,-5.09,-6.95,-,Upgrade
18,Gain (Loss) on Sale of Assets,-0,-0.26,0,-,0.01,-0.01,-0.02,1.02,0,-0.13,-,-0,-0.77,0,-0,-0.02,-1.09,-2.17,0.12,0,Upgrade
19,Asset Writedown,-13.39,2.08,-2.08,-,-15.6,2.85,-2.86,12.75,-12.74,4.99,-5,13.03,-12.96,-0.3,0.23,108.29,-207.31,4.16,-4.18,33.54,Upgrade
20,Other Unusual Items,0.06,0.73,-0.01,-,-0.04,0.04,-,0.73,0.93,-0.35,0.36,-87.83,-0.01,0.01,-,29.03,-0.5,0.5,-,9.97,Upgrade
21,Pretax Income,6.47,17.77,15.49,-,0.9,11.45,20.32,17.35,0.43,13.18,42.01,-15.17,10.4,15.84,47.49,-27.17,275.84,17.78,-37.47,-130.32,Upgrade
22,Income Tax Expense,-1.34,1.71,-1.24,-,-5.32,4.38,3.22,3.36,0.22,7.94,13.96,9.31,4.03,15,13.23,-0.39,-9.13,9.89,6.37,7.24,Upgrade
23,Earnings From Continuing Operations,7.81,16.06,16.73,-,6.22,7.07,17.11,13.99,0.21,5.24,28.05,-24.48,6.37,0.84,34.26,-26.78,284.97,7.89,-43.84,-137.56,Upgrade
24,Minority Interest in Earnings,2.68,1.21,1.79,-,1.03,0.99,6.28,2.21,4.91,2.13,0.76,16.54,-0.78,1.31,-5.24,9.93,30,2.09,4.67,9.24,Upgrade
25,Net Income,10.49,17.27,18.52,-,7.25,8.06,23.39,16.2,5.12,7.36,28.82,-7.94,5.59,2.16,29.02,-16.84,314.97,9.98,-39.17,-128.32,Upgrade
26,Net Income to Common,10.49,17.27,18.52,-,7.25,8.06,23.39,16.2,5.12,7.36,28.82,-7.94,5.59,2.16,29.02,-16.84,314.97,9.98,-39.17,-128.32,Upgrade
27,Net Income Growth,44.61%,114.22%,-20.83%,-,41.79%,9.52%,-18.84%,-,-8.45%,241.51%,-0.70%,-,-98.23%,-78.41%,-,-,715.66%,-86.32%,-,-,Upgrade
28,Shares Outstanding (Basic),1085,1250,1136,-,1774,927,1169,1502,685,1451,961,167,1598,1111,967,1128,1230,967,979,671,Upgrade
29,Shares Outstanding (Diluted),1085,1250,1136,-,1774,927,1169,1502,685,1451,961,167,1598,1111,967,1128,1230,967,979,671,Upgrade
30,Shares Change (YoY),-38.83%,34.79%,-2.86%,-,158.88%,-36.10%,21.74%,801.45%,-57.12%,30.63%,-0.70%,-85.22%,29.95%,14.96%,-1.22%,68.03%,27.37%,-5.01%,-13.55%,-39.83%,Upgrade
31,EPS (Basic),0.01,0.01,0.02,-,0.00,0.01,0.02,0.01,0.01,0.01,0.03,-0.05,0.00,0.00,0.03,-0.01,0.26,0.01,-0.04,-0.19,Upgrade
32,EPS (Diluted),0.01,0.01,0.02,-,0.00,0.01,0.02,0.01,0.01,0.01,0.03,-0.05,0.00,0.00,0.03,-0.01,0.26,0.01,-0.04,-0.19,Upgrade
33,EPS Growth,136.41%,58.92%,-18.50%,-,-45.23%,71.43%,-33.33%,-,113.56%,161.44%,0%,-,-98.64%,-81.22%,-,-,540.37%,-85.59%,-,-,Upgrade
34,Free Cash Flow,-25.6,47.55,43.76,-,-158.82,21.1,-10.19,-22.89,79.32,164.33,-38.79,205.76,18.43,49.55,46.57,-356.5,421.23,-69.07,53.95,78.44,Upgrade
35,Free Cash Flow Per Share,-0.02,0.04,0.04,-,-0.09,0.02,-0.01,-0.02,0.12,0.11,-0.04,1.23,0.01,0.04,0.05,-0.32,0.34,-0.07,0.06,0.12,Upgrade
36,Gross Margin,8.61%,7.84%,6.95%,-,7.53%,7.00%,8.23%,8.14%,11.05%,9.19%,10.49%,7.44%,10.49%,10.20%,9.91%,0.02%,6.07%,4.78%,5.01%,3.50%,Upgrade
37,Operating Margin,2.41%,2.64%,2.28%,-,2.74%,2.41%,2.83%,1.18%,4.76%,3.70%,5.12%,-2.57%,5.15%,5.07%,4.25%,-9.87%,0.16%,2.42%,1.33%,-2.91%,Upgrade
