,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,560,636,702,820,1087,1305,1539,1438,1773,1555,1823,Upgrade
1,Market Cap Growth,-22.45%,-22.45%,-35.38%,-37.18%,-29.35%,-9.30%,-13.21%,-7.53%,-2.75%,-42.59%,-38.76%,Upgrade
2,Enterprise Value,2918,3397,3256,3212,3336,3386,3824,5305,4763,5342,5083,Upgrade
3,Last Close Price,0.34,0.38,0.42,0.49,0.65,0.78,0.70,0.63,0.77,0.66,0.78,Upgrade
4,PE Ratio,-,-,-,-,-,-,-,5.01,-,-2.26,-,Upgrade
5,PS Ratio,2.20,2.50,1.74,2.23,4.13,4.06,2.32,2.99,-,0.72,2.98,Upgrade
6,PB Ratio,0.07,0.07,0.07,0.08,0.10,0.12,0.12,0.11,0.14,0.12,0.14,Upgrade
7,P/FCF Ratio,-,-,-,-,-,1.91,3.28,7.54,-,-,-,Upgrade
8,P/OCF Ratio,-,-,-,-,-,1.91,3.28,7.54,-,-,-,Upgrade
9,EV/Sales Ratio,11.47,13.35,8.05,8.73,12.67,10.55,5.78,11.02,-,2.47,8.31,Upgrade
10,EV/EBITDA Ratio,-,-,-,-241.76,-,-,-,34.81,-,9.94,21.32,Upgrade
11,EV/EBIT Ratio,-,-,-,-88.69,-,-,-,40.63,-,10.94,-,Upgrade
12,EV/FCF Ratio,-,-,-,-,-,4.97,8.16,27.81,-,-,-,Upgrade
13,Debt / Equity Ratio,0.35,0.35,0.41,0.40,0.40,0.47,0.44,0.50,0.55,0.53,0.57,Upgrade
14,Debt / FCF Ratio,-,-,-,-,-,7.84,11.73,36.09,-,-,-,Upgrade
15,Earnings Yield,-132.07%,-116.43%,-132.68%,-124.67%,-88.88%,-95.04%,-34.00%,19.97%,-,-44.22%,-38.68%,Upgrade
16,FCF Yield,-54.01%,-54.01%,-52.83%,-43.64%,20.95%,52.24%,30.47%,13.26%,-,-49.47%,-29.98%,Upgrade
17,Dividend Yield,0.00%,-,-,-,-,-,5.75%,3.15%,-,2.26%,-,Upgrade
18,Total Shareholder Return,-,-,-,-,-,5.75%,3.15%,-,2.26%,-,Upgrade,
