,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,100.76,280.56,219.97,952,838.31,148.28,215.91,131.02,216.75,539.22
1,Revenue Growth (YoY),-54.20%,-70.53%,-73.76%,542.03%,288.28%,13.17%,-0.39%,-75.70%,-69.46%,-53.29%
2,Cost of Revenue,74.05,256.33,206.77,924.61,813.32,127.21,173.87,91.94,167.55,429.98
3,Gross Profit,26.71,24.23,13.21,27.39,24.99,21.07,42.04,39.09,49.19,109.24
4,"Selling, General & Admin",23.07,34.06,30.57,38.92,39.57,39.6,24.62,33.81,39.29,140.97
5,Research & Development,-,0.08,0.14,0.14,0.14,-,-,-,-,-
6,Operating Expenses,26.47,46.7,32.13,40.34,39.98,41.05,14.45,42.06,42.18,142.82
7,Operating Income,0.24,-22.48,-18.93,-12.96,-14.98,-19.98,27.59,-2.98,7.01,-33.58
8,Interest Expense,-2.59,-2.69,-3.46,-3.59,-1.07,-0.24,-0.22,-0.85,-0.76,-0.23
9,Interest & Investment Income,0.54,0.88,0.79,0.71,0.5,0.4,0.75,0.83,0.71,1.43
10,Earnings From Equity Investments,-,-0.03,-,-,-,-,-,-,-,-
11,Currency Exchange Gain (Loss),-0.3,-5.23,-2.05,-1.11,-0.71,0.26,0.14,1.3,-0.07,-1.47
12,Other Non Operating Income (Expenses),-2.51,2.24,2.74,0.98,-0.38,0.94,0.18,0.65,3.15,6.13
13,EBT Excluding Unusual Items,-4.61,-27.31,-20.91,-15.95,-16.64,-18.62,28.44,-1.05,10.03,-27.72
14,Merger & Restructuring Charges,-,-,-,-0.24,-,-,-,-,-,-
15,Impairment of Goodwill,-8.5,-,-,-,-,-,-,-,-,-
16,Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,0.76,-,-
17,Asset Writedown,-,-,-,-0.57,-,-1.42,-,-,-,-
18,Other Unusual Items,-,0,-,-,-,-0.03,-,-13.92,-26.66,-
19,Pretax Income,-13.11,-27.31,-20.91,-16.76,-16.64,-20.07,28.44,-14.21,-16.62,-27.72
20,Income Tax Expense,1.51,0.83,-0.54,0.86,0.01,-0.09,8.39,2.87,1.91,18.38
21,Earnings From Continuing Operations,-14.63,-28.14,-20.36,-17.63,-16.65,-19.98,20.05,-17.08,-18.53,-46.1
22,Minority Interest in Earnings,3.64,8.19,5.32,2.36,6.31,-,-,-,-,-
23,Net Income,-10.99,-19.95,-15.05,-15.26,-10.34,-19.98,20.05,-17.08,-18.53,-46.1
24,Net Income to Common,-10.99,-19.95,-15.05,-15.26,-10.34,-19.98,20.05,-17.08,-18.53,-46.1
25,Shares Outstanding (Basic),1238,1238,1238,1238,1238,1238,1238,1238,1238,1179
26,Shares Outstanding (Diluted),1238,1238,1238,1238,1238,1238,1238,1238,1238,1179
27,Shares Change (YoY),-,-,-,-,-,-,-,5.01%,17.49%,10.02%
28,EPS (Basic),-0.01,-0.02,-0.01,-0.01,-0.01,-0.02,0.02,-0.01,-0.01,-0.04
29,EPS (Diluted),-0.01,-0.02,-0.01,-0.01,-0.01,-0.02,0.02,-0.01,-0.01,-0.04
30,Free Cash Flow,22.42,-60.26,2.32,91.39,-17.8,316.33,-635.89,-29.94,86.1,-154.45
31,Free Cash Flow Per Share,0.02,-0.05,0.00,0.07,-0.01,0.26,-0.51,-0.02,0.07,-0.13
32,Operating Margin,0.24%,-8.01%,-8.61%,-1.36%,-1.79%,-13.47%,12.78%,-2.27%,3.23%,-6.23%
33,Profit Margin,-10.90%,-7.11%,-6.84%,-1.60%,-1.23%,-13.47%,9.29%,-13.03%,-8.55%,-8.55%
34,Free Cash Flow Margin,22.25%,-21.48%,1.06%,9.60%,-2.12%,213.33%,-294.52%,-22.85%,39.72%,-28.64%
35,EBITDA,2.41,-20.68,-16.35,-10.76,-12.54,-16.74,29.55,-1.54,9.44,-32.33
36,D&A For EBITDA,2.17,1.8,2.58,2.2,2.44,3.24,1.96,1.44,2.43,1.26
37,EBIT,0.24,-22.48,-18.93,-12.96,-14.98,-19.98,27.59,-2.98,7.01,-33.58
