,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,-,1695,1798,1925,2085,2128,2204,-,304.87,-,-,-
1,Cash & Short-Term Investments,1695,1695,1798,1925,2085,2128,2204,304.87,304.87,-,-,685.05
2,Cash Growth,-18.72%,-20.35%,-18.41%,531.33%,583.92%,-,-,-55.50%,-,-,-,-
3,Accounts Receivable,-,260.64,258.18,260.04,302.19,429.78,418.38,-,873.09,-,-,-
4,Other Receivables,-,0.61,45.57,0.65,17.08,1.66,1.03,-,1.72,-,-,-
5,Receivables,-,261.24,303.75,260.69,319.27,431.44,419.41,-,874.81,-,-,-
6,Inventory,-,514.82,451.6,410.82,387.26,368.56,398.44,-,441.73,-,-,-
7,Prepaid Expenses,-,-,-,-,-,-,21.57,-,-,-,-,-
8,Other Current Assets,-,91.55,28.86,66.39,46.32,57.56,16.1,-,18.45,-,-,-
9,Total Current Assets,-,2562,2582,2663,2838,2985,3059,-,1640,-,-,-
10,"Property, Plant & Equipment",-,416.82,404.95,312.48,305.69,157.76,130.6,-,77.2,-,-,-
11,Other Intangible Assets,-,94.49,94.69,95.41,95.87,94.9,93.68,-,95.34,-,-,-
12,Long-Term Deferred Tax Assets,-,30.56,22.29,14.57,8.53,14.44,11.99,-,6.54,-,-,-
13,Long-Term Deferred Charges,-,5.5,-,-,-,-,-,-,-,-,-,-
14,Other Long-Term Assets,-,22.5,16.99,21.19,22,24.58,36.45,-,32.18,-,-,-
15,Total Assets,-,3132,3121,3106,3270,3277,3332,-,1851,-,-,-
16,Accounts Payable,-,379.34,335.92,311.17,450.4,513.22,492.91,-,612.53,-,-,-
17,Accrued Expenses,-,3.08,22.43,2.66,20.46,8.27,29.59,-,48.74,-,-,-
18,Current Portion of Leases,-,2.74,0.47,0.52,1.19,1.16,1.23,-,1.02,-,-,-
19,Current Income Taxes Payable,-,0.77,-,0.24,-,0.26,-,-,7.27,-,-,-
20,Current Unearned Revenue,-,156.22,153.66,133.72,117.9,145.57,163.93,-,211.98,-,-,-
21,Other Current Liabilities,-,4,5.79,0.67,8.58,0.35,47.71,-,10.95,-,-,-
22,Total Current Liabilities,-,546.15,518.27,448.99,598.52,668.84,735.37,-,892.48,-,-,-
23,Long-Term Leases,-,-,-,0.03,0.05,0.47,0.21,-,0.4,-,-,-
24,Long-Term Unearned Revenue,-,7.21,5.05,4.78,2.68,-,-,-,-,-,-,-
25,Long-Term Deferred Tax Liabilities,-,0.57,0.17,0.24,0.25,0.34,0.31,-,0.29,-,-,-
26,Other Long-Term Liabilities,-,0.31,0.32,0.32,0.32,0.32,0.32,-,0.33,-,-,-
27,Total Liabilities,-,554.24,523.8,454.34,601.83,669.97,736.21,-,893.5,-,-,-
28,Common Stock,-,337.25,337.25,337.25,337.25,337.25,337.25,-,252.94,-,-,-
29,Additional Paid-In Capital,-,1628,1628,1628,1628,1628,1618,-,55.72,-,-,-
30,Retained Earnings,-,591.91,611.21,665.44,681.59,620.07,608.66,-,626.35,-,-,-
31,Comprehensive Income & Other,-,20.71,21.09,21.22,21.3,21.6,32.13,-,22.6,-,-,-
32,Shareholders' Equity,2578,2578,2598,2652,2668,2607,2596,957.61,957.61,-,-,834.56
33,Total Liabilities & Equity,-,3132,3121,3106,3270,3277,3332,-,1851,-,-,-
34,Total Debt,2.74,2.74,0.47,0.55,1.24,1.63,1.44,1.42,1.42,-,-,3.73
35,Net Cash (Debt),1692,1692,1798,1924,2084,2126,2202,303.45,303.45,-,-,681.33
36,Net Cash Growth,-18.81%,-20.42%,-18.38%,534.10%,586.70%,-,-,-55.46%,-,-,-,-
37,Net Cash Per Share,5.20,4.46,5.40,5.96,6.35,6.25,7.52,1.24,1.10,-,-,2.87
38,Filing Date Shares Outstanding,337.25,337.25,337.25,337.25,337.25,337.25,337.25,243.92,337.25,261.18,237.52,237.52
39,Total Common Shares Outstanding,337.25,337.25,337.25,337.25,337.25,337.25,337.25,243.92,252.94,261.18,237.52,237.52
40,Working Capital,-,2016,2064,2214,2239,2316,2324,-,747.37,-,-,-
41,Book Value Per Share,7.64,7.64,7.70,7.86,7.91,7.73,7.70,3.79,3.79,-,-,3.30
42,Tangible Book Value,2483,2483,2503,2557,2572,2512,2502,862.27,862.27,-,-,737.86
43,Tangible Book Value Per Share,7.36,7.36,7.42,7.58,7.63,7.45,7.42,3.41,3.41,-,-,2.92
44,Buildings,-,-,45.99,-,45.99,-,34,-,45.99,-,-,-
45,Machinery,-,-,127.21,-,140.73,-,97.89,-,136.69,-,-,-
46,Construction In Progress,-,-,355.49,-,253.91,-,77.19,-,19.75,-,-,-
