,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,131.62,20.62,38.07,27.51,218.49,145.03,310.25,50.89,715.99,56.65,89.9,89.9
1,Other Revenue,-,-0.26,0.26,-,1.02,-0.24,0.24,-,0.56,-0.31,0.15,0.15
2,Revenue,131.62,20.36,38.33,27.51,219.52,144.79,310.49,50.89,716.55,56.35,90.06,90.06
3,Revenue Growth (YoY),-40.04%,-85.94%,-87.66%,-45.94%,-69.36%,156.97%,244.77%,-43.49%,-,-,-,-
4,Cost of Revenue,-70.19,12.71,31.07,26.41,125.66,104.78,222.59,37.94,383.7,41.02,67.39,67.39
5,Gross Profit,201.81,7.65,7.26,1.1,93.86,40.01,87.89,12.95,332.84,15.33,22.66,22.66
6,"Selling, General & Admin",-44.73,13.27,18.23,13.23,24.91,16.99,16.91,12.76,28.06,16.42,13.25,13.25
7,Research & Development,-73.42,26.61,26.02,20.79,40.14,31.91,23.86,44.44,56.93,30.95,27.42,27.42
8,Other Operating Expenses,324.87,-2.97,1.36,-1.33,19.86,-9.57,-5,0.13,7.52,-0.2,-0.28,-0.28
9,Operating Expenses,201.44,39.56,48.1,32.84,66.69,39.92,45.18,44.01,115.73,45.09,40.51,40.51
10,Operating Income,0.36,-31.9,-40.84,-31.74,27.17,0.09,42.72,-31.06,217.11,-29.76,-17.84,-17.84
11,Interest Expense,-24.7,-0.53,-0,-0.01,-0.01,-0.01,-0.01,-0.02,-0.01,-0.02,-0.03,-0.03
12,Interest & Investment Income,0.54,7.33,7.8,9.56,9.86,10.3,7.58,4.19,0.74,1.28,2.84,2.84
13,Other Non Operating Income (Expenses),-0.51,0.01,-0.04,-0.01,0.12,-0.02,-0.03,-0.48,-0.15,-0.08,-0.04,-0.04
14,EBT Excluding Unusual Items,-24.3,-25.09,-33.08,-22.2,37.14,10.36,50.26,-27.37,217.69,-28.58,-15.08,-15.08
15,Gain (Loss) on Sale of Assets,-0.01,0.01,-,-,-0.03,-,-,0.03,-,-,-0.01,-0.01
16,Other Unusual Items,-,-2.09,2.09,0,30.23,-0.99,0.99,-,4.45,-2.93,1.47,1.47
17,Pretax Income,-24.31,-27.17,-31,-22.2,67.35,9.37,51.24,-27.35,222.14,-31.51,-13.62,-13.62
18,Income Tax Expense,-4.73,-7.88,-7.78,-6.05,5.82,-2.05,4.65,-10.27,26.07,-8.87,-5.31,-5.31
19,Net Income,-19.58,-19.29,-23.21,-16.15,61.52,11.41,46.59,-17.07,196.07,-22.64,-8.31,-8.31
20,Net Income to Common,-19.58,-19.29,-23.21,-16.15,61.52,11.41,46.59,-17.07,196.07,-22.64,-8.31,-8.31
21,Net Income Growth,-,-,-,-,-68.62%,-,-,-,-,-,-,-
22,Shares Outstanding (Basic),326,379,333,323,328,340,293,244,275,261,238,238
23,Shares Outstanding (Diluted),326,379,333,323,328,340,293,244,275,261,238,238
24,Shares Change (YoY),-0.81%,11.34%,13.74%,32.41%,19.16%,30.34%,23.27%,2.70%,-,-,-,-
25,EPS (Basic),-0.06,-0.05,-0.07,-0.05,0.19,0.03,0.16,-0.07,0.71,-0.09,-0.04,-0.04
26,EPS (Diluted),-0.06,-0.05,-0.07,-0.05,0.19,0.03,0.16,-0.07,0.71,-0.09,-0.04,-0.04
27,EPS Growth,-,-,-,-,-73.67%,-,-,-,-,-,-,-
28,Free Cash Flow,-,-107.96,-97.57,-164.28,-41.95,-33.95,-298.62,532.19,89.52,-118.39,-153.19,-153.19
29,Free Cash Flow Per Share,-,-0.28,-0.29,-0.51,-0.13,-0.10,-1.02,2.18,0.32,-0.45,-0.64,-0.64
30,Dividend Per Share,-,-,-,-,0.092,-,-,-,0.140,-,-,-
31,Dividend Growth,-,-,-,-,-34.29%,-,-,-,-,-,-,-
32,Gross Margin,153.33%,37.59%,18.93%,3.99%,42.76%,27.63%,28.31%,25.45%,46.45%,27.20%,25.17%,25.17%
33,Operating Margin,0.28%,-156.68%,-106.57%,-115.38%,12.38%,0.06%,13.76%,-61.04%,30.30%,-52.82%,-19.81%,-19.81%
34,Profit Margin,-14.88%,-94.74%,-60.56%,-58.71%,28.03%,7.88%,15.01%,-33.55%,27.36%,-40.18%,-9.23%,-9.23%
