,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,7167,5632,5683,5463,6812,7922,7956,8529,-,-,-,-,-
1,Market Cap Growth,-28.91%,-28.91%,-28.57%,-35.94%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,5475,3940,3885,3539,4686,5796,5753,7693,-,-,-,-,-
3,Last Close Price,21.25,16.70,16.85,16.20,20.09,23.37,23.47,25.02,-,-,-,-,-
4,PE Ratio,-,-,-,-,-,77.32,33.57,42.02,-,-,-,-,-
5,Forward PE,48.57,44.83,45.85,38.91,33.11,35.06,38.36,44.56,-,-,-,-,-
6,PS Ratio,33.18,25.86,18.59,12.70,9.70,10.92,6.51,7.52,-,-,-,-,-
7,PB Ratio,2.78,2.18,2.20,2.10,2.57,2.97,3.05,3.29,-,-,-,-,-
8,P/TBV Ratio,2.27,2.27,2.29,2.18,2.66,3.08,3.17,3.41,-,-,-,-,-
9,P/OCF Ratio,-,-,-,-,-,25.51,19.47,-,-,-,-,-,-
10,EV/Sales Ratio,25.13,18.09,12.71,8.23,6.67,7.99,4.71,6.78,-,-,-,-,-
11,EV/EBITDA Ratio,-,-42.54,-,-,-,112.84,23.82,36.33,-,-,-,-,-
12,EV/EBIT Ratio,-,-37.84,-,-,-,148.93,25.14,38.66,-,-,-,-,-
13,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,0.00
14,Debt / EBITDA Ratio,-,0.21,-,-,-,0.01,0.13,0.01,-,0.00,-,-,-
15,Debt / FCF Ratio,-,-,-,-,-,-,-,-,0.00,0.00,-,-,-
16,Asset Turnover,-,0.03,0.05,0.03,0.27,0.18,-,-,-,-,-,-,
17,Inventory Turnover,-,-,0.11,0.29,0.26,1.33,1.09,-,-,-,-,-,-
18,Quick Ratio,-,-,3.58,4.06,4.87,4.02,3.83,3.57,-,1.32,-,-,-
19,Current Ratio,-,-,4.69,4.98,5.93,4.74,4.46,4.16,-,1.84,-,-,-
20,Return on Equity (ROE),-3.04%,-2.98%,-3.54%,-2.43%,9.33%,1.75%,10.49%,-7.13%,-,-,-,-,
21,Return on Assets (ROA),-,-2.55%,-3.28%,-2.49%,2.08%,0.01%,-,-,-,-,-,-,
22,Return on Capital (ROIC),0.04%,-3.08%,-3.89%,-2.98%,2.57%,0.01%,6.01%,-8.10%,-,-,-,-,
23,Return on Capital Employed (ROCE),-,-,-,-,-,1.46%,8.77%,7.66%,-,15.82%,-,-,-
24,Earnings Yield,-1.09%,-1.39%,0.05%,0.61%,1.52%,1.29%,2.98%,2.38%,-,-,-,-,-
25,FCF Yield,-,-7.25%,-6.18%,-7.91%,1.99%,3.63%,2.40%,-,-,-,-,-,
26,Dividend Yield,0.44%,-,-,-,-,0.39%,-,-,-,-,-,-,-
27,Payout Ratio,0.00%,-,-,-,-,-,413.67%,-,-,-,-,-,-
28,Buyback Yield / Dilution,-12.88%,0.81%,-11.34%,-13.74%,-32.41%,-19.16%,-30.34%,-23.27%,-2.70%,-,-,-,-
29,Total Shareholder Return,-12.44%,0.81%,-11.34%,-13.74%,-32.41%,-18.77%,-30.34%,-23.27%,-2.70%,-,-,-,-
