,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,944,761,739,700,838,959,1081,1203,1142,1142,1188,Upgrade
1,Market Cap Growth,8.70%,8.70%,-11.82%,-26.98%,-22.54%,-20.25%,-5.33%,5.33%,-3.85%,-2.60%,4.00%,Upgrade
2,Enterprise Value,962,735,1052,821,1006,763,1103,1033,1229,1048,1214,Upgrade
3,Last Close Price,0.62,0.48,0.45,0.41,0.49,0.56,0.61,0.66,0.60,0.59,0.60,Upgrade
4,PE Ratio,7.20,5.81,13.53,-,-,-,12.59,7.33,8.85,15.85,9.80,Upgrade
5,PS Ratio,0.32,0.25,0.24,0.22,0.24,0.29,0.36,0.40,0.41,0.41,0.43,Upgrade
6,PB Ratio,0.40,0.33,0.32,0.31,0.37,0.41,0.46,0.51,0.49,0.51,0.53,Upgrade
7,P/TBV Ratio,0.33,0.33,0.32,0.31,0.37,0.41,0.46,0.51,0.49,0.52,0.54,Upgrade
8,P/FCF Ratio,4.23,-,4.07,-,-2.98,-,10.29,-,14.74,-,21.49,Upgrade
9,P/OCF Ratio,2.85,-,2.94,-,-4.35,-,5.57,-,3.23,-,6.45,Upgrade
10,EV/Sales Ratio,0.32,0.25,0.35,0.26,0.29,0.23,0.37,0.35,0.44,0.38,0.44,Upgrade
11,EV/EBITDA Ratio,2.72,2.06,3.81,6.09,8.52,4.90,4.41,2.71,3.56,3.64,3.89,Upgrade
12,EV/EBIT Ratio,5.32,3.91,9.60,-42.07,-,39.26,9.82,4.24,5.98,7.80,7.86,Upgrade
13,EV/FCF Ratio,4.31,-,5.79,-,-3.57,-,10.49,-,15.86,-,21.96,Upgrade
14,Debt / Equity Ratio,0.16,0.16,0.16,0.22,0.22,0.18,0.14,0.17,0.16,0.18,0.15,Upgrade
15,Debt / FCF Ratio,1.70,-,2.01,-,-1.75,-,3.21,-,4.94,-,6.10,Upgrade
16,Return on Capital Employed (ROCE),7.90%,7.90%,4.65%,-0.84%,-,0.80%,4.55%,9.74%,8.24%,5.53%,6.38%,Upgrade
17,Earnings Yield,13.88%,17.21%,7.39%,-6.31%,-4.08%,0.35%,7.94%,13.64%,11.30%,6.31%,10.21%,Upgrade
18,FCF Yield,23.65%,29.33%,24.58%,0.44%,-33.61%,-9.61%,9.72%,9.72%,6.79%,1.59%,4.65%,Upgrade
19,Dividend Yield,6.83%,8.21%,8.01%,4.42%,-,-,5.51%,8.58%,8.44%,5.35%,7.96%,Upgrade
20,Total Shareholder Return,6.83%,8.21%,8.01%,4.42%,-,-,5.51%,8.58%,8.44%,5.35%,7.96%,Upgrade
