,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020","Sep '19 Sep 30, 2019",+2 Quarters
0,Revenue,156.07,228.61,303.48,249.86,273.44,236.52,286.97,187.36,229.22,262.25,Upgrade
1,Revenue Growth (YoY),-48.57%,-8.51%,10.99%,5.64%,-4.72%,26.24%,25.19%,-28.56%,-12.20%,-1.38%,Upgrade
2,Cost of Revenue,80.23,128.17,148.39,127.67,143.13,125.6,152.29,63.05,74.21,56.25,Upgrade
3,Gross Profit,75.85,100.44,155.1,122.19,130.31,110.92,134.68,124.31,155.01,206,Upgrade
4,"Selling, General & Admin",95.22,118.08,153.37,134.13,141.98,127.48,142.89,138.63,150.62,199.42,Upgrade
5,Research & Development,7.09,4.41,8.69,12,12.53,3.33,4.51,7.31,1.05,0.45,Upgrade
6,Operating Expenses,102.31,122.5,162.06,146.12,154.51,130.81,147.4,145.95,151.67,199.88,Upgrade
7,Operating Income,-26.47,-22.06,-6.96,-23.94,-24.2,-19.9,-12.73,-21.63,3.34,6.13,Upgrade
8,Interest Expense,-2.43,-2.47,-2.86,-3.28,-0.34,-0.38,-0.42,-0.15,-0.2,-0.17,Upgrade
9,Interest & Investment Income,0.91,0.66,2.37,2.72,0.75,1.55,0.64,2.59,0.22,5.07,Upgrade
10,Currency Exchange Gain (Loss),0.06,-0.13,0.99,-0.3,0.63,0.44,-0.24,-0.26,0.07,0.29,Upgrade
11,Other Non Operating Income (Expenses),2.74,4.02,0.89,3.92,2.2,0.11,1.8,1.72,0.27,0.41,Upgrade
12,EBT Excluding Unusual Items,-25.2,-19.98,-5.57,-20.88,-20.95,-18.18,-10.95,-17.73,3.7,11.73,Upgrade
13,Impairment of Goodwill,-,-,-,-,-1.58,-,-,-,-2.88,-,Upgrade
14,Gain (Loss) on Sale of Investments,-,-0.29,-,-,0.67,-,1.26,-,3.44,-,Upgrade
15,Gain (Loss) on Sale of Assets,-,0.14,-,-,12.04,-0.02,-0.01,-0.06,-0.05,-0.02,Upgrade
16,Other Unusual Items,-,-,-,0.68,-,-,-0,0.05,-,-,Upgrade
17,Pretax Income,-25.2,-20.13,-5.57,-20.2,-9.82,-18.2,-9.7,-17.74,4.21,11.71,Upgrade
18,Income Tax Expense,2.03,-0.03,-0.66,-1.07,-6.14,-0.2,0.63,-2.15,2.73,4.4,Upgrade
19,Earnings From Continuing Operations,-27.23,-20.09,-4.91,-19.12,-3.68,-18,-10.33,-15.59,1.48,7.32,Upgrade
20,Minority Interest in Earnings,-0.01,0.07,0.78,2.78,1.85,0.05,-1.26,0.04,-0.95,-4.71,Upgrade
21,Net Income,-27.24,-20.03,-4.13,-16.35,-1.82,-17.95,-11.59,-15.55,0.54,2.61,Upgrade
22,Net Income to Common,-27.24,-20.03,-4.13,-16.35,-1.82,-17.95,-11.59,-15.55,0.54,2.61,Upgrade
23,Net Income Growth,-,-,-,-,-,-,-,-,245.40%,4.16%,Upgrade
24,Shares Outstanding (Basic),2150,2150,2150,2150,2150,2150,2150,2150,2150,2150,Upgrade
25,Shares Outstanding (Diluted),2150,2150,2150,2150,2150,2150,2150,2150,2150,2150,Upgrade
26,Shares Change (YoY),-,-,-,-,-,-,-,-,-0.00%,-0.01%,Upgrade
27,EPS (Basic),-0.01,-0.01,-0.00,-0.01,-0.00,-0.01,-0.01,-0.01,0.00,0.00,Upgrade
28,EPS (Diluted),-0.01,-0.01,-0.00,-0.01,-0.00,-0.01,-0.01,-0.01,0.00,0.00,Upgrade
29,EPS Growth,-,-,-,-,-,-,-,-,245.83%,4.13%,Upgrade
30,Free Cash Flow,-36.7,-6.38,-92.66,-47.76,-11.7,-50.29,-100.78,-82.54,-48.7,-65.14,Upgrade
31,Free Cash Flow Per Share,-0.02,-0.00,-0.04,-0.02,-0.01,-0.02,-0.05,-0.04,-0.02,-0.03,Upgrade
32,Operating Margin,-16.96%,-9.65%,-2.29%,-9.58%,-8.85%,-8.41%,-4.44%,-11.55%,1.46%,2.34%,Upgrade
33,Profit Margin,-17.45%,-8.76%,-1.36%,-6.54%,-0.67%,-7.59%,-4.04%,-8.30%,0.23%,0.99%,Upgrade
34,Free Cash Flow Margin,-23.52%,-2.79%,-30.53%,-19.12%,-4.28%,-21.26%,-35.12%,-44.05%,-21.25%,-24.84%,Upgrade
35,EBITDA,-11.08,-7.41,7.46,-7.59,-17.9,-11.74,-6.13,-14.7,9.98,12.96,Upgrade
36,D&A For EBITDA,15.39,14.65,14.42,16.34,6.3,8.16,6.59,6.93,6.64,6.83,Upgrade
37,EBIT,-26.47,-22.06,-6.96,-23.94,-24.2,-19.9,-12.73,-21.63,3.34,6.13,Upgrade
