,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,228.53,468.25,333.37,434.26,503.19,491.87,775,566.2,295.4,1142,1010,282.45,-,179.16,-,106.06,106.06,261.26,261.26
1,Trading Asset Securities,1724,1265,1508,1449,1477,1270,758.3,1053,1140,-,151.29,-,-,-,-,200,200,-,-
2,Cash & Short-Term Investments,1952,1734,1841,1883,1980,1762,1533,1619,1435,1142,1161,282.45,-,179.16,306.06,306.06,306.06,261.26,261.26
3,Cash Growth,-1.41%,-1.62%,20.08%,16.29%,37.99%,54.29%,32.08%,473.30%,-,537.44%,279.30%,-7.71%,-,-31.42%,17.15%,-,-,-,-
4,Accounts Receivable,276.52,215.88,238.9,171.87,157.21,151.69,190.32,198.85,239.19,168.04,137.32,126.2,-,197.91,-,145.33,145.33,229.06,229.06
5,Other Receivables,4.48,3.32,3.52,3.2,3.71,3.26,2.66,2.64,3.18,2.91,3.66,1.52,-,0.95,-,0.34,0.34,0.37,0.37
6,Receivables,281,219.2,242.42,175.07,160.91,154.95,192.98,201.49,242.38,170.95,140.98,127.73,-,198.86,-,145.67,145.67,229.42,229.42
7,Inventory,39.24,50.41,45.04,43.85,36.03,76.66,94.85,46.78,94.33,133.6,111.47,89.23,-,91.21,-,75.48,75.48,45.7,45.7
8,Prepaid Expenses,-,-,-,1.44,-,-,-,2.96,-,-,-,0,-,0,-,-,-,-,-
