,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,308.24,270.08,244.92,301.85,245.08,233.21,271.11,330.33,365.48,274.67,161.56,197.52,129.31,169.62,144.76,240.83,240.83,227.87,227.87
1,Other Revenue,-3.83,3.83,-,8.07,-1.7,1.7,-,2.96,-0.39,0.39,-,3.17,-2.27,2.27,-,1.39,1.39,2.92,2.92
2,Revenue,304.41,273.91,244.92,309.92,243.38,234.91,271.11,333.29,365.1,275.06,161.56,200.69,127.05,171.88,144.76,242.22,242.22,230.8,230.8
3,Revenue Growth (YoY),25.08%,16.60%,-9.66%,-7.01%,-33.34%,-14.59%,67.80%,66.07%,187.37%,60.02%,11.61%,-17.14%,-47.55%,-25.53%,-37.28%,-,-,-,-
4,Cost of Revenue,251.31,235.52,195.96,256.54,177.45,223.22,217.35,271.97,301.43,233.75,142.87,161.72,90.41,131.14,101.39,181.08,181.08,193.83,193.83
5,Gross Profit,53.1,38.39,48.97,53.38,65.93,11.7,53.76,61.32,63.66,41.3,18.7,38.98,36.64,40.75,43.37,61.13,61.13,36.97,36.97
6,"Selling, General & Admin",17.83,14.32,15.92,23.98,13.38,16.83,14.96,14.09,20.37,14.68,8.25,6.71,10.19,12.2,13.76,16.81,16.81,9.42,9.42
7,Research & Development,14.99,11.1,7.96,21.66,15.88,11.91,2.27,1.8,2,2.43,2.45,3.21,2.64,2.37,1.87,1.87,1.87,2.61,2.61
8,Other Operating Expenses,0.35,1.89,2.12,1.95,1.74,1.78,0.53,8.96,-0.47,-0.01,0.54,6.62,0.22,0.29,-2.04,1.79,1.79,1.68,1.68
9,Operating Expenses,38,27.39,27.04,47.28,46.39,29.51,19.91,23.38,23.99,16.97,11.53,15.68,13.77,15.27,14.15,20.55,20.13,13.77,13.77
10,Operating Income,15.11,11,21.93,6.1,19.54,-17.81,33.85,37.94,39.67,24.34,7.17,23.3,22.87,25.48,29.22,40.59,41.01,23.2,23.2
11,Interest Expense,-2.77,-3.38,-1.25,-3.14,-2.51,-4.14,-1.65,-1.78,-1.98,-0.38,-0.69,-0.18,-1.02,-,-0.01,-1.31,-1.31,-0.77,-0.77
12,Interest & Investment Income,16.73,16.22,5.88,21.93,59.84,15.62,6.68,13.97,4.81,9.73,0.77,2.94,0.23,1.11,1.74,1.31,1.31,0.95,0.95
13,Currency Exchange Gain (Loss),-0.13,0.13,-,10.87,-10.44,10.44,-,3.39,-0.36,0.36,-,-0.16,0.12,-0.12,-,-0.35,-0.35,0.06,0.06
14,Other Non Operating Income (Expenses),-0.21,-0.44,0.04,-10.91,10.7,2.03,-2.35,-6.72,6.73,-0.2,-0.1,0.1,-0.1,-0.15,0.08,0.38,-0.04,-0.02,-0.02
15,EBT Excluding Unusual Items,28.73,23.53,26.59,24.86,77.13,6.15,36.53,46.8,48.88,33.84,7.15,26,22.09,26.31,31.02,40.63,40.63,23.41,23.41
16,Gain (Loss) on Sale of Investments,-1.94,-1.14,3.94,-3.33,-47.9,42.21,9.82,-1.65,1.73,-1.29,1.29,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,0.01,0.57,0.03,-1.16,0.34,-,-,-,-,-,-,3.8,2.73,0.53,0.67,-0.18,-0.18,-0.01,-0.01
18,Asset Writedown,-,2.49,-2.49,14.63,-,1.37,-1.37,4.54,-4.57,1.03,-1.03,1.85,-1.85,1.67,-1.67,-3.17,-3.17,-0.37,-0.37
19,Other Unusual Items,-1.39,1.6,-0.04,0.53,-,-,-,5.56,-,-,-,5.46,-0.07,0.07,-,1.19,1.19,-0.23,-0.23
20,Pretax Income,25.42,27.04,28.03,35.52,29.56,49.73,44.98,55.26,46.03,33.59,7.41,37.11,22.89,28.57,30.03,38.47,38.47,22.81,22.81
21,Income Tax Expense,5.45,4.43,6.62,1.15,4.1,7.8,8.06,8.78,5.98,4.26,1.11,4.62,3.34,4.14,4.63,6.02,6.02,3.61,3.61
22,Net Income,19.97,22.61,21.41,34.38,25.46,41.92,36.92,46.48,40.05,29.32,6.3,32.49,19.56,24.43,25.4,32.45,32.45,19.2,19.2
23,Net Income to Common,19.97,22.61,21.41,34.38,25.46,41.92,36.92,46.48,40.05,29.32,6.3,32.49,19.56,24.43,25.4,32.45,32.45,19.2,19.2
24,Net Income Growth,-21.55%,-46.07%,-42.00%,-26.04%,-36.44%,42.97%,486.13%,43.05%,104.77%,20.03%,-75.20%,0.13%,-39.72%,27.24%,32.29%,-,-,-,-
25,Shares Outstanding (Basic),462,443,535,473,454,524,461,370,479,645,315,375,360,357,363,363,363,349,349
26,Shares Outstanding (Diluted),462,443,535,473,454,524,461,370,479,645,315,375,360,357,363,363,363,349,349
27,Shares Change (YoY),1.65%,-15.47%,15.99%,27.77%,-5.22%,-18.78%,46.53%,-1.36%,33.11%,80.62%,-13.20%,3.27%,-0.85%,2.33%,3.94%,-,-,-,-
28,EPS (Basic),0.04,0.05,0.04,0.07,0.06,0.08,0.08,0.13,0.08,0.05,0.02,0.09,0.05,0.07,0.07,0.09,0.09,0.06,0.06
29,EPS (Diluted),0.04,0.05,0.04,0.07,0.06,0.08,0.08,0.13,0.08,0.05,0.02,0.09,0.05,0.07,0.07,0.09,0.09,0.06,0.06
30,EPS Growth,-22.83%,-36.20%,-50.00%,-42.11%,-32.94%,76.03%,300.00%,45.02%,53.84%,-33.55%,-71.43%,-3.04%,-39.20%,24.34%,27.27%,-,-,-,-
31,Free Cash Flow,-43.69,56.63,-52.14,-23.89,74.76,-61.26,0.06,-32.58,206.45,-49.39,-43.95,48.53,42.69,-56.11,-73.26,62.47,62.47,-47.37,-47.37
32,Free Cash Flow Per Share,-0.09,0.13,-0.10,-0.05,0.16,-0.12,0.00,-0.09,0.43,-0.08,-0.14,0.13,0.12,-0.16,-0.20,0.17,0.17,-0.14,-0.14
33,Dividend Per Share,-,0.050,-,0.200,-,-,-,0.080,-,-,-,0.050,-,-,-,-,-,-,-
34,Dividend Growth,-,-,-,150.00%,-,-,-,60.00%,-,-,-,-,-,-,-,-,-,-,-
