,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,4056,3485,2947,3451,3950,4210,4253,4109,4282,3778,5184,6038,-,-,-,-,-,-,-,-
1,Market Cap Growth,-17.22%,-17.22%,-30.70%,-16.00%,-7.74%,11.44%,-17.96%,-31.96%,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2872,2271,1712,2171,2635,2993,2976,2836,2996,2686,4044,5859,-,-,-,-,-,-,-,-
3,Last Close Price,8.45,7.22,6.10,6.95,7.96,8.48,8.57,8.20,8.54,7.54,10.29,11.99,-,-,-,-,-,-,-,-
4,PE Ratio,41.08,35.43,28.38,28.02,28.49,27.92,25.72,26.90,35.05,34.92,59.13,72.95,-,-,-,-,-,-,-,-
5,PS Ratio,3.57,3.08,2.75,3.34,3.73,3.89,3.53,3.30,3.77,3.77,6.78,9.13,-,-,-,-,-,-,-,-
6,PB Ratio,2.39,2.06,1.74,2.06,2.26,2.45,2.51,2.49,2.59,2.35,3.26,3.86,-,-,-,-,-,-,-,-
7,P/TBV Ratio,2.09,2.09,1.76,2.09,2.29,2.48,2.55,2.52,2.62,2.38,3.30,3.91,-,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,53.24,-,-,-221.38,-,32.99,-,23.37,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,26.86,-,100.25,143.28,-,23.77,-,19.47,-,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,2.53,2.00,1.60,2.10,2.49,2.76,2.47,2.28,2.64,2.68,5.29,8.86,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,30.76,28.65,20.75,41.60,41.89,31.99,-,18.63,24.17,24.92,44.21,64.04,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,43.56,41.94,29.22,72.95,63.22,40.71,-,20.88,27.46,28.42,52.06,74.34,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,-45.53,-,30.92,-,-,-157.42,-,22.77,-,16.61,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.45,0.45,0.31,0.36,0.34,0.39,0.32,0.16,0.21,0.09,0.03,0.01,0.01,-,-,0.02,0.02,0.02,0.19,0.19
15,Debt / EBITDA Ratio,8.23,9.18,6.80,5.45,12.11,6.88,-,1.66,2.02,0.88,0.44,0.50,0.07,-,-,0.08,0.06,0.06,0.84,0.84
16,Debt / FCF Ratio,-,-,9.38,-,-,-34.99,-,2.06,-,0.93,-,-,-0.20,-,-,-,0.33,-0.31,-,-
17,Asset Turnover,0.48,0.45,0.39,0.49,0.39,0.41,0.50,0.61,0.73,0.61,0.51,-,-,-,-,1.37,1.37,1.31,-,
18,Inventory Turnover,24.96,22.43,19.74,17.64,25.69,12.60,10.41,12.28,15.42,10.58,7.63,5.69,-,-,-,-,9.60,11.95,16.96,-
19,Quick Ratio,2.26,2.26,2.83,2.47,2.77,2.50,2.66,3.47,3.29,3.08,5.26,7.60,3.37,-,4.89,-,3.15,3.15,2.26,2.26
20,Current Ratio,2.37,2.37,2.97,2.59,2.91,2.63,2.91,3.73,3.48,3.45,6.33,8.61,4.31,-,6.23,-,3.78,3.78,2.55,2.55
