,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,307,279,291,440,670,888,1159,1320,989,888,868,Upgrade
1,Market Cap Growth,-36.70%,-36.70%,-56.63%,-50.45%,-42.16%,-32.72%,17.14%,48.64%,13.95%,-24.66%,-25.09%,Upgrade
2,Enterprise Value,981,871,950,1184,1466,1041,1259,1436,1107,1055,1056,Upgrade
3,Last Close Price,0.76,0.66,0.66,0.99,1.47,1.93,2.46,2.70,1.97,1.63,1.53,Upgrade
4,PE Ratio,14.58,13.23,-,5.05,8.87,8.69,10.25,11.24,7.32,8.28,10.82,Upgrade
5,PS Ratio,0.24,0.22,0.21,0.29,0.44,0.59,0.77,1.10,0.95,0.88,0.80,Upgrade
6,PB Ratio,0.61,0.56,0.59,0.89,1.50,2.11,2.82,3.45,2.59,2.40,2.42,Upgrade
7,P/TBV Ratio,0.56,0.56,0.59,0.89,1.50,2.12,2.83,3.46,2.60,2.41,2.43,Upgrade
8,P/FCF Ratio,4.52,-,1.78,2.98,3.96,6.77,7.23,7.52,6.03,5.29,4.56,Upgrade
9,P/OCF Ratio,2.97,-,1.54,2.54,3.79,6.53,6.73,6.80,5.36,4.84,4.30,Upgrade
10,EV/Sales Ratio,0.77,0.69,0.69,0.79,0.95,0.69,0.84,1.20,1.07,1.04,0.97,Upgrade
11,EV/EBITDA Ratio,5.01,6.36,5.94,9.16,10.06,5.87,7.36,9.73,7.90,8.42,8.41,Upgrade
12,EV/EBIT Ratio,9.72,9.79,8.43,14.92,15.26,7.48,8.97,12.10,10.19,10.46,11.17,Upgrade
13,EV/FCF Ratio,14.45,-,5.80,8.01,8.65,7.94,7.85,8.18,6.75,6.29,5.55,Upgrade
14,Debt / Equity Ratio,1.48,1.48,1.32,1.47,1.86,2.14,0.84,0.66,0.49,0.53,0.58,Upgrade
15,Debt / FCF Ratio,10.92,-,3.98,4.91,4.92,6.87,2.15,1.44,1.15,1.16,1.10,Upgrade
16,Return on Capital Employed (ROCE),17.03%,17.03%,21.85%,15.15%,20.27%,31.59%,32.81%,29.55%,27.07%,25.45%,24.77%,Upgrade
17,Earnings Yield,6.86%,7.56%,19.39%,19.81%,11.28%,11.51%,9.76%,8.89%,13.67%,12.07%,9.24%,Upgrade
18,FCF Yield,22.12%,24.36%,56.30%,33.59%,25.28%,14.76%,13.84%,13.30%,16.59%,18.89%,21.91%,Upgrade
19,Dividend Yield,7.89%,10.56%,10.68%,3.02%,-,-,8.95%,10.02%,13.21%,15.29%,14.34%,Upgrade
20,Buyback Yield / Dilution,-,-,-,-,-,-,-,-,-,-0.00%,Upgrade,
21,Total Shareholder Return,7.89%,10.56%,10.68%,3.02%,-,-,8.95%,10.02%,13.21%,15.29%,14.34%,Upgrade
