,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,200,228,243,350,264,314,499,664,449,485,457,Upgrade
1,Market Cap Growth,-34.69%,-34.69%,-8.11%,11.36%,-47.14%,-52.69%,11.11%,36.76%,-1.56%,-31.31%,-37.65%,Upgrade
2,Enterprise Value,2175,1962,1487,1409,1139,992,1031,1212,992,924,668,Upgrade
3,Last Close Price,0.03,0.03,0.03,0.05,0.04,0.04,0.07,0.09,0.06,0.07,0.06,Upgrade
4,PS Ratio,0.33,0.37,0.41,0.62,0.47,0.41,0.50,0.64,0.42,0.44,0.39,Upgrade
5,PB Ratio,-0.14,-0.14,-0.18,-0.37,-0.36,-3.94,3.42,1.98,1.23,1.05,0.71,Upgrade
6,P/TBV Ratio,-,-,-,-,-,-,7.54,2.59,1.61,1.31,0.85,Upgrade
7,P/FCF Ratio,-,-,-,-,-,-,-,-,285.38,-,-,Upgrade
8,P/OCF Ratio,-,-,-,-,-,-,-,-,4.09,-4.51,-,Upgrade
9,EV/Sales Ratio,3.56,3.21,2.49,2.50,2.02,1.31,1.04,1.17,0.93,0.83,0.58,Upgrade
10,EV/EBITDA Ratio,-,-,-,-,-,-18.28,-,-,-19.28,-,-,Upgrade
11,EV/FCF Ratio,-5.57,-,-,-,-,-,-,-,629.82,-,-,Upgrade
12,Debt / Equity Ratio,-1.34,-1.34,-1.39,-1.51,-1.60,-13.17,6.11,2.67,2.12,1.65,1.27,Upgrade
13,Debt / FCF Ratio,-,-,-,-,-,-,-,-,491.09,-,-,Upgrade
14,Earnings Yield,-323.98%,-283.48%,-242.92%,-245.09%,-335.52%,-131.98%,-72.81%,-41.35%,-61.27%,-74.94%,-86.94%,Upgrade
15,FCF Yield,-195.52%,-171.08%,-150.06%,-70.16%,-76.94%,-59.49%,-33.22%,-4.62%,0.35%,-49.26%,-64.91%,Upgrade
16,Buyback Yield / Dilution,-,-,-,-,-,-,-,0.08%,-11.64%,-13.39%,Upgrade,
17,Total Shareholder Return,-,-,-,-,-,-,-,0.08%,-11.64%,-13.39%,Upgrade,
