,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Revenue,277.17,334.51,263.39,301.09,261.7,495.71,493.48,544.08,524.89,588.96,Upgrade
1,Revenue Growth (YoY),5.23%,11.10%,0.65%,-39.26%,-46.97%,-8.89%,-5.98%,-7.62%,-8.22%,2.28%,Upgrade
2,Cost of Revenue,373.1,512.98,303.07,417.36,269.56,512.88,512.69,489.67,522.82,593.11,Upgrade
3,Gross Profit,-95.93,-178.47,-39.68,-116.27,-7.85,-17.17,-19.2,54.42,2.08,-4.16,Upgrade
4,"Selling, General & Admin",92.76,139.23,70.39,113.48,88.25,137.4,134.86,133.81,157.13,162.07,Upgrade
5,Operating Expenses,92.76,139.23,70.39,113.48,88.25,137.4,134.86,133.81,157.13,162.07,Upgrade
6,Operating Income,-188.69,-317.71,-110.06,-229.75,-96.1,-154.57,-154.06,-79.39,-155.05,-166.23,Upgrade
7,Interest Expense,-59.45,-48,-35.55,-30.5,-25.07,-24.36,-21.95,-19.71,-21.54,-25.36,Upgrade
8,Interest & Investment Income,0.3,0.42,0.33,0.45,0.66,0.8,0.38,0.06,0.36,3.82,Upgrade
9,Other Non Operating Income (Expenses),0.42,-0,0.82,0.09,-,-,-,-,-,-0.11,Upgrade
10,EBT Excluding Unusual Items,-247.43,-365.29,-144.46,-259.7,-120.51,-178.12,-175.64,-99.04,-176.24,-187.88,Upgrade
11,Gain (Loss) on Sale of Investments,-8.11,-4.08,-1.61,-10.48,-45.17,-2.52,4.05,-0,0.3,0.17,Upgrade
12,Gain (Loss) on Sale of Assets,0.13,0.68,0.13,0.05,0.05,-0.06,-0.08,0.17,-0.05,0.31,Upgrade
13,Other Unusual Items,0.56,0,-,0.01,-,-0,0.15,0.01,-,0.17,Upgrade
14,Pretax Income,-254.84,-368.69,-145.93,-270.12,-165.63,-180.7,-171.51,-98.87,-175.99,-187.23,Upgrade
15,Income Tax Expense,0.09,29.63,3.31,179.91,7.71,7.73,3.7,0.29,0.23,0.14,Upgrade
16,Earnings From Continuing Operations,-254.93,-398.33,-149.24,-450.03,-173.35,-188.44,-175.22,-99.16,-176.22,-187.37,Upgrade
17,Earnings From Discontinued Operations,-,6.04,-47.75,-209.81,-52.53,-,-,-,-,-,Upgrade
18,Net Income,-254.93,-392.29,-196.99,-659.84,-225.87,-188.44,-175.22,-99.16,-176.22,-187.37,Upgrade
19,Net Income to Common,-254.93,-392.29,-196.99,-659.84,-225.87,-188.44,-175.22,-99.16,-176.22,-187.37,Upgrade
20,Shares Outstanding (Basic),7135,7135,7135,7135,7135,7135,7135,7135,7135,7140,Upgrade
21,Shares Outstanding (Diluted),7135,7135,7135,7135,7135,7135,7135,7135,7135,7140,Upgrade
22,Shares Change (YoY),-,-,-,-,-,-,-,-0.08%,11.64%,13.39%,Upgrade
23,EPS (Basic),-0.04,-0.05,-0.03,-0.09,-0.03,-0.03,-0.02,-0.01,-0.02,-0.03,Upgrade
24,EPS (Diluted),-0.04,-0.06,-0.03,-0.09,-0.03,-0.03,-0.03,-0.01,-0.03,-0.03,Upgrade
25,Free Cash Flow,-180.41,-210.17,-153.83,-91.47,-111.63,-75.12,-90.79,60.16,-58.58,-180.43,Upgrade
26,Free Cash Flow Per Share,-0.03,-0.03,-0.02,-0.01,-0.02,-0.01,-0.01,0.01,-0.01,-0.03,Upgrade
27,Operating Margin,-68.08%,-94.98%,-41.79%,-76.31%,-36.72%,-31.18%,-31.22%,-14.59%,-29.54%,-28.22%,Upgrade
28,Profit Margin,-91.98%,-117.27%,-74.79%,-219.15%,-86.31%,-38.01%,-35.51%,-18.23%,-33.57%,-31.81%,Upgrade
29,Free Cash Flow Margin,-65.09%,-62.83%,-58.40%,-30.38%,-42.66%,-15.15%,-18.40%,11.06%,-11.16%,-30.64%,Upgrade
30,EBITDA,-154.78,-279.15,-64.09,-176.5,16.69,-70.94,-63.73,8.44,-59.88,-72.5,Upgrade
31,D&A For EBITDA,33.91,38.56,45.97,53.25,112.79,83.63,90.33,87.83,95.18,93.73,Upgrade
32,EBIT,-188.69,-317.71,-110.06,-229.75,-96.1,-154.57,-154.06,-79.39,-155.05,-166.23,Upgrade
