,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,65.72,28.92,68.5,41.59,62.6,70.16,195.23,157.42,85.17,241.9,Upgrade
1,Short-Term Investments,62.14,46.01,67.4,41.57,61.42,48.21,68.24,67.15,80.56,76.86,Upgrade
2,Trading Asset Securities,26.28,34.39,38.47,40.08,50.56,95.74,98.26,-,55.06,54.77,Upgrade
3,Cash & Short-Term Investments,154.14,109.32,174.38,123.23,174.58,214.11,361.72,224.58,220.8,373.53,Upgrade
4,Cash Growth,-11.61%,-11.29%,-0.11%,-42.44%,-51.74%,-4.66%,63.82%,-39.88%,-70.81%,60.97%,Upgrade
5,Accounts Receivable,89.47,120.2,79.24,106.22,96.09,108.03,100.47,112.3,82.28,106.47,Upgrade
6,Receivables,89.47,120.2,79.24,106.22,96.09,108.03,100.47,112.3,82.28,106.47,Upgrade
7,Inventory,3.12,3.42,4.88,6.47,5.63,6.86,9,9.98,9.93,12.02,Upgrade
8,Restricted Cash,12.05,12.05,16.55,16.55,16.55,10.55,10.55,10.55,10.55,18.32,Upgrade
9,Other Current Assets,8.78,6.53,5.97,6.1,9.52,10.94,11.18,13.62,14.71,18.43,Upgrade
10,Total Current Assets,267.56,251.52,281.02,258.58,302.37,350.49,492.93,371.03,338.26,528.77,Upgrade
11,"Property, Plant & Equipment",560.97,587.47,461.74,467.22,669.04,724.37,760.59,816.51,864.11,911.38,Upgrade
12,Other Intangible Assets,15.67,1.22,21.84,13.74,77.54,79.85,78.76,86.63,93.68,100.33,Upgrade
13,Long-Term Deferred Tax Assets,69.55,69.55,99.03,102.14,281.88,289.5,297.04,300.53,300.53,300.53,Upgrade
14,Long-Term Deferred Charges,3.44,4.25,4.2,3.68,5.65,5.38,7.01,7.07,9.92,10.17,Upgrade
15,Other Long-Term Assets,33.62,31.15,29.74,34.13,43.24,36,27.47,26.53,26.86,27.56,Upgrade
16,Total Assets,950.8,945.16,897.56,879.49,1380,1486,1664,1608,1633,1879,Upgrade
17,Accounts Payable,55.88,85.49,56.2,50.28,32.49,57.61,51.12,69.13,40.04,39.22,Upgrade
18,Accrued Expenses,243.22,192.58,240.19,209.27,234.26,213.99,239.14,214.93,211.14,206.86,Upgrade
19,Short-Term Debt,461.04,295,295,295,295,295,295,295,295,345,Upgrade
20,Current Portion of Leases,4.72,4.82,21.43,37.26,36.79,38.93,39.55,41.54,31.37,31.6,Upgrade
