,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,63.39,57.38,47.36,83.72,57.83,54.32,44.03,67.07,46.98,44.05,38.83,66.39,41.19,44.5,37.29,58.55,43.69,54.44,37.65
1,Other Revenue,-,-,-,-,-,-,-,-,-,-,-,0.16,-0.16,0.16,-,0.09,-0.03,0.03,-
2,Revenue,63.39,57.38,47.36,83.72,57.83,54.32,44.03,67.07,46.98,44.05,38.83,66.55,41.04,44.66,37.29,58.64,43.66,54.47,37.65
3,Revenue Growth (YoY),9.61%,5.63%,7.55%,24.83%,23.10%,23.32%,13.39%,0.78%,14.49%,-1.37%,4.13%,13.49%,-6.01%,-18.02%,-0.94%,-,-,-,-
4,Cost of Revenue,42.12,36.61,33.4,50.3,36.76,38.15,28.01,36.89,28.45,27.46,22.41,36.47,19.83,23.32,19.85,26.15,20.72,24.46,20.93
5,Gross Profit,21.27,20.77,13.96,33.42,21.08,16.17,16.03,30.17,18.53,16.59,16.42,30.08,21.21,21.34,17.45,32.49,22.94,30.01,16.72
6,"Selling, General & Admin",18.18,17.34,15.87,28.59,17.09,15.24,13.47,20.08,15.68,16.96,14.53,24.43,16.26,14.94,13.92,19.8,15.76,14.93,14.87
7,Research & Development,-,-0.06,0.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,Other Operating Expenses,0.34,0.72,0.03,0.36,0,-0.63,-0.24,3.23,-1.96,0.26,-0.21,1.68,-0.56,-0.56,-0.45,3,-0.62,-2.14,0.15
9,Operating Expenses,18.9,19,14.88,31.89,16.4,15.22,13.11,23.9,14.63,16.96,14.76,26.6,16.13,14.56,13.81,21.07,15.59,15.33,15.02
10,Operating Income,2.37,1.77,-0.92,1.53,4.67,0.95,2.92,6.28,3.91,-0.37,1.67,3.48,5.08,6.79,3.64,11.42,7.35,14.68,1.7
11,Interest Expense,-1.01,-0.17,-0.19,-0.32,-0.11,-0.1,-0.02,-,-0.14,-0.48,-0.18,-0.33,-,-,-,-,-,-,-
12,Interest & Investment Income,3.62,2.77,3.5,4.78,3.73,3.65,3.63,4.13,6.26,5.22,2.47,78.61,1.6,0.21,2.33,11.48,1.1,0.98,0.95
13,Earnings From Equity Investments,0.01,0.09,-0.01,-0.09,0.09,-0,-0.01,0.02,-0.01,0.01,-0.01,-6.01,1.99,4.02,-,-1.6,1,0.59,-
14,Other Non Operating Income (Expenses),0.08,-0.24,-0.01,1.88,-0.79,0.77,-0.01,-1.82,0.06,-0.05,-0,-1.58,0.52,0.94,0.03,-0,-0.01,0.09,-0.13
15,EBT Excluding Unusual Items,5.06,4.22,2.38,7.78,7.6,5.26,6.52,8.61,10.08,4.33,3.93,74.18,9.19,11.96,6,21.3,9.45,16.35,2.52
16,Gain (Loss) on Sale of Investments,-,-,-,2.47,-,-,-,-1.16,-,-,-,1.11,-,-,-,7.77,-,0.34,-1.03
17,Gain (Loss) on Sale of Assets,0.01,0.01,-0.01,-0.01,0,-0,-0,-0.04,-,-0,-0,-0,-0,-0.01,-,-,-,0.03,-
18,Asset Writedown,0.12,-0.01,0.01,0.36,-0.37,0.24,-0.24,0.25,-0.25,0.13,-0.13,-,-,-,-,-0.02,0.02,-0.02,-
19,Other Unusual Items,0.03,0.43,0.14,0.18,-,0,-0,2.99,-,-,-,5.16,-,-,-,3.86,-,-,-
20,Pretax Income,5.23,4.66,2.52,10.78,7.23,5.49,6.28,10.64,9.83,4.46,3.8,80.45,9.19,11.95,6,32.91,9.47,16.71,1.49
21,Income Tax Expense,0.48,0.93,0.49,-1.81,0.03,0.02,0.01,-0.06,0.03,0.39,0.03,24.67,0.05,0.06,0.02,0.23,0.01,-0.02,-
22,Earnings From Continuing Operations,4.75,3.73,2.02,12.59,7.2,5.47,6.27,10.7,9.8,4.07,3.77,55.77,9.13,11.89,5.98,32.68,9.46,16.73,1.49
23,Minority Interest in Earnings,-0.08,-0.04,-0.01,-0.05,-0.11,-0.04,-0.01,-0.06,-0.06,-0.1,0.03,-0.13,-0.02,-0.06,0.04,-0.18,-0.05,-0.04,0.01
24,Net Income,4.67,3.69,2.02,12.54,7.09,5.43,6.26,10.64,9.74,3.98,3.8,55.64,9.11,11.84,6.02,32.5,9.41,16.69,1.5
25,Net Income to Common,4.67,3.69,2.02,12.54,7.09,5.43,6.26,10.64,9.74,3.98,3.8,55.64,9.11,11.84,6.02,32.5,9.41,16.69,1.5
26,Net Income Growth,-34.13%,-32.05%,-67.79%,17.95%,-27.20%,36.45%,64.82%,-80.89%,6.88%,-66.38%,-36.92%,71.21%,-3.17%,-29.07%,300.49%,-,-,-,-
27,Shares Outstanding (Basic),138,179,202,184,178,177,156,178,137,199,190,183,149,227,130,136,122,131,-
28,Shares Outstanding (Diluted),138,179,202,184,178,177,156,178,137,199,190,183,149,227,130,136,122,131,-
29,Shares Change (YoY),-22.31%,0.71%,28.84%,3.15%,30.37%,-10.79%,-17.59%,-2.42%,-7.99%,-12.29%,45.71%,33.87%,22.02%,72.71%,-,-,-,-,-
30,EPS (Basic),0.03,0.02,0.01,0.07,0.04,0.03,0.04,0.06,0.07,0.02,0.02,0.30,0.06,0.05,0.05,0.24,0.08,0.13,-
31,EPS (Diluted),0.03,0.02,0.01,0.07,0.04,0.03,0.04,0.06,0.07,0.02,0.02,0.30,0.06,0.05,0.05,0.24,0.08,0.13,-
32,EPS Growth,-15.22%,-32.53%,-75.00%,14.35%,-44.16%,52.95%,100.00%,-80.41%,16.16%,-61.67%,-56.71%,27.89%,-20.64%,-58.93%,-,-,-,-,-
33,Free Cash Flow,11.03,6.69,-35.14,29.11,6.15,3.07,-6.1,29.23,13.42,3.68,-12.14,55.26,-22.86,-6.66,-14.24,51.14,12.44,6.6,-12.6
34,Free Cash Flow Per Share,0.08,0.04,-0.17,0.16,0.03,0.02,-0.04,0.16,0.10,0.02,-0.06,0.30,-0.15,-0.03,-0.11,0.37,0.10,0.05,-
35,Dividend Per Share,-,-,-,0.170,-,-,-,0.160,-,-,-,0.154,-,-,-,-,-,-,-
36,Dividend Growth,-,-,-,6.25%,-,-,-,4.03%,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,33.56%,36.20%,29.48%,39.92%,36.44%,29.76%,36.39%,44.99%,39.45%,37.66%,42.29%,45.20%,51.69%,47.79%,46.79%,55.40%,52.55%,55.09%,44.41%
38,Operating Margin,3.74%,3.09%,-1.94%,1.83%,8.08%,1.74%,6.63%,9.36%,8.32%,-0.83%,4.29%,5.22%,12.38%,15.19%,9.76%,19.47%,16.84%,26.96%,4.53%
39,Profit Margin,7.37%,6.43%,4.26%,14.98%,12.26%,9.99%,14.21%,15.86%,20.73%,9.03%,9.78%,83.60%,22.21%,26.50%,16.14%,55.42%,21.56%,30.63%,3.99%
40,Free Cash Flow Margin,17.39%,11.65%,-74.20%,34.77%,10.63%,5.65%,-13.85%,43.59%,28.56%,8.36%,-31.26%,83.04%,-55.72%,-14.91%,-38.19%,87.20%,28.49%,12.11%,-33.47%
41,EBITDA,4.38,3.82,1.09,3.54,7.81,4.07,6.06,9.41,6.28,2.77,4.04,5.85,7.28,8.87,5.84,13.62,8.17,15.74,2.52
42,EBITDA Margin,6.91%,6.66%,2.30%,4.23%,13.50%,7.48%,13.75%,14.04%,13.36%,6.29%,10.40%,8.79%,17.74%,19.86%,15.66%,23.23%,18.72%,28.89%,6.71%
43,D&A For EBITDA,2.01,2.05,2.01,2.01,3.14,3.12,3.14,3.14,2.37,3.14,2.37,2.37,2.2,2.09,2.2,2.2,0.82,1.05,0.82
44,EBIT,2.37,1.77,-0.92,1.53,4.67,0.95,2.92,6.28,3.91,-0.37,1.67,3.48,5.08,6.79,3.64,11.42,7.35,14.68,1.7
45,EBIT Margin,3.74%,3.09%,-1.94%,1.83%,8.08%,1.74%,6.63%,9.36%,8.31%,-0.83%,4.29%,5.22%,12.38%,15.19%,9.76%,19.47%,16.84%,26.96%,4.53%
46,Effective Tax Rate,9.09%,19.94%,19.54%,-,0.41%,0.45%,0.23%,-,0.32%,8.74%,0.83%,30.67%,0.58%,0.47%,0.40%,0.70%,0.10%,-,-
47,Revenue as Reported,168.13,-,47.36,83.72,156.19,-,44.03,67.07,46.98,44.05,38.83,66.55,41.04,44.66,37.29,58.64,43.66,92.12,-
