,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2781,2632,2105,2753,3072,2928,3278,3273,2590,2562,2925,3806,5174,4162,5196,-,-,-,-,-
1,Market Cap Growth,-10.12%,-10.12%,-35.80%,-15.89%,18.61%,14.28%,12.09%,-14.00%,-49.94%,-38.44%,-43.71%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2562,2137,1546,2185,2504,2355,2665,2721,2038,2024,2363,3286,4654,3608,4833,-,-,-,-,-
3,Last Close Price,16.04,15.18,12.14,15.67,17.48,16.67,18.66,18.48,14.63,14.47,16.52,21.29,28.94,23.28,29.06,-,-,-,-,-
4,PE Ratio,122.94,114.82,83.06,101.66,98.07,99.55,102.24,106.92,92.00,35.03,40.32,47.35,62.64,69.99,86.93,-,-,-,-,-
5,PS Ratio,11.19,10.45,8.55,11.32,12.81,13.12,15.43,16.19,13.15,13.05,15.36,19.92,27.30,22.92,28.20,-,-,-,-,-
6,PB Ratio,3.51,3.32,2.67,3.38,3.78,3.66,4.14,4.02,3.20,3.21,3.71,4.69,6.41,5.54,7.00,-,-,-,-,-
7,P/TBV Ratio,3.37,3.37,2.72,3.45,3.87,3.75,4.25,4.14,3.31,3.32,3.85,4.88,6.68,5.67,7.18,-,-,-,-,-
8,P/FCF Ratio,237.96,225.20,309.08,-,95.31,90.51,82.74,-,75.74,42.55,122.16,-,450.11,-,-,-,-,-,-,-
9,P/OCF Ratio,64.66,64.66,60.92,-,66.19,72.45,75.69,-,69.56,38.71,99.40,-,286.60,-,-,-,-,-,-,-
10,EV/Sales Ratio,10.17,8.49,6.28,8.98,10.44,10.55,12.55,13.46,10.35,10.30,12.41,17.20,24.55,19.87,26.23,-,-,-,-,-
11,EV/EBITDA Ratio,163.60,166.63,95.08,132.41,116.64,86.14,103.26,110.97,90.57,106.89,118.52,126.20,167.17,101.31,132.39,-,-,-,-,-
12,EV/EBIT Ratio,729.68,449.85,219.11,-,248.69,158.95,189.67,213.61,177.44,233.08,-,193.18,245.17,134.00,165.53,-,-,-,-,-
13,EV/FCF Ratio,219.24,182.90,226.97,-,77.68,72.80,67.26,-,59.59,33.61,98.70,-,404.86,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.31,0.31,0.02,0.03,0.03,0.03,0.01,0.00,0.01,0.01,0.01,0.01,0.02,-,-,-,-,-,-,-
15,Debt / EBITDA Ratio,15.88,14.20,0.59,4.94,0.51,0.70,0.31,0.15,0.11,0.32,0.38,0.59,0.28,-,-,-,-,-,-,-
16,Debt / FCF Ratio,21.28,21.28,2.83,-,0.73,0.68,0.21,-,0.19,0.13,0.36,-,1.15,-,-,-,-,-,-,-
17,Asset Turnover,0.25,0.25,0.20,0.36,0.26,0.24,0.19,0.30,0.21,0.20,0.17,0.30,0.20,0.24,0.23,-,-,-,-,
18,Inventory Turnover,-,-,221.01,111.84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,Quick Ratio,3.14,3.14,5.29,6.11,4.76,7.19,7.33,7.46,6.32,7.38,7.62,8.01,5.25,9.03,8.59,5.70,5.30,-,-,-
20,Current Ratio,3.19,3.19,5.33,6.17,4.80,7.28,7.37,7.52,6.36,7.47,7.67,8.10,5.29,9.25,8.75,6.01,5.51,-,-,-
21,Return on Equity (ROE),2.40%,1.86%,1.00%,6.25%,3.62%,2.72%,3.09%,5.33%,4.94%,2.04%,1.86%,28.64%,4.89%,7.37%,4.38%,-,-,-,-,
22,Return on Assets (ROA),0.57%,0.48%,-0.24%,0.41%,1.30%,0.26%,0.80%,1.74%,1.11%,-0.10%,0.45%,0.98%,1.52%,2.24%,1.37%,-,-,-,-,
23,Return on Capital (ROIC),0.64%,0.54%,-0.27%,0.46%,1.44%,0.29%,0.89%,1.94%,1.22%,-0.11%,0.51%,1.11%,1.70%,2.63%,1.67%,-,-,-,-,
24,Return on Capital Employed (ROCE),0.30%,0.49%,0.88%,-,1.22%,1.81%,1.77%,1.56%,1.42%,1.08%,-,2.08%,2.33%,3.55%,3.75%,6.33%,6.06%,-,-,-
25,Earnings Yield,0.82%,0.87%,1.20%,0.98%,1.02%,1.00%,0.98%,0.94%,1.09%,2.86%,2.48%,2.11%,1.60%,1.43%,1.15%,-,-,-,-,-
