,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,3163,2989,2488,2650,3293,3204,3104,2708,2536,2881,3568,3811,2769,2805,-,-,-,-,-,-
1,Market Cap Growth,-6.70%,-6.70%,-19.85%,-2.15%,29.84%,11.20%,-12.99%,-28.94%,-8.42%,2.72%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2768,2598,2064,2236,2880,2780,2664,2322,2151,2496,3139,3490,2449,2646,-,-,-,-,-,-
3,Last Close Price,18.43,17.42,14.50,15.44,19.19,18.67,18.09,15.78,14.78,16.79,20.79,21.94,15.94,16.15,-,-,-,-,-,-
4,PE Ratio,102.38,-,202.98,-,-111.01,-,-861.88,-,-86.54,-,92.92,-,26.09,-,-,-,-,-,-,-
5,PS Ratio,3.45,3.26,2.84,3.40,4.28,4.63,3.70,2.91,2.72,3.18,4.40,4.68,2.96,2.83,-,-,-,-,-,-
6,PB Ratio,3.78,3.56,2.80,3.19,3.90,3.96,3.54,3.16,2.91,3.31,4.07,4.26,2.94,3.21,-,-,-,-,-,-
7,P/TBV Ratio,3.86,3.86,3.03,3.47,4.25,4.38,3.83,3.42,3.15,3.58,4.40,4.61,3.17,3.49,-,-,-,-,-,-
8,P/FCF Ratio,309.17,-,-,-,174.25,-,-,-,262.59,28.97,-,-,-516.93,-,-,-,-,-,-,-
9,P/OCF Ratio,48.66,48.66,-,-,51.17,-,-,-,24.79,18.30,-,-,32.48,23.65,-,-,-,-,-,-
10,EV/Sales Ratio,3.02,2.84,2.35,2.87,3.74,4.01,3.17,2.50,2.31,2.76,3.88,4.28,2.62,2.67,-,-,-,-,-,-
11,EV/EBITDA Ratio,-,-,70.99,-,-142.31,-,131.87,-,-,19.29,47.73,-,15.96,16.84,-,-,-,-,-,-
12,EV/EBIT Ratio,-,-,-789.77,-,-,-,-87.92,-,-,35.33,313.31,-,24.45,24.78,-,-,-,-,-,-
13,EV/FCF Ratio,270.56,-,-,-,152.37,-,-,-,222.67,25.10,-,-,-457.07,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.02,0.04,0.02,0.03,0.02,0.04,0.02,0.03,-,-,-,-,-
15,Debt / EBITDA Ratio,0.89,-,0.03,-,0.22,-,0.14,-,-,0.05,0.20,-,0.15,0.14,0.07,-,-,-,-,-
