,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,150.89,235.09,389.49,473.11,429.16,455.22,461.45,592.92,404.58,413.41,442.6,555.28,337.52,177.45,-,400.78,-,206.56,206.56
1,Trading Asset Securities,252.25,170.8,50.24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,403.14,405.9,439.73,473.11,429.16,455.22,461.45,592.92,404.58,413.41,442.6,555.28,337.52,177.45,400.78,400.78,-,206.56,206.56
3,Cash Growth,-6.06%,-10.83%,-4.71%,-20.21%,6.08%,10.11%,4.26%,6.78%,19.87%,132.97%,10.43%,38.55%,-,-14.09%,94.02%,-,-,-,-
4,Accounts Receivable,929.64,979.82,861.39,915.21,888.94,910.81,863.39,897.5,914.01,909.78,824.25,840.81,887.66,891.42,-,745.03,-,705.69,705.69
5,Other Receivables,32.28,-,19.43,9.01,19.26,7.81,33.27,7.54,26.13,22.14,21.51,8.08,24.97,18.8,-,18.14,-,5.33,5.33
6,Receivables,961.92,979.82,880.81,925.02,908.2,923.5,896.66,905.62,940.14,931.93,845.75,850.02,912.63,910.22,-,763.17,-,711.02,711.02
7,Inventory,-,-,31.33,21.65,-,-,-,-,7.32,54.33,46.15,38.5,6.62,6.62,-,6.62,-,6.62,6.62
8,Prepaid Expenses,-,0.11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,Other Current Assets,6.43,29.48,9.84,12.48,3.51,9.73,6.08,14.36,14.8,18.58,16.84,25.68,39.08,25.06,-,18.47,-,30.12,30.12
10,Total Current Assets,1371,1415,1362,1432,1341,1388,1364,1513,1367,1418,1351,1469,1296,1119,-,1189,-,954.32,954.32
11,"Property, Plant & Equipment",233.55,216.51,217.85,220.95,165.49,165.57,155.15,153.11,141.5,141.61,152.98,159.76,129,130.93,-,135.77,-,98.2,98.2
12,Long-Term Investments,31.36,30.72,27.74,32.53,30.43,27.76,25.99,27.58,26.46,23.32,21.93,20.36,18.76,16.76,-,15.84,-,12.89,12.89
