,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,191.66,240.8,108.94,303.49,120.55,173.72,99.76,227.68,288.92,241.86,102.44,197.48,181.53,258.99,222.17,232.18,172.54,181.84,181.84
1,Other Revenue,-43.28,43.28,-,71.53,-12.14,12.14,-,70.81,-33.31,33.31,-,74.66,-21.19,21.19,-,95.19,-30.26,15.13,15.13
2,Revenue,148.39,284.08,108.94,375.02,108.41,185.86,99.76,298.49,255.61,275.17,102.44,272.13,160.33,280.18,222.17,327.37,142.28,196.97,196.97
3,Revenue Growth (YoY),36.88%,52.85%,9.21%,25.64%,-57.59%,-32.46%,-2.63%,9.69%,59.42%,-1.79%,-53.89%,-16.87%,12.69%,42.25%,12.80%,-,-,-,-
4,Cost of Revenue,136.87,176.57,111.4,200.38,111.44,126.1,118.68,193.33,181.09,170.28,123.39,125.64,135.29,163.14,184.37,216.13,94.76,130.35,130.35
5,Gross Profit,11.52,107.51,-2.46,174.64,-3.04,59.77,-18.92,105.16,74.52,104.89,-20.94,146.49,25.04,117.04,37.8,111.25,47.52,66.62,66.62
6,"Selling, General & Admin",28.9,31.07,26.3,38.27,26.27,28.29,27.44,35.2,31.23,33.64,27.05,38.11,31.42,30.18,27.01,36.05,25.33,28.72,28.72
7,Research & Development,10.51,8.96,10.28,6.4,10.49,13.35,8.32,8.26,9.59,9.42,9.66,9.73,8.99,10.6,10.71,14.08,9.28,8.29,8.29
8,Other Operating Expenses,0.43,0.88,-0.03,0.7,-0.82,0.19,-11.36,3.85,-1.34,-1.78,-1.32,8.06,-2.47,-3.43,-0.91,3.06,2.69,-0.74,-0.74
9,Operating Expenses,67.99,16.2,35.92,174.83,52.32,21.62,26.46,207.57,-4.82,88.93,36.13,114.05,6.35,68.64,37.19,72.17,32.94,45.43,45.43
10,Operating Income,-56.47,91.31,-38.38,-0.19,-55.36,38.15,-45.38,-102.41,79.35,15.96,-57.08,32.44,18.7,48.4,0.62,39.08,14.58,21.19,21.19
11,Interest Expense,-0.42,-0.18,-0.2,-0.33,-0.31,-0.3,-0.37,-0.36,-0.35,-0.61,-0.1,-1.27,-0.03,-0.28,-0.28,-,-,-,-
12,Interest & Investment Income,0.14,0.76,1.75,6.72,4.69,1.75,1.77,7.02,1.19,1.55,1.59,7.85,0.27,1.16,-,4.45,0.19,0.74,0.74
13,Earnings From Equity Investments,0.82,3.27,-4.09,-2.85,-1.28,1.77,-0.5,-4.35,3.14,1.4,-0.18,-3.59,2,1.09,0.49,-1.19,-0.12,0.66,0.66
14,Other Non Operating Income (Expenses),1.75,-1.84,-0.33,0.52,4.29,-4.15,4.21,-5.88,0.4,4.7,-0.06,-0.93,0.03,-0.97,0.67,2.08,-0.13,-1.13,-1.13
15,EBT Excluding Unusual Items,-54.17,93.32,-41.25,3.87,-47.97,37.23,-40.27,-105.99,83.72,23,-55.84,34.51,20.96,49.41,1.5,44.42,14.52,21.45,21.45
16,Gain (Loss) on Sale of Investments,1.49,0.8,0.24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-1.08,-,-,-0,-0,0.01,-,-,0.02,-0.04,-,-,-0.02,-0.07,-0.01,0.01,-0.09,-,-
18,Asset Writedown,-5.93,-28.09,27.06,28.44,-28.52,-25.61,25.6,94.21,-94.26,1.91,-1.91,29.21,-29.21,-0.94,0.94,-,-,-,-
19,Legal Settlements,-,-,-,-,-,-,-,5.17,-,-,-,-,-,-,-,-,-,-,-
20,Other Unusual Items,0.64,-0.06,-,1.94,-5.01,5.01,-,3.88,-,-,-,12.29,0.01,-0.01,-,3.48,-,-,-
21,Pretax Income,-59.05,65.97,-13.95,34.25,-81.5,16.63,-14.67,-2.73,-10.51,24.87,-57.74,76.01,-8.27,48.4,2.42,47.9,14.44,21.45,21.45
22,Income Tax Expense,-9.97,7.72,-0.7,-0.75,-13.6,-0.01,-1.31,-3.08,-3.2,-1.39,-9.15,8.89,-1.89,5.15,0.27,5.04,0.63,3.06,3.06
23,Earnings From Continuing Operations,-49.08,58.25,-13.25,34.99,-67.9,16.64,-13.36,0.34,-7.31,26.25,-48.6,67.12,-6.38,43.25,2.15,42.86,13.81,18.4,18.4
24,Minority Interest in Earnings,-0.12,0.11,0.17,-0.22,0.1,0.08,-,0,-,-,-,-,-,-,-,-,-,-,-
25,Net Income,-49.2,58.37,-13.08,34.77,-67.8,16.73,-13.36,0.34,-7.31,26.25,-48.6,67.12,-6.38,43.25,2.15,42.86,13.81,18.4,18.4
26,Net Income to Common,-49.2,58.37,-13.08,34.77,-67.8,16.73,-13.36,0.34,-7.31,26.25,-48.6,67.12,-6.38,43.25,2.15,42.86,13.81,18.4,18.4
27,Net Income Growth,-,248.97%,-,10009.44%,-,-36.29%,-,-99.49%,-,-39.30%,-,56.60%,-,135.07%,-88.30%,-,-,-,-
28,Shares Outstanding (Basic),171,172,172,171,172,172,172,172,172,172,172,186,143,128,129,131,129,129,129
29,Shares Outstanding (Diluted),171,172,172,171,172,172,172,172,172,172,172,186,143,128,129,131,129,129,129
30,Shares Change (YoY),-0.29%,-0.08%,0.07%,-0.05%,-0.00%,0.05%,-0.04%,-7.73%,20.01%,33.59%,33.10%,42.05%,11.11%,-0.19%,0.17%,-,-,-,-
31,EPS (Basic),-0.29,0.34,-0.08,0.20,-0.40,0.10,-0.08,0.00,-0.04,0.15,-0.28,0.36,-0.04,0.34,0.02,0.33,0.11,0.14,0.14
32,EPS (Diluted),-0.29,0.34,-0.08,0.20,-0.40,0.10,-0.08,0.00,-0.04,0.15,-0.28,0.36,-0.04,0.34,0.02,0.33,0.11,0.14,0.14
33,EPS Growth,-,249.25%,-,10017.12%,-,-36.33%,-,-99.44%,-,-54.56%,-,10.25%,-,135.52%,-88.32%,-,-,-,-
34,Free Cash Flow,-2.85,-27.52,-45.68,86.28,-41.06,-7.51,-18.81,136.67,26.7,-72.32,-81.39,226.48,-1.4,-35.12,-195.31,214.08,-63.49,-69.84,-69.84
35,Free Cash Flow Per Share,-0.02,-0.16,-0.27,0.50,-0.24,-0.04,-0.11,0.80,0.16,-0.42,-0.47,1.22,-0.01,-0.27,-1.51,1.64,-0.49,-0.54,-0.54
36,Dividend Per Share,-,-,-,-,-,-,-,-,-,-,-,0.248,-,-,-,-,-,-,-
37,Gross Margin,7.76%,37.85%,-2.26%,46.57%,-2.80%,32.16%,-18.97%,35.23%,29.15%,38.12%,-20.44%,53.83%,15.62%,41.77%,17.02%,33.98%,33.40%,33.82%,33.82%
38,Operating Margin,-38.05%,32.14%,-35.23%,-0.05%,-51.07%,20.53%,-45.49%,-34.31%,31.04%,5.80%,-55.72%,11.92%,11.66%,17.27%,0.28%,11.94%,10.25%,10.76%,10.76%
39,Profit Margin,-33.15%,20.55%,-12.01%,9.27%,-62.54%,9.00%,-13.39%,0.12%,-2.86%,9.54%,-47.44%,24.66%,-3.98%,15.44%,0.97%,13.09%,9.70%,9.34%,9.34%
40,Free Cash Flow Margin,-1.92%,-9.69%,-41.93%,23.01%,-37.87%,-4.04%,-18.86%,45.79%,10.44%,-26.28%,-79.45%,83.22%,-0.87%,-12.54%,-87.91%,65.39%,-44.63%,-35.46%,-35.46%
41,EBITDA,-49.69,95.71,-31.6,6.59,-41.62,46.44,-31.65,-88.67,94.07,30.5,-42.35,47.17,30.45,63.47,12.37,50.83,24.84,31.45,31.45
42,EBITDA Margin,-33.49%,33.69%,-29.01%,1.76%,-38.40%,24.99%,-31.72%,-29.71%,36.80%,11.09%,-41.34%,17.33%,18.99%,22.65%,5.57%,15.53%,17.46%,15.97%,15.97%
43,D&A For EBITDA,6.78,4.39,6.78,6.78,13.74,8.3,13.74,13.74,14.73,14.54,14.73,14.73,11.75,15.07,11.75,11.75,10.26,10.26,10.26
44,EBIT,-56.47,91.31,-38.38,-0.19,-55.36,38.15,-45.38,-102.41,79.35,15.96,-57.08,32.44,18.7,48.4,0.62,39.08,14.58,21.19,21.19
45,EBIT Margin,-38.05%,32.14%,-35.23%,-0.05%,-51.07%,20.53%,-45.49%,-34.31%,31.04%,5.80%,-55.72%,11.92%,11.66%,17.27%,0.28%,11.94%,10.25%,10.76%,10.76%
46,Effective Tax Rate,-,11.70%,-,-,-,-,-,-,-,-,-,11.70%,-,10.63%,11.11%,10.53%,4.36%,14.24%,14.24%
47,Revenue as Reported,148.39,284.08,108.94,375.02,108.41,185.86,99.76,298.49,255.61,275.17,102.44,272.13,160.33,280.18,222.17,327.37,142.28,196.97,196.97
