,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2166,2327,2088,2820,2653,2642,2632,2558,2154,2392,3365,3078,3997,2166,-,-,-,-,-,-
1,Market Cap Growth,-11.91%,-11.91%,-20.64%,10.23%,23.17%,10.45%,-21.79%,-16.89%,-46.12%,10.43%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2177,2303,2014,2702,2535,2528,2520,2407,2002,2203,3198,2811,3730,2012,-,-,-,-,-,-
3,Last Close Price,20.77,22.30,19.82,26.76,25.18,25.08,24.98,24.28,20.44,22.70,31.89,29.17,37.88,20.53,-,-,-,-,-,-
4,PE Ratio,3650.82,-,-,155.23,114.05,69.69,73.79,75.13,60.16,114.83,99.77,75.84,86.02,36.02,-,-,-,-,-,-
5,PS Ratio,2.98,3.16,2.83,3.86,3.66,3.63,3.59,3.68,3.11,3.65,5.52,4.99,6.42,3.40,-,-,-,-,-,-
6,PB Ratio,2.70,2.86,2.54,3.35,3.15,3.16,3.17,3.09,2.62,3.03,4.29,3.91,5.14,2.81,-,-,-,-,-,-
7,P/TBV Ratio,3.21,3.21,2.84,3.74,3.53,3.55,3.57,3.49,2.93,3.32,4.69,4.29,5.64,3.06,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-,-82.06,-,-56.99,-,-,-37.82,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-,46.73,36.47,25.19,36.26,25.86,33.77,-,256.72,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,2.96,3.13,2.73,3.70,3.50,3.47,3.44,3.46,2.89,3.36,5.24,4.56,5.99,3.16,-,-,-,-,-,-
11,EV/EBITDA Ratio,70.21,69.82,47.14,58.27,48.04,51.22,56.35,55.23,49.86,54.94,66.62,48.92,56.90,23.96,-,-,-,-,-,-
12,EV/EBIT Ratio,-,-2100.77,-,177.71,115.58,134.05,-,171.24,-,180.08,-,89.18,-,33.75,-,-,-,-,-,-
13,EV/FCF Ratio,-22.59,-,-,-,-,-78.51,-,-53.61,-,-,-35.94,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.16,0.16,0.08,0.03,0.02,0.01,0.01,0.00,0.04,0.04,0.04,0.04,0.04,0.04,-,0.06,0.06,0.06,0.06,0.06
15,Debt / EBITDA Ratio,4.32,4.02,3.85,0.52,0.45,0.14,0.17,0.01,1.31,0.53,1.02,0.48,1.38,0.37,-,0.35,0.36,0.39,0.58,0.58
16,Debt / FCF Ratio,-,-,-,-,-,-0.32,-,-0.02,-,-,-0.32,-,-,-,-,-,-,-,11.72,23.43
17,Asset Turnover,0.65,0.61,0.57,0.63,0.72,0.64,0.58,0.69,0.81,0.57,0.66,0.62,-,-,-,-,0.84,0.67,-,
18,Inventory Turnover,3.94,4.13,4.08,3.75,4.27,4.44,4.07,3.38,3.90,3.89,2.74,3.18,3.43,-,-,-,-,4.44,3.77,-
19,Quick Ratio,0.87,0.87,0.88,1.01,1.10,1.28,1.36,1.30,1.32,1.84,2.13,2.29,2.27,2.24,-,-,2.25,2.25,3.10,3.10
20,Current Ratio,1.29,1.29,1.35,1.52,1.57,1.84,1.94,1.97,1.88,2.58,3.14,3.36,3.22,3.12,-,-,3.02,3.02,3.95,3.95
21,Return on Equity (ROE),-4.32%,-1.33%,0.37%,2.17%,2.64%,1.52%,3.32%,10.06%,2.17%,1.40%,4.64%,2.82%,-,-,10.38%,-,10.89%,8.11%,-,
22,Return on Assets (ROA),0.09%,-1.31%,0.92%,0.07%,2.36%,-0.00%,2.48%,-0.63%,1.65%,-0.26%,2.19%,-0.50%,-,-,-,-,5.38%,4.36%,-,
23,Return on Capital (ROIC),0.12%,-1.77%,1.26%,0.10%,3.12%,-0.00%,3.30%,-0.82%,2.05%,-0.31%,2.62%,-0.61%,-,-,7.07%,-,6.65%,5.01%,-,
24,Return on Capital Employed (ROCE),-,-0.13%,-,1.80%,2.60%,2.25%,-,1.69%,-,1.55%,-,4.00%,-,7.71%,-,-,9.54%,6.61%,4.20%,2.10%
25,Earnings Yield,0.03%,0.03%,0.62%,0.64%,0.88%,1.43%,1.36%,1.33%,1.66%,0.87%,1.00%,1.32%,1.16%,2.78%,-,-,-,-,-,-
26,FCF Yield,-4.45%,-4.14%,-3.81%,-1.39%,-0.53%,-1.22%,-2.86%,-1.75%,-3.45%,-3.65%,-2.64%,-3.03%,-2.62%,-3.34%,-,-,-,-,-,-
27,Dividend Yield,0.28%,-,-,-,0.24%,-,-,-,-,-,-,-,0.12%,-,-,-,-,-,-,-
28,Payout Ratio,1122.59%,-,-,4.67%,-,0.74%,-,2.63%,2.18%,1.97%,183.61%,1.23%,2.22%,0.70%,1.28%,0.83%,0.66%,0.81%,1.10%,1.10%
29,Buyback Yield / Dilution,-0.38%,-0.01%,4.19%,-4.21%,-1.60%,-0.02%,3.27%,-3.58%,0.07%,-29.70%,-39.69%,-27.68%,-34.71%,-3.51%,-0.32%,0.35%,-,-,-,-
30,Total Shareholder Return,-0.10%,-0.01%,4.19%,-4.21%,-1.36%,-0.02%,3.27%,-3.58%,0.07%,-29.70%,-39.69%,-27.68%,-34.59%,-3.51%,-0.32%,0.35%,-,-,-,-
