,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,122.3,99.3,114.92,126.37,145.86,139.29,132.62,161.45,188.97,225.07,204.49,235.4,305.81,-,-,193.81,193.81,101.51,101.51
1,Trading Asset Securities,12,5,-,5,-,-,-,0.69,-,1.15,-,-,-,-,-,-,-,95.21,95.21
2,Cash & Short-Term Investments,134.3,104.3,114.92,131.37,145.86,139.29,132.62,162.14,188.97,226.22,204.49,235.4,305.81,-,193.81,193.81,193.81,196.72,196.72
3,Cash Growth,-7.93%,-25.12%,-13.35%,-18.97%,-22.81%,-38.42%,-35.15%,-31.12%,-38.21%,-,5.51%,21.46%,57.79%,-,-1.48%,-,-,-,-
4,Accounts Receivable,257.32,228.87,229.73,253.41,223.52,220.12,213.43,256.01,284.23,194.46,218.2,209.03,184.19,-,-,199.26,199.26,156.66,156.66
5,Other Receivables,1.48,1.28,1.55,1.26,5.1,1.84,1.77,1.51,1.53,1.41,1.34,1.37,1.07,-,-,0.84,0.84,0.94,0.94
6,Receivables,258.79,230.15,231.28,254.67,228.62,221.95,215.2,257.52,285.76,195.87,219.54,210.4,185.26,-,-,200.1,200.1,157.59,157.59
7,Inventory,173.02,163.92,158.71,147.55,153.12,146.71,159.79,168.73,177.02,186,177.91,166.88,154.74,-,-,119.28,119.28,89.51,89.51
8,Other Current Assets,13.96,12.25,14.72,19.42,11.16,8.69,17.95,12.86,12.88,13.88,19.61,20.75,38.29,-,-,14.84,14.84,8.19,8.19
9,Total Current Assets,580.07,510.61,519.62,553.01,538.76,516.65,525.55,601.25,664.63,621.97,621.56,633.43,684.1,-,-,528.03,528.03,452.01,452.01
10,"Property, Plant & Equipment",545.45,550.75,492.14,493.81,414.92,413.64,390.63,379.65,216.9,218.37,202.89,204.89,178.11,-,-,168.97,168.97,153.23,153.23
11,Long-Term Investments,3,3,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,Goodwill,10.67,10.67,10.67,10.67,10.67,10.67,10.67,10.67,4.49,4.49,4.49,4.49,4.49,-,-,4.49,4.49,4.49,4.49
13,Other Intangible Assets,67.19,61.79,62.53,63.27,63.99,64.01,65.31,54.48,55.05,55.41,56.07,56.8,51.43,-,-,30.77,30.77,31.03,31.03
14,Long-Term Deferred Tax Assets,20.3,19.79,19.96,20.24,21.81,21.39,21.77,21.82,3.8,3.46,3.51,3.51,2.58,-,-,2.58,2.58,2.77,2.77
15,Long-Term Deferred Charges,12.64,13.16,12.01,12.34,9.82,11.41,12.26,13.53,12.41,14.27,15.92,13.67,13.9,-,-,9.63,9.63,9.15,9.15
16,Other Long-Term Assets,23.58,30.14,64.98,38.2,70.53,60.02,69.7,59.77,89.95,65.01,67.52,57.36,58.24,-,-,18.07,18.07,18.49,18.49
17,Total Assets,1263,1200,1185,1195,1131,1098,1096,1141,1047,982.98,971.97,974.15,992.85,-,-,762.54,762.54,671.18,671.18
18,Accounts Payable,284.65,286.38,269.45,292.98,242.78,234.6,233.7,256.51,157.38,135.11,137.28,142.07,168.12,-,-,112.02,112.02,69.52,69.52
