,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,200.18,181.99,169.85,181.48,204.29,172.86,163.24,186.09,208.06,135.94,160.68,146.06,161.29,143.86,166.14,164.99,150.29,112.02,112.02
1,Other Revenue,-0.51,0.51,-,2.02,-2.85,2.85,-,1.83,-2.54,2.54,-,5.18,-1.87,1.87,-,1.28,0.64,0.19,0.19
2,Revenue,199.66,182.5,169.85,183.51,201.43,175.71,163.24,187.92,205.52,138.48,160.68,151.24,159.42,145.72,166.14,166.27,150.93,112.21,112.21
3,Revenue Growth (YoY),-0.88%,3.86%,4.05%,-2.35%,-1.99%,26.89%,1.59%,24.25%,28.91%,-4.97%,-3.29%,-9.04%,5.63%,29.87%,48.06%,-,-,-,-
4,Cost of Revenue,174.14,164.45,143.73,160.56,166.39,155.97,138.97,168.43,176.57,124.8,137.23,137.95,126.87,120.62,129.87,128.8,115.94,84.44,84.44
5,Gross Profit,25.53,18.05,26.11,22.94,35.04,19.74,24.26,19.49,28.95,13.68,23.45,13.29,32.55,25.11,36.27,37.47,34.99,27.77,27.77
6,"Selling, General & Admin",15.72,11.93,13.15,13.34,14.67,10.4,8.95,11.05,11.29,7.54,8.23,4.65,9.88,9.28,10.65,10.04,11.31,10.49,10.49
7,Research & Development,10.59,10.79,9.74,9.13,8.57,8.12,7.55,7.48,8.93,8.52,6.73,6.24,6.62,6.98,7.15,6.58,6.25,5.02,5.02
8,Other Operating Expenses,-0.82,0.34,0.67,-0.43,0.56,0.65,-1.56,4.18,-1.61,0.07,0.16,2.9,0.39,0.86,-0.07,2.84,1.83,0.83,0.83
9,Operating Expenses,25.1,24.28,21.74,22.61,24.53,19.75,13.16,22.24,22.24,14.68,14.95,15.26,17.16,15.52,18.88,20.23,19.56,16.08,16.08
10,Operating Income,0.43,-6.23,4.37,0.33,10.51,-0.01,11.1,-2.74,6.7,-1.01,8.51,-1.97,15.39,9.59,17.39,17.24,15.43,11.69,11.69
11,Interest Expense,-0.66,-0.43,-0.1,-0.05,-0.08,-0.02,-0.13,-0.16,-0.1,-0.08,-0.09,-0.03,-0.2,-0.12,-0.12,-,-0.38,-0.18,-0.18
12,Interest & Investment Income,0.32,0.14,0.25,1.72,0.22,0.25,0.26,0.35,0.46,0.29,0.7,0.26,0.67,0.35,0.09,1.63,1.21,0.51,0.51
13,Currency Exchange Gain (Loss),-0.49,0.49,-,0.92,-2.26,2.26,-,0.29,0.98,-0.98,-,1.12,-0.39,0.39,-,-0.54,-0.27,0.15,0.15
14,Other Non Operating Income (Expenses),-0.06,-0.09,0.02,-1.56,1.49,-1.12,0.86,-4.85,0.52,2.23,1.1,-6.25,5.77,-0.24,0.25,-0.15,-0.44,-0.21,-0.21
15,EBT Excluding Unusual Items,-0.46,-6.13,4.54,1.36,9.88,1.36,12.08,-7.12,8.56,0.45,10.21,-6.87,21.24,9.97,17.61,18.18,15.55,11.97,11.97
16,Gain (Loss) on Sale of Investments,-,-0.15,-0.17,0.09,0.21,-1.06,-1.03,0.21,-1.64,1.36,-,-,-,-,0.24,-1,-0.31,0.31,0.31
17,Gain (Loss) on Sale of Assets,0,-0.27,-0.11,-0.86,0.05,-0.78,0,-1.1,0.04,-,0.11,0.05,-0,-0.13,-,0,0,-0.04,-0.04
18,Asset Writedown,-7.67,3.73,-3.84,4.32,-4.32,3.76,-3.76,2.83,-2.78,0.76,-0.82,2.47,-2.72,1.01,-1.1,1.65,0.79,-,-
19,Other Unusual Items,-0.82,0.12,0.7,0.47,-0.16,0.16,-,7.01,-,-,-,9.84,-,-,-,2.26,1.13,0.9,0.9
20,Pretax Income,-8.95,-2.69,1.12,5.37,5.66,3.45,7.3,1.83,4.18,2.57,9.51,5.49,18.51,10.84,16.75,21.1,17.16,13.13,13.13
21,Income Tax Expense,-0.11,0.07,0.34,0.83,0.15,0.29,0.44,-18.43,-0.09,-0.19,0.44,0.03,1.35,1.05,1.64,2.02,1.73,1.96,1.96
22,Earnings From Continuing Operations,-8.83,-2.76,0.78,4.55,5.51,3.16,6.85,20.26,4.27,2.76,9.08,5.47,17.17,9.79,15.11,19.08,15.43,11.18,11.18
23,Minority Interest in Earnings,2.74,1.77,1.38,0.97,0.74,1.07,0.4,-0.09,-0.27,-0.14,-0.07,-0.26,-0.26,-0.31,-0.23,-0.21,-0.18,-0.17,-0.17
24,Net Income,-6.09,-0.99,2.16,5.52,6.25,4.23,7.25,20.17,4,2.62,9,5.2,16.9,9.48,14.88,18.87,15.25,11.01,11.01
25,Net Income to Common,-6.09,-0.99,2.16,5.52,6.25,4.23,7.25,20.17,4,2.62,9,5.2,16.9,9.48,14.88,18.87,15.25,11.01,11.01
26,Net Income Growth,-,-,-70.23%,-72.64%,56.16%,61.48%,-19.43%,287.67%,-76.30%,-72.36%,-39.52%,-72.43%,10.83%,-13.84%,35.23%,-,-,-,-
27,Shares Outstanding (Basic),105,102,108,108,105,107,104,106,105,110,100,106,81,79,78,79,78,79,79
28,Shares Outstanding (Diluted),105,102,108,108,105,107,104,106,105,110,100,106,81,79,78,79,78,79,79
29,Shares Change (YoY),0.01%,-4.19%,4.21%,1.60%,0.02%,-3.27%,3.58%,-0.07%,29.70%,39.69%,27.68%,34.71%,3.51%,0.32%,-0.35%,-,-,-,-
30,EPS (Basic),-0.06,-0.01,0.02,0.05,0.06,0.04,0.07,0.19,0.04,0.02,0.09,0.05,0.21,0.12,0.19,0.24,0.20,0.14,0.14
31,EPS (Diluted),-0.06,-0.01,0.02,0.05,0.06,0.04,0.07,0.19,0.04,0.02,0.09,0.05,0.21,0.12,0.19,0.24,0.20,0.14,0.14
32,EPS Growth,-,-,-71.43%,-73.08%,56.12%,66.95%,-22.22%,287.94%,-81.73%,-80.21%,-52.63%,-79.53%,7.07%,-14.12%,35.71%,-,-,-,-
