,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Oct '24 Oct 31, 2024","Apr '24 Apr 30, 2024","Oct '23 Oct 31, 2023","Apr '23 Apr 30, 2023","Oct '22 Oct 31, 2022","Apr '22 Apr 30, 2022","Oct '21 Oct 31, 2021","Apr '21 Apr 30, 2021","Oct '20 Oct 31, 2020","Apr '20 Apr 30, 2020",+2 Quarters
0,Market Capitalization,38,58,32,53,71,59,76,112,98,114,73,Upgrade
1,Market Cap Growth,9.09%,9.09%,-55.06%,-10.81%,-6.32%,-47.14%,-22.76%,-1.41%,35.16%,-15.98%,-74.37%,Upgrade
2,Enterprise Value,19,39,-90,-27,-20,14,115,144,126,144,100,Upgrade
3,Last Close Price,0.05,0.07,0.04,0.07,0.09,0.07,0.10,0.14,0.12,0.14,0.09,Upgrade
4,PE Ratio,6.71,10.28,24.98,-,-,159.57,-,-,-,-,-,Upgrade
5,PS Ratio,0.40,0.61,0.45,2.36,-,0.96,1.01,1.30,1.18,1.62,0.77,Upgrade
6,PB Ratio,2.14,3.28,2.08,4.45,4.22,2.79,3.52,4.29,3.43,4.12,2.69,Upgrade
7,P/TBV Ratio,3.28,3.28,2.08,4.45,4.22,2.79,3.52,5.07,3.98,4.81,3.16,Upgrade
8,P/FCF Ratio,-,-,-,1.07,-,0.50,1.29,-,-,34.02,18.83,Upgrade
9,P/OCF Ratio,-,-0.56,-,1.06,-,0.50,1.29,-,-,33.39,17.72,Upgrade
10,EV/Sales Ratio,0.20,0.41,-,-,-,0.22,1.53,1.67,1.51,2.05,1.06,Upgrade
11,EV/EBITDA Ratio,2.55,5.85,-,-,-,7.42,-,-,54.62,-,-,Upgrade
12,EV/EBIT Ratio,2.84,5.93,-,-,-,6.50,-,-,-108.30,-,-,Upgrade
13,EV/FCF Ratio,-0.18,-,-,-,-,0.12,1.95,-,-,43.25,25.81,Upgrade
14,Debt / Equity Ratio,2.62,2.62,3.06,4.01,2.74,1.93,1.89,1.73,1.57,1.71,2.04,Upgrade
15,Debt / FCF Ratio,-,-,-,0.97,-,0.35,0.69,-,-,14.10,14.25,Upgrade
16,Return on Capital Employed (ROCE),37.27%,37.27%,15.26%,-,-,9.96%,-,-,-3.79%,-,-,Upgrade
17,Earnings Yield,14.90%,9.73%,4.00%,-5.06%,-,0.63%,-8.48%,-2.90%,-0.78%,-41.66%,-81.05%,Upgrade
18,FCF Yield,-275.02%,-179.53%,-168.83%,93.04%,-,199.23%,77.66%,-7.79%,-1.63%,2.94%,5.31%,Upgrade
