,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,5099,3611,3466,4111,4511,5814,6625,6818,6227,5676,4356,4656,4080,3672,3787,4327,-,-,-,-,-
1,Market Cap Growth,-37.90%,-37.90%,-47.68%,-39.70%,-27.55%,2.44%,52.09%,46.43%,52.62%,54.58%,15.02%,7.60%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4583,3055,2903,3553,3953,5210,5922,6134,5641,4959,3639,3493,2917,2509,2556,3993,-,-,-,-,-
3,Last Close Price,21.14,14.97,14.37,16.61,18.23,23.50,26.77,27.19,24.84,22.76,17.46,18.31,16.05,14.44,14.90,16.68,-,-,-,-,-
4,PE Ratio,26.14,18.69,16.33,16.68,17.95,21.39,23.40,25.53,25.13,26.65,23.97,28.36,25.41,20.57,22.07,25.51,-,-,-,-,-
5,PS Ratio,4.45,3.18,2.95,3.37,3.72,4.72,5.36,5.81,5.56,5.53,4.67,5.40,5.11,4.65,5.14,6.15,-,-,-,-,-
6,PB Ratio,2.23,1.58,1.54,1.80,2.01,2.64,3.10,3.21,3.01,2.83,-,2.42,2.16,1.99,2.11,2.36,-,-,-,-,-
7,P/TBV Ratio,1.72,1.72,1.68,1.96,2.19,2.88,3.40,3.52,3.32,3.18,-,2.60,2.33,2.04,2.16,2.41,-,-,-,-,-
8,P/FCF Ratio,104.23,-,76.16,-,-358.45,-,-,-459.13,-142.61,-,-,-,-,-,-,38.96,-,-,-,-,-
9,P/OCF Ratio,11.49,11.49,10.87,15.46,13.87,21.21,28.28,27.67,32.98,32.24,22.33,23.76,21.31,23.94,33.45,26.46,-,-,-,-,-
10,EV/Sales Ratio,4.04,2.69,2.47,2.91,3.26,4.23,4.79,5.23,5.03,4.83,3.90,4.05,3.65,3.18,3.47,5.67,-,-,-,-,-
11,EV/EBITDA Ratio,15.20,10.03,8.86,9.92,10.86,14.20,16.16,17.81,17.86,17.99,15.45,16.57,14.77,10.90,10.95,16.70,-,-,-,-,-
12,EV/EBIT Ratio,21.09,13.49,11.54,12.58,13.62,17.64,19.72,22.14,22.21,22.61,20.21,21.15,19.10,13.46,13.47,20.41,-,-,-,-,-
13,EV/FCF Ratio,93.69,-,63.79,-,-314.09,-,-,-413.09,-129.20,-,-,-,-,-,-,35.95,-,-,-,-,-
14,Debt / Equity Ratio,0.08,0.08,0.08,0.07,0.04,0.00,0.03,0.10,0.12,0.13,-,0.08,0.08,-,-,0.01,0.02,-,-,0.00,0.00
15,Debt / EBITDA Ratio,0.63,0.61,0.63,0.47,0.30,0.02,0.15,0.62,0.80,0.64,-,0.66,0.97,-,-,0.12,0.07,-,-,0.01,0.01
16,Debt / FCF Ratio,3.91,-,3.96,-,-7.15,-,-,-14.15,-5.76,-,-,-,-,-,-,0.18,0.19,-,-,0.02,0.02
17,Asset Turnover,0.40,0.42,0.43,0.44,0.50,0.51,0.43,0.47,-,-,0.40,0.39,0.45,0.41,0.43,-,-,-,-,-,
18,Inventory Turnover,3.25,3.09,3.58,3.64,3.41,3.23,3.61,3.29,3.96,-,-,3.51,4.39,4.75,4.15,3.88,-,-,-,-,-
19,Quick Ratio,2.62,2.62,2.49,2.82,3.01,3.75,3.18,2.76,2.67,2.78,-,4.56,4.22,10.31,11.65,11.89,5.30,-,-,-,4.34
20,Current Ratio,3.15,3.15,2.97,3.45,3.61,4.65,3.88,3.26,3.09,3.23,-,5.32,4.84,11.19,12.70,12.86,6.26,-,-,-,5.53
21,Return on Equity (ROE),8.52%,8.15%,9.15%,8.33%,12.39%,14.96%,10.70%,13.11%,-,-,7.77%,6.92%,10.46%,10.27%,9.76%,-,-,-,16.15%,-,
22,Return on Assets (ROA),5.37%,4.67%,5.51%,5.39%,8.36%,7.94%,6.39%,5.92%,-,-,4.88%,3.09%,6.32%,5.56%,5.17%,-,-,-,-,-,
23,Return on Capital (ROIC),6.06%,5.29%,6.25%,6.15%,9.58%,9.07%,7.23%,6.67%,-,-,5.40%,3.42%,6.92%,6.02%,5.68%,-,-,-,10.89%,-,
24,Return on Capital Employed (ROCE),9.26%,9.65%,10.92%,12.08%,12.58%,13.10%,13.74%,12.74%,11.98%,10.66%,-,8.18%,7.70%,9.91%,10.36%,10.48%,20.37%,-,-,-,5.50%
25,Earnings Yield,3.79%,5.35%,6.12%,6.00%,5.57%,4.68%,4.27%,3.92%,3.98%,3.75%,4.17%,3.53%,3.94%,4.86%,4.53%,3.92%,-,-,-,-,-
26,FCF Yield,0.96%,1.35%,1.31%,-1.40%,-0.28%,-0.44%,-0.31%,-0.22%,-0.70%,-1.55%,-1.79%,-0.60%,0.09%,0.71%,1.14%,2.57%,-,-,-,-,-
27,Dividend Yield,1.57%,-,-,-,1.92%,-,-,-,1.37%,-,-,-,2.08%,-,-,-,-,-,-,-,-
28,Payout Ratio,44.66%,49.93%,134.42%,0.55%,0.09%,33.92%,75.74%,3.08%,5.42%,30.22%,89.97%,62.89%,6.32%,-,125.15%,-,0.08%,0.57%,0.02%,0.05%,-
29,Buyback Yield / Dilution,0.75%,-0.39%,1.17%,0.17%,2.04%,-1.46%,2.29%,-1.07%,-3.64%,5.13%,-5.97%,-17.53%,-28.51%,-42.07%,-32.87%,-7.55%,-0.39%,-,-,-,-
30,Total Shareholder Return,2.32%,-0.39%,1.17%,0.17%,3.96%,-1.46%,2.29%,-1.07%,-2.27%,5.13%,-5.97%,-17.53%,-26.43%,-42.07%,-32.87%,-7.55%,-0.39%,-,-,-,-
