,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Operating Revenue,275.57,285.86,289.91,279.54,316.19,331.82,280.29,303.07,318.78,270.51,227.12,210.35,223.65,200.06,164.29,200.85,172.05,166.49,130.65,161.68
1,Other Revenue,-1.93,1.93,-,3.45,-1.27,1.27,-,1.13,-0.38,0.38,-,0.43,-0.1,0.1,-,0.04,-0,0,-,-
2,Revenue,273.64,287.79,289.91,282.99,314.92,333.09,280.29,304.2,318.4,270.89,227.12,210.78,223.56,200.16,164.29,200.89,172.04,166.49,130.65,161.68
3,Revenue Growth (YoY),-13.11%,-13.60%,3.43%,-6.97%,-1.09%,22.96%,23.41%,44.32%,42.43%,35.34%,38.24%,4.92%,29.94%,20.22%,25.75%,24.25%,-,-,-,-
4,Cost of Revenue,166.22,185.92,190.04,190.82,189.32,207.16,175.5,197.51,194.09,175.97,149.34,154.2,143.08,123.08,107.91,109.66,96.1,99.65,76.7,117.22
5,Gross Profit,107.43,101.87,99.87,92.17,125.6,125.92,104.8,106.69,124.31,94.92,77.78,56.58,80.48,77.07,56.38,91.23,75.94,66.84,53.94,44.46
6,"Selling, General & Admin",27.65,28.57,24.7,24.29,23.97,22.14,24.82,24.11,18.35,16.89,17.45,13.86,14.54,15.5,13.81,11.02,11.56,11.37,10.58,-
7,Research & Development,18.69,19.03,15.41,11.13,18.85,17.86,15.23,13.1,13.77,15.51,14.77,13.4,14.8,13.03,11.07,13.73,8.89,9.7,8.4,-
8,Other Operating Expenses,1.89,2.59,1.09,2.2,0.3,1.7,-2.62,9.44,-0.29,0.65,1.19,3.69,0.13,1.93,0.45,4.91,0.29,-4.83,0.6,-
9,Operating Expenses,47.93,50.51,40.25,36.14,41.07,43.71,37.43,45.54,34.66,36.07,33.44,30.07,30.13,33.13,24.49,31.02,22.22,17.07,20,-
10,Operating Income,59.5,51.36,59.62,56.03,84.53,82.21,67.37,61.15,89.65,58.85,44.34,26.51,50.35,43.94,31.89,60.22,53.72,49.78,33.94,44.46
11,Interest Expense,-1.7,-1.14,-0.37,-0.54,-0.21,-1.05,-1.78,-1.67,-2.38,-2.05,-1.22,-1.15,-0.05,-0.1,-0.1,-0.04,-0.25,-0.01,-0.01,-
12,Interest & Investment Income,6.1,4.02,7.06,4.16,1.56,3.28,5.81,1.44,1.65,0.03,2.89,3.62,4.51,3.96,3.86,0.45,1.16,1.28,0.97,-
13,Currency Exchange Gain (Loss),-0.1,0.1,-,-2.74,-2.6,2.6,-,21.44,-10.44,10.44,-,-2.78,1.46,-1.46,-,-11.92,-2.47,2.47,-,-
14,Other Non Operating Income (Expenses),-2.6,0.57,-1.04,0.06,-0.26,4.44,-4.07,-23.59,21.48,2.45,-0.99,0.42,-0.81,0.03,0.41,6.09,-6.3,-1.41,1.19,4.06
15,EBT Excluding Unusual Items,61.2,54.91,65.28,56.97,83.02,91.48,67.32,58.76,99.96,69.71,45.02,26.61,55.46,46.36,36.06,54.79,45.88,52.1,36.08,48.52
16,Impairment of Goodwill,0.15,-0.15,-,-0.32,0.18,-0.18,-,-0.62,0.2,-0.2,-,-0.16,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Investments,-3.9,-3.3,-4.74,-4.47,-3.87,-1.39,-0.3,0.23,0.29,2.01,0.17,3.08,3.29,6.18,-,-,-,-,-,-
18,Gain (Loss) on Sale of Assets,-0.16,-0.05,-0.04,0.12,0.04,0.01,-0.14,-0.37,-2.33,0.06,-1.97,-0.12,-0.04,0,-0,-0.31,1.85,-1.78,-,-
19,Asset Writedown,-3.48,1.16,-1.16,1.88,-2.15,1.77,-1.77,6.37,-6.62,1.76,-1.76,3.29,-3.23,-1.54,1.49,1.56,-1.55,-0.01,-,-
20,Other Unusual Items,0.68,0.91,-0,0.87,-0.22,0.01,-,11.71,-,-,-,5.24,-1.85,1.46,-,1.76,-0,0,-,-
21,Pretax Income,54.49,53.47,59.34,55.04,77,91.7,65.11,76.09,91.49,73.33,41.47,37.94,53.63,52.46,37.54,57.8,46.17,50.31,36.08,48.52
22,Income Tax Expense,6.22,7.32,7.52,8.65,9.76,12.02,9.02,9.33,13.11,9.74,4.49,5.71,6.03,5.9,3.77,7.25,5.45,5.69,4.68,6.23
23,Earnings From Continuing Operations,48.26,46.14,51.82,46.39,67.24,79.68,56.09,66.76,78.38,63.59,36.98,32.24,47.61,46.56,33.77,50.55,40.72,44.62,31.4,42.29
24,Minority Interest in Earnings,0.29,-0.25,0.01,0.46,0.46,0.46,0.55,0.63,0.51,0.51,0.38,0.4,-,-,-,-,-,-,-,-
25,Net Income,48.55,45.89,51.83,46.86,67.7,80.15,56.64,67.39,78.9,64.1,37.36,32.64,47.61,46.56,33.77,50.55,40.72,44.62,31.4,42.29
26,Net Income to Common,48.55,45.89,51.83,46.86,67.7,80.15,56.64,67.39,78.9,64.1,37.36,32.64,47.61,46.56,33.77,50.55,40.72,44.62,31.4,42.29
27,Net Income Growth,-28.28%,-42.74%,-8.49%,-30.47%,-14.19%,25.02%,51.60%,106.44%,65.72%,37.67%,10.62%,-35.42%,16.92%,4.35%,7.55%,19.52%,-,-,-,-
28,Shares Outstanding (Basic),243,241,236,236,242,244,236,241,238,250,233,232,251,236,199,181,177,177,185,180
29,Shares Outstanding (Diluted),243,241,236,236,242,244,236,241,238,250,233,232,251,236,199,181,177,177,185,180
30,Shares Change (YoY),0.39%,-1.17%,-0.17%,-2.04%,1.46%,-2.29%,1.07%,3.64%,-5.13%,5.97%,17.53%,28.51%,42.07%,32.87%,7.55%,0.39%,-,-,-,-
31,EPS (Basic),0.20,0.19,0.22,0.20,0.28,0.33,0.24,0.28,0.33,0.26,0.16,0.14,0.19,0.20,0.17,0.28,0.23,0.25,0.17,0.23
32,EPS (Diluted),0.20,0.19,0.22,0.20,0.28,0.33,0.24,0.28,0.33,0.26,0.16,0.14,0.19,0.20,0.17,0.28,0.23,0.25,0.17,0.23
33,EPS Growth,-28.56%,-42.06%,-8.33%,-29.02%,-15.43%,27.95%,50.00%,99.18%,74.68%,29.91%,-5.88%,-49.75%,-17.70%,-21.47%,0%,19.06%,-,-,-,-
34,Free Cash Flow,-14.45,38.32,-26.86,51.91,-17.86,-64.72,18.09,38.76,-12.7,-59,-10.73,-5.41,-2.76,-9.05,20.85,17.03,14.38,58.81,15.27,63.2
35,Free Cash Flow Per Share,-0.06,0.16,-0.11,0.22,-0.07,-0.27,0.08,0.16,-0.05,-0.24,-0.05,-0.02,-0.01,-0.04,0.10,0.09,0.08,0.33,0.08,0.35
36,Dividend Per Share,-,-,-,0.350,-,-,-,0.340,-,-,-,0.334,-,-,-,0.334,-,-,-,-
37,Dividend Growth,-,-,-,2.94%,-,-,-,1.80%,-,-,-,0%,-,-,-,-,-,-,-,-
38,Gross Margin,39.26%,35.40%,34.45%,32.57%,39.88%,37.80%,37.39%,35.07%,39.04%,35.04%,34.25%,26.84%,36.00%,38.51%,34.32%,45.41%,44.14%,40.15%,41.29%,27.50%
39,Operating Margin,21.74%,17.85%,20.56%,19.80%,26.84%,24.68%,24.04%,20.10%,28.16%,21.72%,19.52%,12.58%,22.52%,21.95%,19.41%,29.97%,31.23%,29.90%,25.98%,27.50%
40,Profit Margin,17.74%,15.95%,17.88%,16.56%,21.50%,24.06%,20.21%,22.15%,24.78%,23.66%,16.45%,15.49%,21.30%,23.26%,20.56%,25.16%,23.67%,26.80%,24.04%,26.16%
41,Free Cash Flow Margin,-5.28%,13.31%,-9.26%,18.34%,-5.67%,-19.43%,6.45%,12.74%,-3.99%,-21.78%,-4.72%,-2.57%,-1.23%,-4.52%,12.69%,8.48%,8.36%,35.33%,11.69%,39.09%
42,EBITDA,78.94,71.17,79.06,75.47,101.83,101.89,84.67,78.44,101.46,79.82,56.15,38.32,61.25,55.06,42.79,71.11,64.45,60.72,44.67,46.25
43,EBITDA Margin,28.85%,24.73%,27.27%,26.67%,32.33%,30.59%,30.21%,25.79%,31.87%,29.46%,24.72%,18.18%,27.40%,27.51%,26.05%,35.40%,37.46%,36.47%,34.19%,28.60%
44,D&A For EBITDA,19.44,19.82,19.44,19.44,17.3,19.68,17.3,17.3,11.81,20.97,11.81,11.81,10.9,11.12,10.9,10.9,10.73,10.95,10.73,1.78
45,EBIT,59.5,51.36,59.62,56.03,84.53,82.21,67.37,61.15,89.65,58.85,44.34,26.51,50.35,43.94,31.89,60.22,53.72,49.78,33.94,44.46
46,EBIT Margin,21.74%,17.85%,20.56%,19.80%,26.84%,24.68%,24.04%,20.10%,28.16%,21.72%,19.52%,12.58%,22.52%,21.95%,19.41%,29.97%,31.23%,29.90%,25.98%,27.50%
47,Effective Tax Rate,11.42%,13.70%,12.68%,15.72%,12.67%,13.11%,13.86%,12.27%,14.33%,13.28%,10.83%,15.04%,11.24%,11.24%,10.04%,12.54%,11.81%,11.31%,12.96%,12.85%
48,Revenue as Reported,273.64,287.79,289.91,282.99,314.92,333.09,280.29,304.2,318.4,270.89,227.12,210.78,223.56,200.16,164.29,200.89,172.04,166.49,130.65,-
