,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Revenue,407.66,440.79,483.1,507.69,515.23,523.13,520.46,532.13,467.81,529.22,Upgrade
1,Revenue Growth (YoY),-15.62%,-13.18%,-6.24%,-2.95%,-1.01%,-1.69%,11.26%,0.55%,-22.37%,-16.60%,Upgrade
2,Cost of Revenue,253.52,260.22,291.69,301.97,298.15,292.37,289.42,291.82,292.47,318.08,Upgrade
3,Gross Profit,154.15,180.57,191.41,205.72,217.08,230.77,231.04,240.31,175.34,211.14,Upgrade
4,"Selling, General & Admin",195.87,199.37,213.26,213.51,209.83,209.61,200.62,192.5,195.22,207.84,Upgrade
5,Other Operating Expenses,-0.75,-2.26,-1.51,-1.87,0.11,0.22,-0.01,-0.53,0.14,0.52,Upgrade
6,Operating Expenses,195.12,197.12,211.75,211.64,209.93,209.83,200.62,191.97,195.36,208.35,Upgrade
7,Operating Income,-40.97,-16.54,-20.33,-5.92,7.15,20.94,30.42,48.34,-20.02,2.79,Upgrade
8,Interest Expense,-0.35,-0.1,-0.18,-0.25,-0.25,-0.06,-0.15,-0.22,-0.28,-0.28,Upgrade
9,Interest & Investment Income,8.97,6.38,5.79,4.32,1.82,0.7,0.63,0.95,1.32,2.08,Upgrade
10,EBT Excluding Unusual Items,-32.36,-10.26,-14.73,-1.84,8.72,21.57,30.91,49.07,-18.98,4.58,Upgrade
11,Gain (Loss) on Sale of Assets,-,122.12,-,-,-,-,-,-,-,-,Upgrade
12,Asset Writedown,-,-11.85,-,-,-,-,-,-79.78,-,-,Upgrade
13,Other Unusual Items,-,-,-,-,33.3,-,-,25.79,51.45,-,Upgrade
14,Pretax Income,-32.36,100.01,-14.73,-1.84,42.02,21.57,30.91,-4.91,32.47,4.58,Upgrade
15,Income Tax Expense,1.26,25.22,5.09,5.36,6.14,11.01,7.02,-8.16,2.76,3.96,Upgrade
16,Earnings From Continuing Operations,-33.61,74.79,-19.82,-7.2,35.88,10.56,23.89,3.24,29.71,0.62,Upgrade
17,Minority Interest in Earnings,-0.1,-0.3,-0.45,-0.46,-0.76,-0.7,-0.73,-1.05,-0.98,-1.09,Upgrade
18,Net Income,-33.71,74.49,-20.27,-7.66,35.12,9.86,23.16,2.19,28.73,-0.47,Upgrade
19,Net Income to Common,-33.71,74.49,-20.27,-7.66,35.12,9.86,23.16,2.19,28.73,-0.47,Upgrade
20,Net Income Growth,-,-,-,-,51.64%,350.18%,-19.38%,-,160.18%,-,Upgrade
21,Shares Outstanding (Basic),432,432,432,432,432,432,432,432,432,432,Upgrade
22,Shares Outstanding (Diluted),432,432,432,432,432,432,432,432,432,432,Upgrade
23,EPS (Basic),-0.08,0.17,-0.05,-0.02,0.08,0.02,0.05,0.01,0.07,-0.00,Upgrade
24,EPS (Diluted),-0.08,0.17,-0.05,-0.02,0.08,0.02,0.05,0.01,0.07,-0.00,Upgrade
25,EPS Growth,-,-,-,-,51.64%,350.18%,-19.38%,-,160.18%,-,Upgrade
26,Free Cash Flow,-49.92,18.8,-46.32,70.89,-20.1,24.62,21.21,100.29,28.12,79.05,Upgrade
27,Free Cash Flow Per Share,-0.12,0.04,-0.11,0.16,-0.05,0.06,0.05,0.23,0.07,0.18,Upgrade
28,Dividend Per Share,0.030,0.070,0.030,0.070,0.030,0.065,0.030,0.060,0.020,0.050,Upgrade
29,Dividend Growth,0%,0%,0%,7.69%,0%,8.33%,50.00%,20.00%,0%,-23.08%,Upgrade
30,Operating Margin,-10.05%,-3.75%,-4.21%,-1.17%,1.39%,4.00%,5.85%,9.08%,-4.28%,0.53%,Upgrade
31,Profit Margin,-8.27%,16.90%,-4.19%,-1.51%,6.82%,1.88%,4.45%,0.41%,6.14%,-0.09%,Upgrade
32,Free Cash Flow Margin,-12.25%,4.26%,-9.59%,13.96%,-3.90%,4.71%,4.07%,18.85%,6.01%,14.94%,Upgrade
33,EBITDA,-30.21,-3.27,0.45,3.42,27.47,29.17,51.66,69.98,3.63,28.73,Upgrade
34,D&A For EBITDA,10.77,13.27,20.78,9.34,20.32,8.24,21.24,21.64,23.65,25.94,Upgrade
35,EBIT,-40.97,-16.54,-20.33,-5.92,7.15,20.94,30.42,48.34,-20.02,2.79,Upgrade
