,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Cash & Equivalents,152.85,212.05,206.23,215.51,191.85,362.77,219.52,227.92,256.98,220.53,Upgrade
1,Short-Term Investments,326.85,333.98,205.68,266.27,249.35,113.88,255.28,258.34,155.48,183.08,Upgrade
2,Cash & Short-Term Investments,479.7,546.03,411.92,481.78,441.2,476.64,474.79,486.25,412.45,403.6,Upgrade
3,Cash Growth,16.46%,13.34%,-6.64%,1.08%,-7.08%,-1.98%,15.11%,20.48%,19.75%,22.43%,Upgrade
4,Accounts Receivable,129.11,132.36,159.11,169.91,193.1,178.55,184.75,179.02,167.58,165.51,Upgrade
5,Other Receivables,3.81,4.85,0.82,2.68,0.21,1.72,0.83,2.5,3.41,2.39,Upgrade
6,Receivables,132.92,137.21,159.93,172.59,193.31,180.27,185.58,181.52,170.99,167.9,Upgrade
7,Inventory,13.46,15.5,18.87,20.26,25.79,23.71,24.09,16.84,22.21,34.63,Upgrade
8,Prepaid Expenses,17.06,18.22,19.26,14.49,19.78,14.73,17.91,15.13,17.97,14.5,Upgrade
9,Other Current Assets,-,-,-,-,-,-,-,1.74,1.7,1.7,Upgrade
10,Total Current Assets,643.14,716.95,609.98,689.11,680.07,695.35,702.36,701.48,625.33,622.34,Upgrade
11,"Property, Plant & Equipment",430.56,428.94,467.1,442.15,447.49,436.58,447.41,459.61,556.67,559.65,Upgrade
12,Long-Term Deferred Tax Assets,2.73,2.26,23.45,23.54,23.29,23.45,27.9,28.13,23.27,22.63,Upgrade
13,Other Long-Term Assets,20.85,20.45,21.17,42.42,48.76,42.95,6.13,6.22,6.03,8.84,Upgrade
14,Total Assets,1097,1169,1122,1197,1200,1198,1184,1195,1211,1213,Upgrade
15,Accounts Payable,20.21,22.64,29.7,24.76,27.6,30.77,26.13,25.92,21.54,25.88,Upgrade
16,Accrued Expenses,75.11,90.34,80.19,113.14,88.63,113.78,86.4,103.39,89.54,98.18,Upgrade
17,Current Portion of Leases,8.51,1.77,6.34,10.57,9.9,2.8,10.53,17.17,16.42,8.11,Upgrade
18,Current Income Taxes Payable,4.16,2.21,2.93,0.36,3.36,0.16,6.49,3.4,5.11,2.45,Upgrade
19,Current Unearned Revenue,114.22,116.29,128.05,124.74,129.68,124.14,124.75,113.78,121.76,130.98,Upgrade
20,Total Current Liabilities,222.21,233.26,247.22,273.57,259.17,271.66,254.3,263.65,254.36,265.58,Upgrade
21,Long-Term Leases,3.39,0.36,0.78,1.4,4.93,0.36,0.16,1.65,8.57,6.96,Upgrade
22,Long-Term Deferred Tax Liabilities,18,19.26,19.44,18.87,18.87,17.61,16.93,17,28.68,30.95,Upgrade
23,Total Liabilities,252.6,260.44,279.84,304.8,287.2,292.7,275.1,284.87,297.62,308.35,Upgrade
24,Common Stock,43.16,43.16,43.16,43.16,43.16,43.16,43.16,43.16,43.16,43.16,Upgrade
25,Additional Paid-In Capital,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,Upgrade
26,Retained Earnings,681.64,745.56,684.02,734.5,755.11,748.04,751.13,753.87,760.25,753.1,Upgrade
27,Comprehensive Income & Other,89.8,89.46,85.01,85.54,85.1,86.13,86.54,86.4,84.19,83.75,Upgrade
28,Total Common Equity,822.61,886.19,820.2,871.2,891.38,885.34,888.84,891.44,895.6,888.02,Upgrade
29,Minority Interest,22.07,21.97,21.67,21.22,21.05,20.28,19.86,19.13,18.08,17.09,Upgrade
30,Shareholders' Equity,844.68,908.16,841.87,892.42,912.42,905.62,908.7,910.57,913.68,905.11,Upgrade
31,Total Liabilities & Equity,1097,1169,1122,1197,1200,1198,1184,1195,1211,1213,Upgrade
32,Total Debt,11.9,2.14,7.12,11.97,14.84,3.16,10.7,18.82,24.99,15.07,Upgrade
33,Net Cash (Debt),467.8,543.89,404.8,469.81,426.36,473.48,464.1,467.43,387.46,388.54,Upgrade
34,Net Cash Growth,15.56%,15.77%,-5.06%,-0.78%,-8.13%,1.29%,19.78%,20.31%,20.74%,17.86%,Upgrade
35,Net Cash Per Share,1.08,1.26,0.94,1.09,0.99,1.10,1.08,1.08,0.90,0.90,Upgrade
36,Filing Date Shares Outstanding,431.6,431.6,431.6,431.6,431.6,431.6,431.6,431.6,431.6,431.6,Upgrade
37,Total Common Shares Outstanding,431.6,431.6,431.6,431.6,431.6,431.6,431.6,431.6,431.6,431.6,Upgrade
38,Working Capital,420.93,483.69,362.76,415.54,420.9,423.7,448.06,437.83,370.96,356.76,Upgrade
39,Book Value Per Share,1.91,2.05,1.90,2.02,2.07,2.05,2.06,2.07,2.08,2.06,Upgrade
40,Tangible Book Value,822.61,886.19,820.2,871.2,891.38,885.34,888.84,891.44,895.6,888.02,Upgrade
41,Tangible Book Value Per Share,1.91,2.05,1.90,2.02,2.07,2.05,2.06,2.07,2.08,2.06,Upgrade
42,Land,-,-,-,-,-,-,-,-,170.1,-,Upgrade
43,Buildings,154.96,154.96,173.45,170.1,170.1,170.1,170.1,170.1,-,169.75,Upgrade
44,Machinery,442.15,451.14,452.58,446.91,437.43,438.88,432.43,427.42,752.72,747.14,Upgrade
45,Leasehold Improvements,37.5,38.2,38.16,35.83,35.71,35,34.71,32.89,72.82,72.8,Upgrade
