,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,644.88,368.77,536.01,486.9,1452,258.35,-,231.01,-,-,-,213.39,213.39,246.12,246.12
1,Short-Term Investments,-,1001,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,56.71,67.62,77.48,70.62,63.75,54.69,-,104.75,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,701.59,1437,613.49,557.52,1515,313.04,335.76,335.76,-,-,213.39,213.39,213.39,246.12,246.12
4,Cash Growth,-53.70%,359.17%,82.72%,66.05%,-,-,57.34%,57.34%,-,-,-13.30%,-,-,-,-
5,Accounts Receivable,103.88,127.92,95.76,148.92,118.56,182.09,-,100.65,-,-,-,109.16,109.16,107.28,107.28
6,Other Receivables,31.39,58.51,1.8,16.03,108.64,27.35,-,64.24,-,-,-,13.72,13.72,45.61,45.61
7,Receivables,135.28,186.44,97.56,164.95,227.2,209.45,-,164.89,-,-,-,122.88,122.88,152.9,152.9
8,Inventory,201.03,201.53,214.57,216.88,216,231.18,-,231.92,-,-,-,178.17,178.17,149.06,149.06
9,Prepaid Expenses,-,6.75,-,-,-,-,-,-,-,-,-,0.09,0.09,-,-
10,Other Current Assets,814.38,10.71,921.88,917.96,8.53,17.66,-,19.67,-,-,-,15.43,15.43,8.65,8.65
11,Total Current Assets,1852,1843,1847,1857,1967,771.32,-,752.25,-,-,-,529.96,529.96,556.72,556.72
12,"Property, Plant & Equipment",377.97,383.23,387.27,391.89,387.6,394,-,388.05,-,-,-,306.15,306.15,239.92,239.92
13,Other Intangible Assets,47.35,47.55,47.94,48.55,48.71,49.07,-,49.82,-,-,-,48.85,48.85,42.26,42.26
14,Long-Term Deferred Tax Assets,9.61,8.94,7.58,8.8,10.4,10.39,-,9.2,-,-,-,5.35,5.35,5.66,5.66
15,Long-Term Deferred Charges,0.34,0.34,0.27,0.31,0.49,0.49,-,0.45,-,-,-,0.57,0.57,0.41,0.41
16,Other Long-Term Assets,1.41,0.92,4.53,3.77,6.21,3.08,-,10.23,-,-,-,6.63,6.63,15.52,15.52
17,Total Assets,2289,2284,2295,2311,2420,1228,-,1210,-,-,-,897.51,897.51,860.48,860.48
18,Accounts Payable,46.9,23.21,28.98,45.02,53.47,79.91,-,82.26,-,-,-,54.98,54.98,37.34,37.34
19,Accrued Expenses,12.64,20.79,6.04,24.38,13.04,31.47,-,32.31,-,-,-,22.33,22.33,19.68,19.68
20,Short-Term Debt,-,-,-,5,19,19,-,24,-,-,-,30,30,48.49,48.49
21,Current Portion of Long-Term Debt,-,-,-,-,11.08,10,-,11.14,-,-,-,3.84,3.84,4.22,4.22
22,Current Portion of Leases,1.83,1.87,0.99,1.94,-,1.07,-,1.7,-,-,-,1.84,1.84,1.49,1.49
23,Current Income Taxes Payable,2.8,0.11,5.29,4.9,5.32,9.1,-,4.81,-,-,-,5.96,5.96,3.19,3.19
24,Current Unearned Revenue,3.66,4.35,6.67,11.24,4.47,1.95,-,14.3,-,-,-,9.38,9.38,5.01,5.01
25,Other Current Liabilities,60.53,75.66,38.51,28.39,121.26,24.34,-,93.53,-,-,-,16.61,16.61,55.92,55.92
26,Total Current Liabilities,128.37,125.97,86.48,120.87,227.64,176.83,-,264.06,-,-,-,144.94,144.94,175.34,175.34
27,Long-Term Debt,-,-,-,-,29.5,32,-,46.79,-,-,-,38.67,38.67,19.9,19.9
28,Long-Term Leases,3.06,3.92,5.1,4.71,4.13,4.65,-,4.43,-,-,-,1.12,1.12,1.57,1.57
29,Long-Term Unearned Revenue,6.73,6.26,6.53,6.8,7.07,7.34,-,7.88,-,-,-,3.77,3.77,4.11,4.11
30,Long-Term Deferred Tax Liabilities,6.69,9.7,7.58,7.26,7.59,8.28,-,8.02,-,-,-,5.13,5.13,4.32,4.32
31,Other Long-Term Liabilities,-,-,-,-,-,-,-,0.03,-,-,-,0.07,0.07,-,-
32,Total Liabilities,144.85,145.86,105.69,139.63,275.94,229.09,-,331.21,-,-,-,193.71,193.71,205.23,205.23
33,Common Stock,120.45,120.45,86.03,86.03,86.03,64.53,-,64.53,-,-,-,64.53,64.53,64.53,64.53
34,Additional Paid-In Capital,1593,1592,1625,1623,1622,531.36,-,528.68,-,-,-,523.1,523.1,521.24,521.24
35,Retained Earnings,417.69,410.49,463.97,447.23,419.86,385.55,-,273.65,-,-,-,112.2,112.2,64.47,64.47
36,Comprehensive Income & Other,12.98,15.4,14.73,14.47,16.73,17.83,-,11.94,-,-,-,3.98,3.98,5.02,5.02
37,Shareholders' Equity,2144,2138,2189,2171,2145,999.26,878.79,878.79,-,-,703.8,703.8,703.8,655.26,655.26
38,Total Liabilities & Equity,2289,2284,2295,2311,2420,1228,-,1210,-,-,-,897.51,897.51,860.48,860.48
39,Total Debt,4.88,5.79,6.09,11.64,63.71,66.72,88.07,88.07,-,-,75.46,75.46,75.46,75.67,75.67
40,Net Cash (Debt),696.71,1432,607.4,545.88,1452,246.32,247.69,247.69,-,-,137.93,137.93,137.93,170.44,170.44
41,Net Cash Growth,-52.01%,481.20%,145.22%,120.39%,-,-,79.58%,79.58%,-,-,-19.08%,-,-,-,-
42,Net Cash Per Share,5.83,12.52,4.92,4.53,14.42,2.73,2.74,2.75,-,-,1.53,1.53,1.53,1.91,1.91
43,Filing Date Shares Outstanding,120.45,120.45,120.45,120.45,120.45,90.34,90.37,90.34,91.09,90.2,90.2,90.34,90.34,90.34,90.34
44,Total Common Shares Outstanding,120.45,120.45,120.45,120.45,120.45,90.34,90.37,90.34,91.09,90.2,90.2,90.34,90.34,90.34,90.34
45,Working Capital,1724,1717,1761,1736,1739,594.49,-,488.19,-,-,-,385.02,385.02,381.39,381.39
46,Book Value Per Share,17.80,17.75,18.18,18.02,17.81,11.06,9.73,9.73,-,-,7.79,7.79,7.79,7.25,7.25
47,Tangible Book Value,2097,2090,2141,2122,2096,950.19,828.97,828.97,-,-,654.95,654.95,654.95,613,613
