,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Feb '25 Feb 27, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,3301,4053,4382,5091,5432,7482,-,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-45.83%,-45.83%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2605,2621,3774,3639,3981,7236,-,-,-,-,-,-,-,-,-,-
3,Last Close Price,27.41,33.65,36.38,41.68,44.48,61.26,-,-,-,-,-,-,-,-,-,-
4,PE Ratio,49.10,60.80,46.73,34.02,31.30,49.06,-,-,-,-,-,-,-,-,-,-
5,PS Ratio,5.76,7.14,7.34,7.52,7.08,10.17,-,-,-,-,-,-,-,-,-,-
6,PB Ratio,1.54,1.89,2.05,2.33,2.50,3.49,-,-,-,-,-,-,-,-,-,-
7,P/TBV Ratio,1.93,1.93,2.10,2.38,2.56,3.57,-,-,-,-,-,-,-,-,-,-
8,P/FCF Ratio,40.90,50.21,-,27.48,-,64.50,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,29.71,29.71,-,20.03,35.01,38.76,-,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,4.59,4.62,6.32,5.37,5.19,9.83,-,-,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,19.07,20.87,24.57,16.88,15.85,33.50,-,-,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,44.35,43.72,41.30,23.74,20.71,45.07,-,-,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,32.27,32.47,-,19.64,-,62.37,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.01,0.03,0.07,0.10,0.10,-,-,0.11,0.11,0.11,0.12,0.12
15,Debt / EBITDA Ratio,0.04,0.06,0.05,0.05,0.06,0.33,0.19,0.33,1.41,-,-,0.28,0.51,0.51,0.59,0.59
16,Debt / FCF Ratio,0.06,0.06,-,0.03,-,0.55,0.99,-,0.77,-,-,-1.69,-,-,-,-
17,Asset Turnover,0.22,0.24,0.22,0.31,0.34,-,-,-,-,-,-,0.66,0.67,0.59,-,
18,Inventory Turnover,1.71,1.57,1.56,1.40,2.23,1.29,-,-,-,-,-,-,1.99,2.17,2.16,-
19,Quick Ratio,6.52,6.52,12.89,8.22,5.98,7.65,2.95,-,1.90,-,-,-,2.32,2.32,2.28,2.28
20,Current Ratio,14.43,14.43,14.63,21.36,15.37,8.64,4.36,-,2.85,-,-,-,3.66,3.66,3.18,3.18
21,Return on Equity (ROE),1.34%,2.84%,3.07%,5.07%,8.73%,30.34%,18.51%,-,-,-,28.38%,13.56%,14.05%,11.24%,-,
22,Return on Assets (ROA),0.49%,0.97%,1.58%,3.39%,4.92%,-,-,-,-,-,-,6.99%,7.14%,6.14%,-,
23,Return on Capital (ROIC),0.52%,1.02%,1.66%,3.66%,5.48%,17.40%,13.83%,-,-,-,17.78%,8.05%,8.31%,7.23%,-,
24,Return on Capital Employed (ROCE),2.72%,2.78%,4.24%,6.94%,8.78%,7.32%,17.19%,-,17.70%,-,-,-,12.28%,8.95%,6.17%,3.08%
25,Earnings Yield,2.02%,1.64%,2.14%,2.94%,3.20%,2.04%,-,-,-,-,-,-,-,-,-,-
26,FCF Yield,2.45%,1.99%,2.91%,3.64%,1.51%,1.55%,-,-,-,-,-,-,-,-,-,-
27,Dividend Yield,2.15%,-,-,-,1.28%,-,-,-,-,-,-,-,-,-,-,-
28,Payout Ratio,102.21%,0.06%,455.77%,0.18%,-,1.70%,1.80%,-,65.12%,-,-,-,2.63%,2.63%,130.95%,130.95%
29,Buyback Yield / Dilution,-28.64%,-18.65%,-26.90%,-36.51%,-33.76%,-10.54%,0.10%,-0.19%,0.18%,-0.84%,-1.22%,-1.22%,-,-,-,-
30,Total Shareholder Return,-26.48%,-18.65%,-26.90%,-36.51%,-32.48%,-10.54%,0.10%,-0.19%,0.18%,-0.84%,-1.22%,-1.22%,-,-,-,-
