,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,125.26,137.61,124.33,180.63,154.1,218.08,213.89,149.37,192.05,187.4,187.4,146.99,146.99,126.58,126.58
1,Other Revenue,-0.05,0.05,-,0.12,-0.06,0.06,-,0.45,-0.1,0.05,0.05,0.32,0.32,0.7,0.7
2,Revenue,125.2,137.66,124.33,180.75,154.04,218.14,213.89,149.82,191.95,187.45,187.45,147.31,147.31,127.28,127.28
3,Revenue Growth (YoY),-18.72%,-36.89%,-41.87%,20.65%,-19.75%,16.37%,14.10%,1.70%,30.30%,47.27%,47.27%,-,-,-,-
4,Cost of Revenue,79.03,81.36,75.35,120.67,72.01,104.51,124.29,105.63,101.07,103.17,103.17,88.62,88.62,80.38,80.38
5,Gross Profit,46.17,56.3,48.98,60.08,82.03,113.64,89.6,44.19,90.89,84.28,84.28,58.7,58.7,46.9,46.9
6,"Selling, General & Admin",33.35,33.47,29.37,16.56,39.59,32.43,26.54,25.62,31.92,24.99,24.99,25.75,25.75,18.54,18.54
7,Research & Development,7.62,9.97,6.96,10.6,5.74,5.5,8.2,9.59,4.97,5.72,5.72,6.84,6.84,5.47,5.47
8,Other Operating Expenses,1.87,1.39,1.84,1.5,0.65,1.84,0.9,10.14,1.16,-2.96,-2.96,0.96,0.96,1.08,1.08
9,Operating Expenses,41.72,47.45,34.44,27.96,46.15,42.89,36.12,43.75,34.76,28.87,28.87,33.6,33.6,25.78,25.78
10,Operating Income,4.45,8.84,14.54,32.12,35.88,70.74,53.48,0.44,56.13,55.41,55.41,25.1,25.1,21.13,21.13
11,Interest Expense,-0.02,-0,-0.07,-0.36,-0.58,-0.48,-0.79,-0.93,-0.65,-0.56,-0.56,-0.57,-0.57,-0.67,-0.67
12,Interest & Investment Income,7.09,6.68,2.61,4.38,1.81,1.37,1.07,0.19,0.43,0.06,0.06,0.1,0.1,0.17,0.17
