,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Interest and Dividend Income,23891,10950,28485,13961,23721,26220,20539,21936,21437,21190,Upgrade
1,Total Interest Expense,21912,22471,21610,20219,19862,21601,20357,19696,19922,21481,Upgrade
2,Net Interest Income,1979,-11521,6876,-6258,3859,4620,182.13,2239,1515,-291.06,Upgrade
3,Brokerage Commission,2529,2254,2650,2659,2452,2829,2462,2349,2096,1709,Upgrade
4,Gain on Sale of Investments (Rev),-77.05,6519,-5981,2061,-1002,1578,-583.23,-,-,-,Upgrade
5,Other Revenue,10982,9858,12660,4865,18611,29282,20397,26352,12646,18846,Upgrade
6,Revenue Before Loan Losses,15413,7110,16204,3326,23920,38309,22458,30940,16257,20264,Upgrade
7,Provision for Loan Losses,2293,-3801,1749,-2271,755.37,6465,1802,818.38,-3006,-2975,Upgrade
8,Revenue,13120,10911,14456,5598,23165,31844,20656,30121,19263,23239,Upgrade
9,Revenue Growth (YoY),-9.24%,94.92%,-37.60%,-82.42%,12.15%,5.72%,7.23%,29.62%,-7.86%,-,Upgrade
10,Salaries & Employee Benefits,-,5710,-,6122,-,-,-,3626,2533,3893,Upgrade
11,Cost of Services Provided,6963,1230,7291,2680,10804,21264,9040,11305,6691,10151,Upgrade
12,Other Operating Expenses,1359,-330.41,831.27,-840.7,1377,1030,1054,808.42,153.05,246.18,Upgrade
13,Total Operating Expenses,9711,7294,9373,5750,16642,22317,10167,16864,10247,14366,Upgrade
14,Operating Income,3409,3617,5082,-151.83,6522,9527,10489,13258,9016,8872,Upgrade
15,Currency Exchange Gains,434.05,-62.51,432.03,1159,839.09,-119.94,-365.47,-2230,700.74,621.48,Upgrade
16,Other Non-Operating Income (Expenses),-169.66,-3596,255.04,-3576,-45.91,-470.04,-141.62,-2791,-1080,-2184,Upgrade
17,EBT Excluding Unusual Items,3673,6392,5769,6415,7316,8937,9982,7439,9687,7482,Upgrade
18,Impairment of Goodwill,-,-638,-,-,-,-,-,-103.53,-,-4.28,Upgrade
19,Asset Writedown,-,-381.08,-,-398.08,-,-56.33,-20.73,-1347,-,-448.59,Upgrade
20,Legal Settlements,-9.97,15.21,-15.21,38.72,-38.72,-60.82,-21.47,-,-,-,Upgrade
21,Gain (Loss) on Sale of Investments,-765.04,-2530,-407.9,-2233,-594.71,-165.51,-936.12,-1040,-151.17,-1208,Upgrade
22,Other Unusual Items,57.28,-21.16,21.16,-104.83,104.83,35.07,564.46,-,-,-,Upgrade
23,Pretax Income,2958,2864,5341,3698,6807,8750,9639,5594,10733,6610,Upgrade
24,Income Tax Expense,301.65,372.39,820.45,1400,1827,2826,2562,1688,3636,1889,Upgrade
25,Earnings From Continuing Ops.,2657,2491,4521,2298,4980,5924,7077,3906,7097,4721,Upgrade
26,Earnings From Discontinued Ops.,-,-,-,-,-,-,-,3483,268.67,818.82,Upgrade
27,Net Income to Company,2657,2491,4521,2298,4980,5924,7077,7389,7366,5540,Upgrade
28,Minority Interest in Earnings,-500.78,-737.86,-452.97,-493.12,-472.25,-549.25,-389.49,-482.25,-1025,-1172,Upgrade
29,Net Income,2156,1753,4068,1805,4508,5374,6687,6907,6341,4368,Upgrade
30,Preferred Dividends & Other Adjustments,-,1557,-,1011,-,-,-,1090,-,1121,Upgrade
31,Net Income to Common,2156,196.52,4068,794.25,4508,5374,6687,5817,6341,3247,Upgrade
32,Net Income Growth,-47.00%,-2.88%,-9.77%,-66.41%,-32.59%,-22.19%,5.47%,58.14%,-26.99%,-,Upgrade
33,Shares Outstanding (Basic),53897,31133,45196,38761,37568,38602,44583,38165,38165,38165,Upgrade
34,Shares Outstanding (Diluted),53897,31133,45196,38761,37568,38602,44583,38165,38165,38165,Upgrade
35,Shares Change (YoY),19.25%,-19.68%,20.30%,0.41%,-15.73%,1.15%,16.82%,-,-,-,Upgrade
36,EPS (Basic),0.04,0.01,0.09,0.02,0.12,0.14,0.15,0.15,0.17,0.09,Upgrade
37,EPS (Diluted),0.04,0.00,0.09,0.02,0.12,0.14,0.15,0.15,0.17,0.08,Upgrade
38,EPS Growth,-55.56%,-79.55%,-25.00%,-85.28%,-20.00%,-7.96%,-9.72%,89.09%,-26.99%,-,Upgrade
39,Free Cash Flow,15903,16146,-1450,76110,-23870,-13702,61768,41064,-9212,4826,Upgrade
40,Free Cash Flow Per Share,0.30,0.52,-0.03,1.96,-0.64,-0.35,1.39,1.08,-0.24,0.13,Upgrade
41,Operating Margin,25.98%,33.15%,35.16%,-2.71%,28.16%,29.92%,50.78%,44.01%,46.81%,38.18%,Upgrade
42,Profit Margin,16.43%,1.80%,28.14%,14.19%,19.46%,16.88%,32.38%,19.31%,32.92%,13.97%,Upgrade
43,Free Cash Flow Margin,121.21%,147.98%,-10.03%,1359.66%,-103.04%,-43.03%,299.03%,136.33%,-47.82%,20.77%,Upgrade
44,Revenue as Reported,37853,37882,38286,36258,44730,60355,42817,54314,45820,50683,Upgrade
