,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Interest and Dividend Income,324.42,359.41,368.81,312.48,198.36,187.6,254.99,301.38,264.7,182.85,Upgrade
1,Total Interest Expense,104.59,137.68,122.18,68.77,45.43,43.05,81.47,140.08,99.14,82.21,Upgrade
2,Net Interest Income,219.84,221.74,246.63,243.71,152.93,144.55,173.53,161.3,165.56,100.64,Upgrade
3,Brokerage Commission,161.72,273.47,172.69,362.65,235.62,344.69,346.11,428.49,365.33,284.48,Upgrade
4,Trading & Principal Transactions,3.67,3.85,3.2,2.32,3.51,8.13,5.21,10.33,8.15,2.94,Upgrade
5,Gain on Sale of Investments (Rev),22.06,-,-8.53,-,-,-,-,-,-,-,Upgrade
6,Other Revenue,125.22,-38.87,107.01,-13.04,100.12,38.64,45.03,72.86,71.29,118.76,Upgrade
7,Revenue,532.51,460.19,521,595.63,492.19,536.01,569.88,672.98,610.32,506.81,Upgrade
8,Revenue Growth (YoY),2.21%,-22.74%,5.85%,11.12%,-13.63%,-20.35%,-6.63%,32.79%,33.71%,20.75%,Upgrade
9,Salaries & Employee Benefits,73.3,76.03,63.39,43.89,76.24,83.41,77.21,88.7,64.2,56.11,Upgrade
10,Cost of Services Provided,7.47,5.66,5.98,7.83,7.31,8.49,11.28,19.42,15.71,10.55,Upgrade
11,Other Operating Expenses,83.18,74.53,78,86.25,93.49,100.41,102.34,121.14,100.75,95.86,Upgrade
12,Total Operating Expenses,195.61,188.04,183.23,174.53,215.71,236.65,231.45,269.67,220.61,206.76,Upgrade
13,Operating Income,336.9,272.14,337.77,421.1,276.47,299.36,338.44,403.31,389.72,300.06,Upgrade
14,Currency Exchange Gains,6.54,2.43,-6.93,9.2,-13.56,10.88,8.72,12.85,11.82,-3.99,Upgrade
15,Other Non-Operating Income (Expenses),-,-0.35,-,-0.29,-0.66,-1.15,-,-,-,-3.5,Upgrade
16,EBT Excluding Unusual Items,343.43,274.22,330.84,430.01,262.25,309.1,347.15,416.15,401.54,292.57,Upgrade
17,Pretax Income,343.64,274.22,330.83,430.01,262.19,309.09,347.12,416.15,401.04,292.18,Upgrade
18,Income Tax Expense,31.62,19,27.21,40.5,31.1,42.5,52.21,58.3,54.98,32.71,Upgrade
19,Net Income,312.02,255.22,303.63,389.51,231.08,266.59,294.91,357.85,346.05,259.47,Upgrade
20,Net Income to Common,312.02,255.22,303.63,389.51,231.08,266.59,294.91,357.85,346.05,259.47,Upgrade
21,Net Income Growth,2.77%,-34.48%,31.39%,46.11%,-21.64%,-25.50%,-14.78%,37.91%,63.61%,29.67%,Upgrade
22,Shares Outstanding (Basic),1697,1697,1697,1697,1697,1697,1697,1697,1697,1697,Upgrade
23,Shares Outstanding (Diluted),1697,1697,1697,1697,1697,1697,1697,1697,1697,1697,Upgrade
24,EPS (Basic),0.18,0.15,0.18,0.23,0.14,0.16,0.17,0.21,0.20,0.15,Upgrade
25,EPS (Diluted),0.18,0.15,0.18,0.23,0.14,0.16,0.17,0.21,0.20,0.15,Upgrade
26,EPS Growth,2.75%,-34.48%,31.44%,46.17%,-21.67%,-25.52%,-14.78%,37.89%,63.63%,29.68%,Upgrade
27,Free Cash Flow,1396,1447,-43.18,900.81,1148,2355,4340,13725,-21483,1741,Upgrade
28,Free Cash Flow Per Share,0.82,0.85,-0.03,0.53,0.68,1.39,2.56,8.09,-12.66,1.03,Upgrade
29,Operating Margin,63.27%,59.14%,64.83%,70.70%,56.17%,55.85%,59.39%,59.93%,63.85%,59.20%,Upgrade
30,Profit Margin,58.60%,55.46%,58.28%,65.39%,46.95%,49.74%,51.75%,53.17%,56.70%,51.20%,Upgrade
31,Free Cash Flow Margin,262.19%,314.36%,-8.29%,151.24%,233.27%,439.43%,761.60%,2039.38%,-3519.88%,343.46%,Upgrade
32,Revenue as Reported,643.84,599.98,636.24,673.28,525.93,589.26,660.51,830.82,730.68,580.88,Upgrade
