,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,27608,27461,29289,29815,57804,-,-,-
1,Market Cap Growth,-7.89%,-7.89%,-49.33%,-,-,-,-,-
2,Enterprise Value,15034,10711,16368,15136,53796,-,-,-
3,Last Close Price,23.80,22.37,22.66,23.02,44.23,-,-,-
4,PE Ratio,15.08,14.78,13.60,16.87,33.82,-,-,-
5,Forward PE,12.52,10.28,11.04,11.83,19.49,-,-,-
6,PS Ratio,0.75,0.74,0.80,0.87,1.70,-,-,-
7,PB Ratio,1.50,1.41,1.46,1.58,3.01,-,-,-
8,P/TBV Ratio,2.73,2.73,2.76,3.18,6.43,-,-,-
9,P/FCF Ratio,17.89,-,11.51,-,20.14,-,-,-
10,P/OCF Ratio,14.82,-,10.28,-,18.55,-,-,-
11,PEG Ratio,8.04,1.00,3.68,3.94,1.01,-,-,-
12,EV/Sales Ratio,0.40,0.29,0.45,0.44,1.58,-,-,-
13,EV/EBITDA Ratio,4.66,3.41,5.04,5.55,21.00,-,-,-
14,EV/EBIT Ratio,7.03,4.91,7.26,8.26,30.98,-,-,-
15,EV/FCF Ratio,9.74,-,6.43,-,18.75,-,-,-
16,Debt / Equity Ratio,0.02,0.02,0.02,0.01,0.01,0.02,0.03,-
17,Debt / FCF Ratio,0.24,-,0.15,-,0.09,-,0.10,-
18,Return on Capital Employed (ROCE),9.88%,9.88%,9.89%,8.59%,7.98%,15.37%,15.79%,-
19,Earnings Yield,6.73%,6.76%,7.35%,5.93%,2.96%,-,-,-
20,FCF Yield,5.59%,5.62%,8.68%,11.74%,4.96%,-,-,-
21,Dividend Yield,6.21%,6.43%,5.31%,1.48%,-,-,-,-
22,Buyback Yield / Dilution,-2.70%,0.21%,-5.77%,-12.19%,-8.52%,-5.04%,-,-
23,Total Shareholder Return,3.51%,6.64%,-0.46%,-10.71%,-8.52%,-5.04%,-,-
