,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Revenue,17560,17164,16020,15863,14243,13398,10306
1,Revenue Growth (YoY),9.61%,8.20%,12.47%,18.39%,38.20%,-,-
2,Cost of Revenue,15163,14764,13608,13759,12116,11067,8618
3,Gross Profit,2397,2400,2412,2104,2127,2332,1688
4,"Selling, General & Admin",1222,1346,1225,1437,1167,1254,795.39
5,Operating Expenses,1345,1421,1344,1477,1218,1240,816.24
6,Operating Income,1051,978.82,1068,626.57,909.4,1092,872.21
7,Interest Expense,-6.02,-4.5,-4.03,-5.22,-6.01,-4.87,-5.33
8,Interest & Investment Income,56.67,68.33,56.15,25.54,20.53,46.36,38.83
9,Earnings From Equity Investments,-16.69,-24.62,0.97,-14.4,4.85,5.57,27.94
10,Currency Exchange Gain (Loss),5.44,-3.16,3.39,52.6,0.52,-0.5,-
11,Other Non Operating Income (Expenses),-96.55,88.7,197.54,160.8,-33.03,77.93,38.68
12,EBT Excluding Unusual Items,994.24,1104,1322,845.9,896.27,1216,972.32
13,Gain (Loss) on Sale of Investments,78.23,109.54,61.85,22.04,234.97,9.61,40.78
14,Gain (Loss) on Sale of Assets,11.52,45.57,14.95,5.15,16.45,39.45,41.4
15,Pretax Income,1084,1259,1399,873.09,1148,1266,1055
16,Income Tax Expense,279.57,272.82,349.18,193.63,239.9,325.82,279.9
17,Earnings From Continuing Operations,804.42,985.86,1050,679.46,907.79,939.69,774.6
18,Minority Interest in Earnings,-32.76,-28.9,-52.23,-41.41,-34.2,-20.91,-25.74
19,Net Income,771.66,956.96,997.73,638.05,873.6,918.79,748.86
20,Net Income to Common,771.66,956.96,997.73,638.05,873.6,918.79,748.86
21,Net Income Growth,-22.66%,49.98%,14.21%,-30.55%,16.66%,-,-
22,Shares Outstanding (Basic),1176,1178,1178,1114,1050,1027,1000
23,Shares Outstanding (Diluted),1176,1178,1178,1114,1050,1027,1000
24,Shares Change (YoY),-0.21%,5.77%,12.19%,8.52%,5.04%,-,-
25,EPS (Basic),0.66,0.81,0.85,0.57,0.83,0.90,0.75
26,EPS (Diluted),0.66,0.81,0.85,0.57,0.83,0.90,0.75
27,EPS Growth,-22.49%,41.79%,1.80%,-36.01%,11.06%,-,-
28,Free Cash Flow,-2093,3529,-1220,4459,-1921,3082,-476.95
29,Free Cash Flow Per Share,-1.78,2.99,-1.04,4.00,-1.83,3.00,-0.48
30,Dividend Per Share,0.562,0.777,0.315,-,-,-,-
31,Dividend Growth,78.41%,-,-,-,-,-,-
32,Operating Margin,5.99%,5.70%,6.67%,3.95%,6.38%,8.15%,8.46%
33,Profit Margin,4.39%,5.58%,6.23%,4.02%,6.13%,6.86%,7.27%
34,Free Cash Flow Margin,-11.92%,20.56%,-7.62%,28.11%,-13.48%,23.00%,-4.63%
35,EBITDA,1557,1367,1579,946.38,1320,1310,967.14
36,D&A For EBITDA,505.66,388.14,511.11,319.8,410.6,218.05,94.93
37,EBIT,1051,978.82,1068,626.57,909.4,1092,872.21
