,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,430.95,458.82,295.95,315.3,273.12,374.51,279.45,241.38,186.26,262.03,205.74,230.36,193.68,222.38,195.63,154.25
1,Other Revenue,-,-62.4,62.4,-,69.84,-36.36,36.36,-,55.26,-25.9,25.9,-,29.76,-8.88,8.88,-
2,Revenue,430.95,396.42,358.35,315.3,342.96,338.15,315.81,241.38,241.53,236.13,231.64,230.36,223.44,213.5,204.51,154.25
3,Revenue Growth (YoY),25.65%,17.23%,13.47%,30.63%,42.00%,43.20%,36.34%,4.78%,8.09%,10.60%,13.26%,49.34%,-,-,-,-
4,Cost of Revenue,503.37,299.11,290.41,254.81,257.99,236.47,234.46,192.02,198.2,160.23,164.85,160.92,167.07,139.05,143.76,119.21
5,Gross Profit,-72.42,97.31,67.94,60.5,84.97,101.68,81.35,49.36,43.33,75.91,66.79,69.44,56.38,74.45,60.75,35.03
6,"Selling, General & Admin",-58.84,18.38,21.47,18.99,23.91,21.82,17.27,12.07,15.83,18.35,14.4,12.63,12.46,12.29,11.48,9.82
7,Research & Development,-63.16,21.93,22.16,19.08,21.73,19.77,20.09,17.26,17.39,13.52,17.07,17.15,12.6,19.02,15.9,13.09
8,Other Operating Expenses,8.62,-7.06,1.46,-3.02,10.53,-2.83,-6.3,-3.66,16,-1.74,-4.86,-5.03,13.42,-4.42,-3.01,-3.7
